,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
163,C?te d'Ivoire,NCA,Pyro,-9.79694620074003,baseline,baseline
164,C?te d'Ivoire,NMC111,Pyro,-31.472376151259645,baseline,baseline
165,C?te d'Ivoire,NMC523,Pyro,-27.170436161925153,baseline,baseline
166,C?te d'Ivoire,NMC622,Pyro,-44.85521668700176,baseline,baseline
167,C?te d'Ivoire,NMC811,Pyro,-52.75326745249212,baseline,baseline
168,Cabo Verde,LFP,Pyro,0.0,baseline,baseline
169,Cabo Verde,NCA,Pyro,-62.49817583880985,baseline,baseline
170,Cabo Verde,NMC111,Pyro,-159.63618766519906,baseline,baseline
171,Cabo Verde,NMC523,Pyro,-138.61738355032836,baseline,baseline
172,Cabo Verde,NMC622,Pyro,-220.47537875141057,baseline,baseline
173,Cabo Verde,NMC811,Pyro,-256.30132953476794,baseline,baseline
174,Cambodia,LFP,,,baseline,baseline
175,Cambodia,NCA,,,baseline,baseline
176,Cambodia,NMC111,,,baseline,baseline
177,Cambodia,NMC523,,,baseline,baseline
178,Cambodia,NMC622,,,baseline,baseline
179,Cambodia,NMC811,,,baseline,baseline
180,Cameroon,LFP,Pyro,0.0,baseline,baseline
181,Cameroon,NCA,Pyro,-1869.3292646570033,baseline,baseline
182,Cameroon,NMC111,Pyro,-2267.476376149633,baseline,baseline
183,Cameroon,NMC523,Pyro,-4161.5533143506245,baseline,baseline
184,Cameroon,NMC622,Pyro,-9292.049318090576,baseline,baseline
185,Cameroon,NMC811,Pyro,-74918.23652792473,baseline,baseline
186,Canada,LFP,Pyro,0.0,baseline,baseline
187,Canada,NCA,Pyro,4.651077597514355,baseline,baseline
188,Canada,NMC111,Pyro,3.7884876889552164,baseline,baseline
189,Canada,NMC523,Pyro,3.520232211183686,baseline,baseline
190,Canada,NMC622,Pyro,3.5727556316014075,baseline,baseline
191,Canada,NMC811,Pyro,3.38281797514493,baseline,baseline
192,Cayman Isds,LFP,,,baseline,baseline
193,Cayman Isds,NCA,,,baseline,baseline
194,Cayman Isds,NMC111,,,baseline,baseline
195,Cayman Isds,NMC523,,,baseline,baseline
196,Cayman Isds,NMC622,,,baseline,baseline
197,Cayman Isds,NMC811,,,baseline,baseline
198,Chile,LFP,Pyro,0.0,baseline,baseline
199,Chile,NCA,Pyro,3.716792335278014,baseline,baseline
200,Chile,NMC111,Pyro,1.3175882407202388,baseline,baseline
201,Chile,NMC523,Pyro,1.3926889652288164,baseline,baseline
202,Chile,NMC622,Pyro,0.130976275420525,baseline,baseline
203,Chile,NMC811,Pyro,-0.6311575155508768,baseline,baseline
