source_iso3,destination_iso3,scenario,forbidden,policy_penalty_usd_per_t,approval_delay_days,modeled_policy_cost_per_kg,source_basis,notes,strategy3_supply,strategy2_supply
CZE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,183.54365273088894,183.54365273088894
MYS,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,4.36189992642565,0.0
GTM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,112.71300849799891,0.0
AFG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.2927841073298506,0.0
NLD,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,8007.7393897256225,8007.7393897256225
ISR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,1013.9734470576443,0.0
AND,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.6592264679506339,0.0
ROM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,83.39326948773933,83.39326948773933
COL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,238.54745245551675,0.0
PNG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.0,0.0
QAT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,35.32866938722118,0.0
KAZ,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,186.634808360206,0.0
AUS,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,983.4793711691091,983.4793711691091
MKD,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,12.456397106955245,0.0
CPV,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.32445224147518126,0.0
GEO,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,5.375388977838805,0.0
BRB,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,1.4395378715898541,0.0
LVA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,9.776211238932799,0.0
CAN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,5549.708828764338,5549.708828764338
MLI,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,2.8368570899602683,0.0
DOM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,45.020862509361265,0.0
JAM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,19.47914230431186,0.0
MRT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.3947611578843509,0.0
SDN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.9192651217368821,0.0
MMR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,65.5528460378886,0.0
ZMB,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,18.506482659361467,0.0
CMR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,3.909443998122112,0.0
BHS,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.003307921528397816,0.0
