source_iso3,destination_iso3,transport_cost_per_kg
BDI,FIN,0.21232628999999997
BDI,FRA,0.19115957999999997
BDI,GBR,0.20144037
BDI,HUN,0.17249093999999998
BDI,IND,0.18693770999999998
BDI,ITA,0.15947115
BDI,JPN,0.36229469999999997
BDI,KOR,0.3276957
BDI,NLD,0.19840014
BDI,NOR,0.21683979
BDI,POL,0.18718866
BDI,ROM,0.15983439
BDI,RUS,0.19872456
BDI,SVK,0.17568572999999998
BDI,SWE,0.21144795
BDI,THA,0.24245037
BDI,TUR,0.144972
BDI,USA,0.34987979999999996
BDI,VNM,0.26282787
BDI,YUG,0.16307471999999998
BEL,AUS,0.5020418999999999
BEL,BEL,0.0020533401
BEL,BRA,0.26954030999999995
BEL,CAN,0.17042697
BEL,CHE,0.014623665
BEL,CHN,0.2391246
BEL,CZE,0.021552879
BEL,DEU,0.019594268999999997
BEL,ESP,0.039499200000000005
BEL,FIN,0.04954746
BEL,FRA,0.007871534999999999
BEL,GBR,0.009713388
BEL,HUN,0.03389937
BEL,IND,0.19258797
BEL,ITA,0.03524711999999999
BEL,JPN,0.28389789000000004
BEL,KOR,0.26166342
BEL,NLD,0.005190999
BEL,NOR,0.03263319
BEL,POL,0.03481932
BEL,ROM,0.05320809
BEL,RUS,0.0678375
BEL,SVK,0.02914008
BEL,SWE,0.03851148
BEL,THA,0.27781626
BEL,TUR,0.0754374
BEL,USA,0.18668591999999998
BEL,VNM,0.2696985
BEL,YUG,0.04124763
BEN,AUS,0.4600040999999999
BEN,BEL,0.14809212
BEN,BRA,0.18333582
BEN,CAN,0.25812195000000004
BEN,CHE,0.13571852999999998
BEN,CHN,0.34550729999999996
BEN,CZE,0.1491861
BEN,DEU,0.15644307000000002
BEN,ESP,0.11490344999999999
BEN,FIN,0.18766824
BEN,FRA,0.14146697999999996
BEN,GBR,0.15047553
BEN,HUN,0.14455932000000002
BEN,IND,0.24456291
BEN,ITA,0.12160617
BEN,JPN,0.4060278
BEN,KOR,0.3739104
BEN,NLD,0.15320241
BEN,NOR,0.17949959999999998
BEN,POL,0.16074054
BEN,ROM,0.14371295999999997
BEN,RUS,0.18861522
BEN,SVK,0.14500089
BEN,SWE,0.18068528999999997
BEN,THA,0.3201942
BEN,TUR,0.14338314
BEN,USA,0.26037374999999996
BEN,VNM,0.3330633
BEN,YUG,0.13797665999999997
BFA,AUS,0.48423749999999993
BFA,BEL,0.12959150999999997
BFA,BRA,0.17928564
BFA,CAN,0.23400761999999997
BFA,CHE,0.11838131999999998
BFA,CHN,0.3421311
BFA,CZE,0.13359192
BFA,DEU,0.14018532
BFA,ESP,0.09396284999999999
BFA,FIN,0.17257751999999998
BFA,FRA,0.12248609999999999
BFA,GBR,0.13083966
BFA,HUN,0.13092995999999998
BFA,IND,0.24867174000000003
BFA,ITA,0.10693451999999999
BFA,JPN,0.3997668
BFA,KOR,0.36977459999999995
BFA,NLD,0.13477527
BFA,NOR,0.16182711
BFA,POL,0.14651688
BFA,ROM,0.13332402
BFA,RUS,0.17701172999999998
BFA,SVK,0.13061679
BFA,SWE,0.16446267
BFA,THA,0.32917679999999994
BFA,TUR,0.13700153999999998
BFA,USA,0.23685327
BFA,VNM,0.3386634
BFA,YUG,0.1255776
BGD,AUS,0.27068991
BGD,BEL,0.23173175999999998
BGD,BRA,0.46773269999999995
BGD,CAN,0.3663735
BGD,CHE,0.22787123999999997
BGD,CHN,0.09108714
BGD,CZE,0.21097202999999998
BGD,DEU,0.21232314
BGD,ESP,0.25984412999999995
BGD,FIN,0.19169085
BGD,FRA,0.23750369999999998
BGD,GBR,0.24035699999999996
BGD,HUN,0.20154873
BGD,IND,0.042658140000000004
BGD,ITA,0.21934541999999999
BGD,JPN,0.14710704000000002
BGD,KOR,0.11400237
BGD,NLD,0.22955148
BGD,NOR,0.21536028000000002
BGD,POL,0.19692812999999998
BGD,ROM,0.18553464
BGD,RUS,0.16645215
BGD,SVK,0.20559855
BGD,SWE,0.20301050999999998
BGD,THA,0.046158599999999994
BGD,TUR,0.16886390999999998
BGD,USA,0.3884037
BGD,VNM,0.04866738
BGD,YUG,0.19881015
BGR,AUS,0.46072409999999997
BGR,BEL,0.050990579999999994
BGR,BRA,0.29216178000000004
BGR,CAN,0.22138374
BGR,CHE,0.040127159999999995
BGR,CHN,0.22093341
BGR,CZE,0.032095979999999996
BGR,DEU,0.03967482
BGR,ESP,0.06764397
BGR,FIN,0.058423409999999995
BGR,FRA,0.05282121
BGR,GBR,0.06058022999999999
BGR,HUN,0.018988923
BGR,IND,0.15088662
BGR,ITA,0.026791722
BGR,JPN,0.2757444
BGR,KOR,0.24732737999999999
BGR,NLD,0.05235246
BGR,NOR,0.06303099
BGR,POL,0.0324126
BGR,ROM,0.008977779
BGR,RUS,0.053576939999999997
BGR,SVK,0.023305505999999997
BGR,SWE,0.056676569999999996
BGR,THA,0.23836535999999997
BGR,TUR,0.025621506
BGR,USA,0.23760284999999998
BGR,VNM,0.23579237999999997
BGR,YUG,0.009895544999999999
BHR,AUS,0.3716508
BHR,BEL,0.14284914
BHR,BRA,0.34851899999999997
BHR,CAN,0.31175489999999995
BHR,CHE,0.13263861
BHR,CHN,0.1855461
BHR,CZE,0.12209954999999999
BHR,DEU,0.12778847999999998
BHR,ESP,0.1563039
BHR,FIN,0.12759366
BHR,FRA,0.14530173
BHR,GBR,0.15255512999999998
BHR,HUN,0.10904532
BHR,IND,0.07904757
BHR,ITA,0.11651411999999998
BHR,JPN,0.2484702
BHR,KOR,0.21408006000000002
BHR,NLD,0.14336001
BHR,NOR,0.14474931
BHR,POL,0.11436848999999999
BHR,ROM,0.0896907
BHR,RUS,0.10352772
BHR,SVK,0.11381679
BHR,SWE,0.13371626999999997
BHR,THA,0.16091481
BHR,TUR,0.06741627
BHR,USA,0.32922090000000004
BHR,VNM,0.16864922999999998
BHR,YUG,0.10185249
