Year,region,scrap,inuse_sum
2023,Belgium,116.28290772516596,116.28290772516596
2023,Brazil,16.67174267791374,16.67174267791374
2023,Canada,66.68697071165496,66.68697071165496
2023,China,266207.7780646284,266207.7780646284
2023,Czechia,426.3706616589419,426.3706616589419
2023,Finland,19.380484620860994,19.380484620860994
2023,France,3054.364376247693,3054.364376247693
2023,Germany,4539.8785224366875,4539.8785224366875
2023,Hungary,7267.681732822873,7267.681732822873
2023,India,33.34348535582748,33.34348535582748
2023,Italy,38.76096924172199,38.76096924172199
2023,Japan,2562.6046888334513,2562.6046888334513
2023,Korea,3882.2614286913986,3882.2614286913986
2023,Netherlands,116.28290772516596,116.28290772516596
2023,Poland,12597.315003559648,12597.315003559648
2023,Slovakia,581.4145386258298,581.4145386258298
2023,Spain,581.4145386258298,581.4145386258298
2023,Sweden,3168.7092355107725,3168.7092355107725
2023,Switzerland,135.66339234602697,135.66339234602697
2023,Thailand,2000.6091213496488,2000.6091213496488
2023,Turkey,1162.8290772516596,1162.8290772516596
2023,USA,27359.311998066663,27359.311998066663
2023,United Kingdom,368.2292077963589,368.2292077963589
2023,Viet Nam,1667.1742677913737,1667.1742677913737
2024,Australia,563.7465515994675,563.7465515994675
2024,Belgium,288.42124739964186,288.42124739964186
2024,Brazil,23.489439649977815,23.489439649977815
2024,Canada,1855.6657323482473,1855.6657323482473
2024,China,358887.5827374554,358887.5827374554
2024,Czechia,96.14041579988061,96.14041579988061
2024,Finland,3845.616631995225,3845.616631995225
2024,France,2179.182758130627,2179.182758130627
2024,Germany,11729.130727585436,11729.130727585436
2024,Hungary,6441.407858592002,6441.407858592002
2024,India,3053.627154497116,3053.627154497116
2024,Italy,7498.952432390689,7498.952432390689
2024,Japan,3712.4839929869945,3712.4839929869945
2024,Korea,4053.0182687201655,4053.0182687201655
2024,Netherlands,96.14041579988061,96.14041579988061
2024,Norway,3653.335800395464,3653.335800395464
2024,Poland,5287.722868993434,5287.722868993434
2024,Slovakia,961.4041579988062,961.4041579988062
2024,Spain,672.9829105991644,672.9829105991644
2024,Sweden,2691.9316423966575,2691.9316423966575
