Year,region,type,scrap,inuse,f_ebp,tau_w,f_tau,source,source_basis,data_status
2016,Poland,NMC111,199.3060352075001,199.3060352075001,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Poland,NMC523,49.14470130832028,49.14470130832028,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Poland,NMC622,32.36697448938953,32.36697448938953,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Poland,NMC811,6.655035123031473,6.655035123031473,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Poland,TLB,525.543967279754,525.543967279754,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,USA,LFP,221.2885481995419,221.2885481995419,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,USA,NCA,419.60822158697744,419.60822158697744,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,USA,NMC111,351.31855979285734,351.31855979285734,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,USA,NMC523,86.62781168224011,86.62781168224011,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,USA,NMC622,57.053560122380965,57.053560122380965,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,USA,NMC811,11.730890900318887,11.730890900318887,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,USA,TLB,926.3811278987291,926.3811278987291,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,United Kingdom,LFP,41.84629775369581,41.84629775369581,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,United Kingdom,NCA,79.34911554751561,79.34911554751561,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
