,country,type,scrap,year,Strategy type
163,Switzerland,NMC111,545.3007601601282,2025,Strategy 2
164,Switzerland,NMC622,281.4360331488823,2025,Strategy 2
165,Switzerland,NMC811,186.57940803667356,2025,Strategy 2
166,Switzerland,NMC523,602.9387079565231,2025,Strategy 2
167,Switzerland,NCA,1807.2813146674528,2025,Strategy 2
168,Romania,LFP,1.2152636133827377,2025,Strategy 2
169,Romania,NMC111,215.03172002950495,2025,Strategy 2
170,Romania,NMC622,117.13646200286829,2025,Strategy 2
171,Romania,NMC811,70.33189768798553,2025,Strategy 2
172,Romania,NMC523,239.31959244796886,2025,Strategy 2
173,Romania,NCA,377.35264716987524,2025,Strategy 2
174,China,LFP,91306.99900766967,2025,Strategy 3
175,China,NMC111,37377.2939027401,2025,Strategy 3
176,China,NMC622,40092.55238952166,2025,Strategy 3
177,China,NMC811,19042.20780226504,2025,Strategy 3
178,China,NMC523,9031.167901999801,2025,Strategy 3
179,China,NCA,5081.3566096419745,2025,Strategy 3
180,India,LFP,0.0,2025,Strategy 3
181,India,NMC111,162.30104723622526,2025,Strategy 3
182,India,NMC622,86.73121297134391,2025,Strategy 3
183,India,NMC811,61.84620896309075,2025,Strategy 3
184,India,NMC523,184.6976811729158,2025,Strategy 3
185,India,NCA,554.4809508343792,2025,Strategy 3
186,Japan,LFP,0.0,2025,Strategy 3
187,Japan,NMC111,979.0150014852842,2025,Strategy 3
188,Japan,NMC622,358.73796635948986,2025,Strategy 3
189,Japan,NMC811,158.63012556232567,2025,Strategy 3
190,Japan,NMC523,908.9352007280123,2025,Strategy 3
191,Japan,NCA,2190.623093880069,2025,Strategy 3
192,Korea,LFP,14.564928122795074,2025,Strategy 3
193,Korea,NMC111,10151.640434376488,2025,Strategy 3
194,Korea,NMC622,4439.302394758371,2025,Strategy 3
195,Korea,NMC811,2284.177301754456,2025,Strategy 3
196,Korea,NMC523,10063.164786118297,2025,Strategy 3
197,Korea,NCA,24283.129475200723,2025,Strategy 3
198,Thailand,LFP,0.0,2025,Strategy 3
199,Thailand,NMC111,517.2235229248901,2025,Strategy 3
200,Thailand,NMC622,201.9827993488645,2025,Strategy 3
201,Thailand,NMC811,106.39239986617821,2025,Strategy 3
202,Thailand,NMC523,484.86481277002105,2025,Strategy 3
203,Thailand,NCA,1264.609558547867,2025,Strategy 3
204,Viet Nam,LFP,0.0,2025,Strategy 3
205,Viet Nam,NMC111,630.4294275971235,2025,Strategy 3
206,Viet Nam,NMC622,232.18465340045665,2025,Strategy 3
207,Viet Nam,NMC811,92.23796174607374,2025,Strategy 3
208,Viet Nam,NMC523,571.6040069363997,2025,Strategy 3
209,Viet Nam,NCA,1473.543950319946,2025,Strategy 3
210,France,LFP,32.50367112073725,2025,Strategy 3
211,France,NMC111,6077.928485640664,2025,Strategy 3
212,France,NMC622,3117.885666482185,2025,Strategy 3
213,France,NMC811,1635.5687885707066,2025,Strategy 3
214,France,NMC523,6659.458076567,2025,Strategy 3
215,France,NCA,9894.610359314931,2025,Strategy 3
216,Germany,LFP,77.99663579454113,2025,Strategy 3
217,Germany,NMC111,13100.650415372322,2025,Strategy 3
218,Germany,NMC622,6911.377863381261,2025,Strategy 3
219,Germany,NMC811,3833.4104364053674,2025,Strategy 3
220,Germany,NMC523,14447.253208337861,2025,Strategy 3
221,Germany,NCA,21900.364723986128,2025,Strategy 3
222,Hungary,LFP,0.09309277998955993,2025,Strategy 3
223,Hungary,NMC111,16.353164878984543,2025,Strategy 3
224,Hungary,NMC622,8.68329621244456,2025,Strategy 3
225,Hungary,NMC811,4.8231330815069855,2025,Strategy 3
226,Hungary,NMC523,18.052185618526686,2025,Strategy 3
227,Hungary,NCA,27.469082718119168,2025,Strategy 3
228,Italy,LFP,17.571360849400865,2025,Strategy 3
229,Italy,NMC111,3060.1661075080856,2025,Strategy 3
230,Italy,NMC622,1658.786547719293,2025,Strategy 3
231,Italy,NMC811,967.8768980071271,2025,Strategy 3
232,Italy,NMC523,3406.1970354309797,2025,Strategy 3
233,Italy,NCA,5242.107779003261,2025,Strategy 3
234,Poland,LFP,2.8782276811008027,2025,Strategy 3
235,Poland,NMC111,502.2293562533428,2025,Strategy 3
236,Poland,NMC622,271.14700982521356,2025,Strategy 3
237,Poland,NMC811,158.15593815726496,2025,Strategy 3
238,Poland,NMC523,557.426560866904,2025,Strategy 3
239,Poland,NCA,859.1614533554235,2025,Strategy 3
240,Slovakia,LFP,0.34590056487775317,2025,Strategy 3
241,Slovakia,NMC111,60.80205462285794,2025,Strategy 3
242,Slovakia,NMC622,32.26991348603289,2025,Strategy 3
243,Slovakia,NMC811,17.89849798634476,2025,Strategy 3
244,Slovakia,NMC523,67.11007990582388,2025,Strategy 3
245,Slovakia,NCA,102.08169236010686,2025,Strategy 3
246,Spain,LFP,9.164184131612396,2025,Strategy 3
247,Spain,NMC111,1631.548012988273,2025,Strategy 3
