,country,type,recycling_m,scrap,year,Strategy type
373,Canada,NMC523,Hydro,1322.2993451207988,2025,Strategy 3
366,Canada,NMC622,Direct,602.8156483363596,2025,Strategy 3
369,Canada,NMC811,Direct,361.7635783045187,2025,Strategy 3
0,China,LFP,Direct,91306.99900766967,2025,Strategy 3
15,China,NCA,Direct,5081.3566096419745,2025,Strategy 3
4,China,NMC111,Hydro,37377.2939027401,2025,Strategy 3
13,China,NMC523,Hydro,9031.167901999801,2025,Strategy 3
6,China,NMC622,Direct,40092.55238952166,2025,Strategy 3
9,China,NMC811,Direct,19042.20780226504,2025,Strategy 3
414,Czechia,LFP,Direct,0.3282341834575253,2025,Strategy 3
429,Czechia,NCA,Direct,97.2004888368253,2025,Strategy 3
417,Czechia,NMC111,Direct,57.89088938849815,2025,Strategy 3
426,Czechia,NMC523,Direct,63.99293366715537,2025,Strategy 3
420,Czechia,NMC622,Direct,30.770840793915575,2025,Strategy 3
423,Czechia,NMC811,Direct,16.98350211251918,2025,Strategy 3
468,Finland,LFP,Direct,2.7370582434105293,2025,Strategy 3
483,Finland,NCA,Direct,779.904234707985,2025,Strategy 3
471,Finland,NMC111,Direct,490.984978636462,2025,Strategy 3
481,Finland,NMC523,Hydro,529.7593490527078,2025,Strategy 3
474,Finland,NMC622,Direct,246.64539921517638,2025,Strategy 3
477,Finland,NMC811,Direct,123.05787020197825,2025,Strategy 3
108,France,LFP,Direct,32.50367112073725,2025,Strategy 3
123,France,NCA,Direct,9894.610359314931,2025,Strategy 3
112,France,NMC111,Hydro,6077.928485640664,2025,Strategy 3
121,France,NMC523,Hydro,6659.458076567,2025,Strategy 3
114,France,NMC622,Direct,3117.885666482185,2025,Strategy 3
117,France,NMC811,Direct,1635.5687885707066,2025,Strategy 3
126,Germany,LFP,Direct,77.99663579454113,2025,Strategy 3
141,Germany,NCA,Direct,21900.364723986128,2025,Strategy 3
130,Germany,NMC111,Hydro,13100.650415372322,2025,Strategy 3
139,Germany,NMC523,Hydro,14447.253208337861,2025,Strategy 3
133,Germany,NMC622,Hydro,6911.377863381261,2025,Strategy 3
135,Germany,NMC811,Direct,3833.4104364053674,2025,Strategy 3
144,Hungary,LFP,Direct,0.09309277998955993,2025,Strategy 3
159,Hungary,NCA,Direct,27.469082718119168,2025,Strategy 3
147,Hungary,NMC111,Direct,16.353164878984543,2025,Strategy 3
156,Hungary,NMC523,Direct,18.052185618526686,2025,Strategy 3
150,Hungary,NMC622,Direct,8.68329621244456,2025,Strategy 3
153,Hungary,NMC811,Direct,4.8231330815069855,2025,Strategy 3
18,India,LFP,Direct,0.0,2025,Strategy 3
33,India,NCA,Direct,554.4809508343792,2025,Strategy 3
21,India,NMC111,Direct,162.30104723622526,2025,Strategy 3
30,India,NMC523,Direct,184.6976811729158,2025,Strategy 3
24,India,NMC622,Direct,86.73121297134391,2025,Strategy 3
27,India,NMC811,Direct,61.84620896309075,2025,Strategy 3
162,Italy,LFP,Direct,17.571360849400865,2025,Strategy 3
177,Italy,NCA,Direct,5242.107779003261,2025,Strategy 3
166,Italy,NMC111,Hydro,3060.1661075080856,2025,Strategy 3
175,Italy,NMC523,Hydro,3406.1970354309797,2025,Strategy 3
168,Italy,NMC622,Direct,1658.786547719293,2025,Strategy 3
171,Italy,NMC811,Direct,967.8768980071271,2025,Strategy 3
36,Japan,LFP,Direct,0.0,2025,Strategy 3
51,Japan,NCA,Direct,2190.623093880069,2025,Strategy 3
40,Japan,NMC111,Hydro,979.0150014852842,2025,Strategy 3
49,Japan,NMC523,Hydro,908.9352007280123,2025,Strategy 3
42,Japan,NMC622,Direct,358.73796635948986,2025,Strategy 3
45,Japan,NMC811,Direct,158.63012556232567,2025,Strategy 3
54,Korea,LFP,Direct,14.564928122795074,2025,Strategy 3
69,Korea,NCA,Direct,24283.129475200723,2025,Strategy 3
58,Korea,NMC111,Hydro,10151.640434376488,2025,Strategy 3
67,Korea,NMC523,Hydro,10063.164786118297,2025,Strategy 3
61,Korea,NMC622,Hydro,4439.302394758371,2025,Strategy 3
63,Korea,NMC811,Direct,2284.177301754456,2025,Strategy 3
432,Netherlands,LFP,Direct,12.8804970177638,2025,Strategy 3
447,Netherlands,NCA,Direct,3852.3410082025166,2025,Strategy 3
436,Netherlands,NMC111,Hydro,2328.9292269264197,2025,Strategy 3
445,Netherlands,NMC523,Hydro,2694.8409958796387,2025,Strategy 3
438,Netherlands,NMC622,Direct,1261.8284100071075,2025,Strategy 3
441,Netherlands,NMC811,Direct,569.0451761909502,2025,Strategy 3
270,Norway,LFP,Direct,0.0,2025,Strategy 3
285,Norway,NCA,Direct,5181.889624065693,2025,Strategy 3
274,Norway,NMC111,Hydro,1934.8481161283023,2025,Strategy 3
283,Norway,NMC523,Hydro,1868.3301873573905,2025,Strategy 3
276,Norway,NMC622,Direct,805.9784672889726,2025,Strategy 3
279,Norway,NMC811,Direct,432.698906490673,2025,Strategy 3
180,Poland,LFP,Direct,2.8782276811008027,2025,Strategy 3
195,Poland,NCA,Direct,859.1614533554235,2025,Strategy 3
183,Poland,NMC111,Direct,502.2293562533428,2025,Strategy 3
193,Poland,NMC523,Hydro,557.426560866904,2025,Strategy 3
186,Poland,NMC622,Direct,271.14700982521356,2025,Strategy 3
189,Poland,NMC811,Direct,158.15593815726496,2025,Strategy 3
504,Romania,LFP,Direct,0.1491109550971942,2025,Strategy 3
