,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
44,GRC,ITA,1313.0,1050.411,23446.223931000004,2026,Strategy 2
45,KEN,ITA,354.0,5392.694,32453.232492000006,2026,Strategy 2
46,MLT,ITA,13.0,688.7803,152.22044630000002,2026,Strategy 2
47,MWI,ITA,144.0,6589.733,16131.666384000002,2026,Strategy 2
48,RWA,ITA,35.0,5188.542,3087.18249,2026,Strategy 2
49,TUN,ITA,30.0,595.3532,303.63013200000006,2026,Strategy 2
50,TZA,ITA,233.0,5846.278,23157.107158000003,2026,Strategy 2
51,UGA,ITA,744.0,5044.428,63801.925344,2026,Strategy 2
52,ZAF,ITA,33.0,7697.383,4318.231863,2026,Strategy 2
53,ZMB,ITA,51.0,6585.451,5709.5860170000005,2026,Strategy 2
54,ZWE,ITA,134.0,6915.104,15752.606912000001,2026,Strategy 2
55,SWZ,ITA,2.0,7830.921,266.25131400000004,2026,Strategy 2
56,MNG,KOR,29.0,2003.103,987.5297790000001,2026,Strategy 2
57,BEL,NLD,1645.0,173.0333,4838.8762345000005,2026,Strategy 2
58,ISL,NOR,639.0,1749.596,19005.861348000002,2026,Strategy 2
59,BLR,POL,287.0,469.7038,2291.6848402,2026,Strategy 2
60,LTU,POL,50.0,393.7521,334.68928500000004,2026,Strategy 2
61,UKR,POL,826.0,690.8161,9700.439676200001,2026,Strategy 2
62,GRC,ROM,724.0,741.4337,9125.565979600002,2026,Strategy 2
63,MDA,ROM,39.0,356.6724,236.4738012,2026,Strategy 2
64,AZE,RUS,89.0,1930.747,2921.2202110000003,2026,Strategy 2
65,GEO,RUS,15.0,1644.856,419.43828,2026,Strategy 2
66,IRN,RUS,265.0,2466.589,11111.983445,2026,Strategy 2
67,KAZ,RUS,446.0,2270.788,17217.114616000003,2026,Strategy 2
68,BGR,YUG,62.0,329.8515,347.663481,2026,Strategy 2
69,GRC,YUG,809.0,806.8219,11096.221590700003,2026,Strategy 2
70,MKD,YUG,29.0,324.8798,160.1657414,2026,Strategy 2
71,AUT,SVK,460.0,59.61723,466.20673860000005,2026,Strategy 2
72,AND,ESP,1.0,492.9274,8.3797658,2026,Strategy 2
73,BEN,ESP,21.0,3830.115,1367.351055,2026,Strategy 2
74,BFA,ESP,69.0,3132.095,3673.947435,2026,Strategy 2
75,CIV,ESP,38.0,3742.523,2417.669858,2026,Strategy 2
76,DZA,ESP,136.0,706.8757,1634.2966184000004,2026,Strategy 2
77,GHA,ESP,137.0,3896.073,9073.954017,2026,Strategy 2
78,GIN,ESP,1.0,3637.762,61.84195400000001,2026,Strategy 2
79,MAR,ESP,126.0,762.6525,1633.6016550000004,2026,Strategy 2
80,MLI,ESP,8.0,3116.63,423.86168000000004,2026,Strategy 2
81,NER,ESP,23.0,3045.1,1190.6341000000002,2026,Strategy 2
82,NGA,ESP,1304.0,3639.542,80681.367056,2026,Strategy 2
83,PRT,ESP,5201.0,500.9223,44290.046999100006,2026,Strategy 2
84,SEN,ESP,86.0,3164.425,4626.38935,2026,Strategy 2
85,SLE,ESP,2.0,3676.671,125.006814,2026,Strategy 2
86,TGO,ESP,35.0,3845.382,2288.00229,2026,Strategy 2
87,BRN,THA,7.0,1864.909,221.92417100000003,2026,Strategy 2
88,IDN,THA,8633.0,2316.466,339966.86662600003,2026,Strategy 2
89,KHM,THA,89.0,535.9692,810.9213996000001,2026,Strategy 2
90,LAO,THA,88.0,525.2488,785.7722048,2026,Strategy 2
91,LKA,THA,305.0,2381.501,12348.082685000001,2026,Strategy 2
92,MYS,THA,8.0,1187.123,161.44872800000002,2026,Strategy 2
93,PHL,THA,3777.0,2210.015,141902.853135,2026,Strategy 2
94,MMR,THA,223.0,575.9035,2183.2501685,2026,Strategy 2
95,VNM,THA,11002.0,990.7018,185294.92046120003,2026,Strategy 2
96,ARM,TUR,24.0,992.1443,404.7948744000001,2026,Strategy 2
97,CYP,TUR,22.0,533.8339,199.6538786,2026,Strategy 2
98,EGY,TUR,362.0,1109.213,6826.096802,2026,Strategy 2
99,ETH,TUR,103.0,3487.838,6107.2043380000005,2026,Strategy 2
100,ISR,TUR,3100.0,890.1459,46910.688930000004,2026,Strategy 2
101,JOR,TUR,170.0,930.4355,2688.958595,2026,Strategy 2
102,KEN,TUR,107.0,4604.907,8376.325833,2026,Strategy 2
103,KWT,TUR,88.0,1816.297,2717.180312,2026,Strategy 2
104,LBN,TUR,118.0,714.7758,1433.8402548000001,2026,Strategy 2
105,PAL,TUR,3.0,945.8355,48.2376105,2026,Strategy 2
106,SAU,TUR,1203.0,2140.525,43775.876775000004,2026,Strategy 2
107,SDN,TUR,1.0,2713.648,46.13201600000001,2026,Strategy 2
108,ABW,USA,16.0,3007.269,817.977168,2026,Strategy 2
109,BMU,USA,15.0,1322.397,337.211235,2026,Strategy 2
110,BRB,USA,4.0,3340.145,227.12986,2026,Strategy 2
111,CRI,USA,151.0,3290.809,8447.506703000001,2026,Strategy 2
112,DOM,USA,144.0,2371.688,5805.892224000001,2026,Strategy 2
113,GRD,USA,4.0,3342.946,227.32032800000002,2026,Strategy 2
114,GTM,USA,314.0,3004.99,16040.636620000001,2026,Strategy 2
115,HND,USA,58.0,2935.833,2894.7313380000005,2026,Strategy 2
116,JAM,USA,44.0,2326.271,1740.0507080000004,2026,Strategy 2
117,LCA,USA,2.0,3181.807,108.181438,2026,Strategy 2
