,country,type,scrap,year,Strategy type,recycling_m,CO2,CO2_em
422,Spain,NMC622,843.4720401157062,2025,Strategy 1,Pyro,1.7540295940000001,1479.474920074504
423,Spain,NMC811,449.0576106803842,2025,Strategy 1,Pyro,1.8325488049999998,822.9199878284932
424,Spain,NMC523,1782.9865078403823,2025,Strategy 1,Pyro,1.726439185,3078.217773461946
425,Spain,NCA,2669.3234972948644,2025,Strategy 1,Pyro,1.811685064,4835.97351103335
426,Sweden,LFP,15.967049995949674,2025,Strategy 1,Pyro,1.5136551790000001,24.168607919721154
427,Sweden,NMC111,2633.3106103635723,2025,Strategy 1,Pyro,1.672116182,4403.201283821226
428,Sweden,NMC622,1351.7842046948688,2025,Strategy 1,Pyro,1.7540295940000001,2371.0694997365536
429,Sweden,NMC811,690.6345508063249,2025,Strategy 1,Pyro,1.8325488049999998,1265.6215207718424
430,Sweden,NMC523,2877.735903915018,2025,Strategy 1,Pyro,1.726439185,4968.236028600282
431,Sweden,NCA,4272.22214936539,2025,Strategy 1,Pyro,1.811685064,7739.921058095253
432,United Kingdom,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
433,United Kingdom,NMC111,3246.2501174033946,2025,Strategy 1,Pyro,1.672116182,5428.107352129616
434,United Kingdom,NMC622,1644.663223991742,2025,Strategy 1,Pyro,1.7540295940000001,2884.7879670449665
435,United Kingdom,NMC811,1107.853462198885,2025,Strategy 1,Pyro,1.8325488049999998,2030.195538267679
436,United Kingdom,NMC523,3540.9491039852965,2025,Strategy 1,Pyro,1.726439185,6113.233285210856
437,United Kingdom,NCA,10589.037167588416,2025,Strategy 1,Pyro,1.811685064,19184.000478660797
438,Norway,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
439,Norway,NMC111,1934.8481161283023,2025,Strategy 1,Pyro,1.672116182,3235.2908446903493
440,Norway,NMC622,805.9784672889726,2025,Strategy 1,Pyro,1.7540295940000001,1413.710083751619
441,Norway,NMC811,432.698906490673,2025,Strategy 1,Pyro,1.8325488049999998,792.9418640142894
442,Norway,NMC523,1868.3301873573905,2025,Strategy 1,Pyro,1.726439185,3225.558445972191
443,Norway,NCA,5181.889624065693,2025,Strategy 1,Pyro,1.811685064,9387.95203521639
444,Russian Federation,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
445,Russian Federation,NMC111,473.8137194581239,2025,Strategy 1,Pyro,1.672116182,792.2715875595372
446,Russian Federation,NMC622,193.30524765835688,2025,Strategy 1,Pyro,1.7540295940000001,339.0631250682572
447,Russian Federation,NMC811,93.55944286961916,2025,Strategy 1,Pyro,1.8325488049999998,171.45224522718635
448,Russian Federation,NMC523,463.9845820691864,2025,Strategy 1,Pyro,1.726439185,801.0411637200917
449,Russian Federation,NCA,1182.7028790519828,2025,Strategy 1,Pyro,1.811685064,2142.6851411282755
450,Serbia,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
451,Serbia,NMC111,17.36481712042114,2025,Strategy 1,Pyro,1.672116182,29.03599170452683
452,Serbia,NMC622,6.623055983094528,2025,Strategy 1,Pyro,1.7540295940000001,11.617036197066568
453,Serbia,NMC811,3.320302911628752,2025,Strategy 1,Pyro,1.8325488049999998,6.084617132943289
454,Serbia,NMC523,15.54042434469325,2025,Strategy 1,Pyro,1.726439185,26.829597540206375
455,Serbia,NCA,41.96758516199757,2025,Strategy 1,Pyro,1.811685064,76.03204721013901
456,Turkey,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
457,Turkey,NMC111,713.3859489358853,2025,Strategy 1,Pyro,1.672116182,1192.8641892271194
458,Turkey,NMC622,328.250788081956,2025,Strategy 1,Pyro,1.7540295940000001,575.7615965495734
459,Turkey,NMC811,183.1303216600025,2025,Strategy 1,Pyro,1.8325488049999998,335.5952521173032
460,Turkey,NMC523,749.1399281421608,2025,Strategy 1,Pyro,1.726439185,1293.3445269927106
461,Turkey,NCA,2000.6789791742196,2025,Strategy 1,Pyro,1.811685064,3624.6002244287006
462,USA,LFP,10.303454819175323,2025,Strategy 1,Pyro,1.5136551790000001,15.595877748637239
463,USA,NMC111,6325.56456192339,2025,Strategy 1,Pyro,1.672116182,10577.07886427784
464,USA,NMC622,2965.1109605393426,2025,Strategy 1,Pyro,1.7540295940000001,5200.892374279773
465,USA,NMC811,2271.979425245519,2025,Strategy 1,Pyro,1.8325488049999998,4163.513180718262
466,USA,NMC523,6911.939870647501,2025,Strategy 1,Pyro,1.726439185,11933.043837049678
467,USA,NCA,54703.65482703285,2025,Strategy 1,Pyro,1.811685064,99105.79439634692
468,Canada,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
469,Canada,NMC111,1248.719152745213,2025,Strategy 1,Pyro,1.672116182,2088.0035020786004
470,Canada,NMC622,602.8156483363596,2025,Strategy 1,Pyro,1.7540295940000001,1057.3564869082716
471,Canada,NMC811,361.7635783045187,2025,Strategy 1,Pyro,1.8325488049999998,662.9494131144696
472,Canada,NMC523,1322.2993451207988,2025,Strategy 1,Pyro,1.726439185,2282.8694037163855
473,Canada,NCA,3893.7313635310456,2025,Strategy 1,Pyro,1.811685064,7054.21495453755
474,Brazil,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
475,Brazil,NMC111,335.85331720237,2025,Strategy 1,Pyro,1.672116182,561.5857664724618
476,Brazil,NMC622,204.5802667700036,2025,Strategy 1,Pyro,1.7540295940000001,358.8398422630011
477,Brazil,NMC811,159.4369004686885,2025,Strategy 1,Pyro,1.8325488049999998,292.175901426799
478,Brazil,NMC523,414.33045417984596,2025,Strategy 1,Pyro,1.726439185,715.3163316349331
479,Brazil,NCA,1312.063922716729,2025,Strategy 1,Pyro,1.811685064,2377.046611799148
480,Australia,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
481,Australia,NMC111,205.30316443191768,2025,Strategy 1,Pyro,1.672116182,343.29074346241634
482,Australia,NMC622,109.24141007190042,2025,Strategy 1,Pyro,1.7540295940000001,191.612666156403
483,Australia,NMC811,69.91020317540425,2025,Strategy 1,Pyro,1.8325488049999998,128.11385928639424
484,Australia,NMC523,231.8088490878003,2025,Strategy 1,Pyro,1.726439185,400.20388049492993
485,Australia,NCA,700.3084899252249,2025,Strategy 1,Pyro,1.811685064,1268.7384313899242
486,Czechia,LFP,0.3282341834575253,2025,Strategy 1,Pyro,1.5136551790000001,0.4968333717153193
487,Czechia,NMC111,57.89088938849815,2025,Strategy 1,Pyro,1.672116182,96.80029293687984
488,Czechia,NMC622,30.770840793915575,2025,Strategy 1,Pyro,1.7540295940000001,53.97296538479038
