Year,China,India,Japan,Korea,Thailand,Viet Nam,France,Germany,Hungary,Italy,Poland,Slovakia,Spain,Sweden,United Kingdom,Norway,Russian Federation,Serbia,Turkey,USA,Canada,Brazil,Australia,Czechia,Netherlands,Belgium,Finland,Switzerland,Romania
2026,715.8,8.3,7.4,24.0,3.7,0.4,6.3,13.6,6.5,6.4,5.5,0.1,4.4,4.5,6.3,8.0,3.7,0.1,1.0,27.5,4.3,1.0,0.8,0.1,2.0,0.8,0.7,3.3,0.1
2027,772.1,11.0,10.9,32.6,3.9,0.4,7.1,14.7,7.5,7.0,6.0,0.1,5.6,6.3,7.9,9.7,3.9,0.1,1.0,34.1,5.6,1.0,0.9,0.1,2.2,0.8,0.7,4.1,0.1
2028,821.1,14.7,15.2,44.4,4.2,0.4,7.8,15.9,8.5,7.7,6.4,0.1,6.8,8.4,9.5,11.4,4.2,0.1,1.0,40.7,6.9,1.0,0.9,0.1,2.4,0.8,0.7,4.9,0.1
2029,849.8,19.5,19.5,60.3,4.5,0.4,8.4,17.2,9.5,8.4,6.8,0.1,8.0,11.0,11.1,13.1,4.5,0.1,1.0,47.3,8.2,1.0,1.0,0.1,2.6,0.9,0.7,5.7,0.1
2030,870.1,26.0,23.2,82.0,4.8,0.5,8.9,18.5,10.5,9.0,7.1,0.1,9.2,13.5,12.7,14.8,4.8,0.1,1.0,53.9,9.4,1.0,1.1,0.1,2.8,0.9,0.7,6.5,0.1
2031,885.9,34.6,26.6,111.5,5.1,0.5,9.4,18.9,11.5,9.7,7.4,0.1,10.4,16.5,14.3,16.5,5.1,0.1,1.0,60.6,10.7,1.0,1.2,0.1,3.0,0.9,0.7,7.3,0.1
2032,898.8,46.1,30.7,151.6,5.5,0.5,9.8,19.4,12.5,10.3,7.7,0.1,11.6,20.0,15.9,18.2,5.5,0.1,1.0,67.2,12.0,1.0,1.2,0.1,3.2,0.9,0.7,8.1,0.1
2033,909.7,61.4,36.4,206.1,5.9,0.6,10.1,19.9,13.5,11.0,8.0,0.1,12.8,23.5,17.5,19.9,5.9,0.1,1.0,73.8,13.3,1.0,1.3,0.1,3.4,0.9,0.7,8.9,0.1
2034,1361.418837681819,91.8886628928918,54.47471220360361,308.4406094824919,8.829692362672015,0.8979348165429167,15.11523607847243,29.781504748673402,20.203533372215627,16.462138303286807,11.972464220572222,0.1496558027571528,19.155942752915557,35.16911364793091,26.189765482501738,29.781504748673402,8.829692362672015,0.1496558027571528,1.4965580275715278,110.44598243477874,19.90422176670132,1.4965580275715278,1.9455254358429863,0.1496558027571528,5.088297293743194,1.346902224814375,1.0475906193000695,13.3193664453866,0.1496558027571528
2035,1974.505044223503,133.2687806038508,79.0062477846933,447.3403205611344,12.805957745321168,1.3023007876597799,21.922063258939627,43.192976124049366,29.301767722345048,23.8755144404293,17.364010502130398,0.21705013127662998,27.782416803408637,51.00678085000804,37.98377297341025,43.192976124049366,12.805957745321168,0.21705013127662998,2.1705013127662998,160.1829968821529,28.867667459791786,2.1705013127662998,2.8216517065961897,0.21705013127662998,7.379704463405418,1.9534511814896698,1.5193509189364096,19.317461683620067,0.21705013127662998
2036,2791.6233010669916,188.41999635650572,111.70175679766788,632.4651669230591,18.10550453588573,1.8412377494121082,30.994168781770487,61.06771868883492,41.42784936177244,33.75602540588865,24.54983665882811,0.3068729582353514,39.27973865412498,72.11514518530757,53.70276769118649,61.06771868883492,18.10550453588573,0.3068729582353514,3.0687295823535137,226.47224317768928,40.81410344530173,3.0687295823535137,3.989348457059568,0.3068729582353514,10.433680580001946,2.7618566241181624,2.1481107076474593,27.311693282946273,0.3068729582353514
2037,3854.698619721242,260.1720295161968,154.23879274250103,873.3136039623479,25.0002438785922,2.5423976825686982,42.797027656573086,84.32285647186183,57.20394785779572,46.610624180426136,33.89863576758264,0.4237329470947831,54.237817228132236,99.57724256727403,74.15326574158703,84.32285647186183,25.0002438785922,0.4237329470947831,4.23732947094783,312.7149149559499,56.35648196360615,4.23732947094783,5.508528312232181,0.4237329470947831,14.406920201222624,3.8135965238530476,2.966130629663481,37.7122322914357,0.4237329470947831
2038,5195.152944831727,350.6456972767594,207.87464789697137,1177.0045310869725,33.693967653629976,3.426505185114913,57.679503949434356,113.64575530631127,77.09636666508554,62.819261727106735,45.686735801532166,0.5710841975191522,73.09877728245148,134.20478641700075,99.93973456585162,113.64575530631127,33.693967653629976,0.5710841975191522,5.710841975191521,421.46013776913423,75.95419827004723,5.710841975191521,7.424094567748978,0.5710841975191522,19.41686271565117,5.139757777672369,3.9975893826340645,50.82649357920454,0.5710841975191522
2039,6820.220895629809,460.3292986607346,272.8988024633671,1545.1770106510976,44.233597102578734,4.49833190873682,75.72192046373647,149.19467497310453,101.21246794657846,82.4694183268417,59.9777587831576,0.74972198478947,95.96441405305217,176.18466642552545,131.20134733815726,149.19467497310453,44.233597102578734,0.74972198478947,7.4972198478947,553.2948247746289,99.71302397699951,7.4972198478947,9.746385802263111,0.74972198478947,25.49054748284198,6.74749786310523,5.24805389352629,66.72525664626284,0.74972198478947
2040,8699.032430383151,587.1392670391617,348.0760475606757,1970.837181380639,56.418919796922715,5.737517267483666,96.58154066930837,190.2943227048749,129.0941385183825,105.18781657053387,76.50023023311554,0.9562528779139443,122.40036837298487,224.7194263097769,167.34425363494026,190.2943227048749,56.418919796922715,0.9562528779139443,9.562528779139443,705.7146239004909,127.18163276255459,9.562528779139443,12.431287412881277,0.9562528779139443,32.512597849074105,8.606275901225498,6.693770145397609,85.10650613434105,0.9562528779139443
2041,10755.660649779058,725.9509331608597,430.36830565236636,2436.7831811800193,69.75750009200443,7.093983060203841,119.41538151343131,235.28377149676072,159.61461885458644,130.0563561037371,94.58644080271787,1.1823305100339736,151.33830528434862,277.84766985798376,206.90783925594536,235.28377149676072,69.75750009200443,1.1823305100339736,11.823305100339734,872.5599164050724,157.24995783451848,11.823305100339734,15.370296630441658,1.1823305100339736,40.1992373411551,10.640974590305762,8.276313570237814,105.22741539302365,1.1823305100339736
2042,12876.502499971726,869.0966840697635,515.2299560283288,2917.2773059735873,83.51254781777858,8.492801472994431,142.9621581287396,281.67791552098197,191.0880331423747,155.70136033823127,113.23735297325909,1.4154669121657388,181.17976475721457,332.6347243589486,247.70670962900425,281.67791552098197,83.51254781777858,1.4154669121657388,14.154669121657387,1044.6145811783151,188.25709931804323,14.154669121657387,18.401069858154603,1.4154669121657388,48.12587501363511,12.739202209491648,9.90826838516017,125.97655518275074,1.4154669121657388
2043,14933.130719367635,1007.9083501914615,597.5222141200196,3383.223305772968,96.85112811286032,9.849267265714609,165.79599897286258,326.66736431286785,221.60851347857871,180.5698998714345,131.32356354286145,1.6415445442857683,210.11770166857835,385.76296790715554,287.27029525000944,326.66736431286785,96.85112811286032,1.6415445442857683,16.41544544285768,1211.4598736828968,218.32542439000716,16.41544544285768,21.34007907571499,1.6415445442857683,55.812514505716116,14.773900898571913,11.490811810000377,146.09746444143337,1.6415445442857683
2044,16811.94225412098,1134.7183185698889,672.6994592173282,3808.88347650251,109.0364508072043,11.088452624461455,186.65561917843448,367.76701204463825,249.49018405038274,203.28829811512668,147.8460349928194,1.8480754374102426,236.55365598851105,434.297727791407,323.41320154679244,367.76701204463825,109.0364508072043,1.8480754374102426,18.480754374102425,1363.8796728087589,245.79403317556225,18.480754374102425,24.024980686333155,1.8480754374102426,62.834564871948245,16.632678936692184,12.936528061871696,164.4787139295116,1.8480754374102426
2045,18437.010204919057,1244.4019199538639,737.7236137837239,4177.055956066634,119.57608025615305,12.16027934808336,204.69803569273657,403.31593171143146,273.60628533187565,222.93845471486162,162.13705797444482,2.0267132246805604,259.4192927591117,476.2776077999317,354.674814319098,403.31593171143146,119.57608025615305,2.0267132246805604,20.267132246805602,1495.7143598142534,269.5528588825145,20.267132246805602,26.347271920847284,2.0267132246805604,68.90824963913904,18.240419022125042,14.18699257276392,180.37747699656987,2.0267132246805604
2046,19777.464530029545,1334.8755877144265,791.3594689381943,4480.746883191259,128.26980403119083,13.044386850629575,219.58051198559784,432.6388305458809,293.49870413916545,239.14709226154224,173.92515800839433,2.1740644751049296,278.280252813431,510.9051516496584,380.4612831433626,432.6388305458809,128.26980403119083,2.1740644751049296,21.74064475104929,1604.4595826274376,289.1505751889556,21.74064475104929,28.262838176364085,2.1740644751049296,73.91819215356759,19.566580275944364,15.218451325734504,193.4917382843387,2.1740644751049296
2047,20840.53984868379,1406.6276208741174,833.8965048830273,4721.595320230547,135.1645433738973,13.745546783786166,231.38337086040042,455.8939683289078,309.27480263518873,252.0016910360797,183.27395711714885,2.290924463964361,293.2383313874382,538.3672490316249,400.91178119376315,455.8939683289078,135.1645433738973,2.290924463964361,22.909244639643607,1690.702254405698,304.69295370726,22.909244639643607,29.782018031536694,2.290924463964361,77.89143177478826,20.618320175679248,16.036471247750523,203.8922772928281,2.290924463964361
2048,21657.65810552728,1461.7788366267723,866.5920138960018,4906.720166592472,140.46409016446185,14.284483745538493,240.4554763832313,473.7687108936933,321.4008842746161,261.88220200153904,190.45978327384657,2.3807472909230825,304.73565323815455,559.4756133669243,416.6307759115394,473.7687108936933,140.46409016446185,2.3807472909230825,23.80747290923082,1756.9915007012346,316.63938969276995,23.80747290923082,30.949714782000072,2.3807472909230825,80.94540789138479,21.42672561830774,16.665231036461574,211.88650889215432,2.3807472909230825
2049,22270.744312068968,1503.1589543377315,891.1235494770916,5045.619877671115,144.440355547111,14.688849716655357,247.2623035636985,487.18018226906935,330.49911862474556,269.29557813868155,195.85132955540476,2.4481416194425596,313.3621272886476,575.3132805690016,428.42478340244793,487.18018226906935,144.440355547111,2.4481416194425596,24.481416194425595,1806.728515148609,325.60283538586043,24.481416194425595,31.825841052753276,2.4481416194425596,83.23681506104703,22.033274574983036,17.136991336097918,217.88460413038783,2.4481416194425596
2050,22722.46314975079,1533.6476172306236,909.1982616806954,5147.960487153608,147.37004790978307,14.986784533198277,252.27753964217098,497.0616870177428,337.20265199696127,274.7577164419684,199.823793775977,2.4977974221997132,319.7180700415633,586.9823942169326,437.1145488849497,497.0616870177428,147.37004790978307,2.4977974221997132,24.977974221997126,1843.374497583388,332.2070571525618,24.977974221997126,32.47136648859627,2.4977974221997132,84.92511235479023,22.480176799797416,17.48458195539799,222.30397057577446,2.4977974221997132
