iso_o,iso_d,distcap
ARM,BRA,11342.55
ARM,CAN,8799.446
ARM,CHE,3051.8540000000003
ARM,CHN,5947.15
ARM,CZE,2582.411
ARM,DEU,2724.171
ARM,ESP,4040.452
ARM,FIN,2597.746
ARM,FRA,3434.071
ARM,GBR,3619.365
ARM,HUN,2186.893
ARM,IND,3245.0640000000003
ARM,ITA,2677.67
ARM,JPN,7943.638000000001
ARM,KOR,6882.943
ARM,NLD,3282.178
ARM,NOR,3199.743
ARM,POL,2236.784
ARM,ROM,1581.005
ARM,RUS,1803.035
ARM,SVK,2340.185
ARM,SWE,2817.4709999999995
ARM,THA,6163.356
ARM,TUR,992.1443
ARM,USA,9416.021999999999
ARM,VNM,6124.733
ARM,YUG,2027.757
AUT,AUS,15931.75
AUT,BEL,914.4633
AUT,BRA,9534.888
AUT,CAN,6573.097
AUT,CHE,684.8875
AUT,CHN,7468.012
AUT,CZE,252.4479
AUT,DEU,523.9359
AUT,ESP,1811.999
AUT,FIN,1437.8129999999999
AUT,FRA,1035.144
AUT,GBR,1238.1989999999998
AUT,HUN,215.6626
AUT,IND,5571.096
AUT,ITA,767.4132
AUT,JPN,9141.063
AUT,KOR,8289.029
AUT,NLD,934.7828
AUT,NOR,1351.6989999999998
AUT,POL,556.8245
AUT,ROM,859.6657
AUT,RUS,1675.6989999999998
AUT,SVK,59.617230000000006
AUT,SWE,1242.31
AUT,THA,8450.440999999999
AUT,TUR,1603.29
AUT,USA,7129.6669999999995
AUT,VNM,8254.594000000001
AUT,YUG,491.769
AZE,AUS,13167.62
AZE,BEL,3666.25
AZE,BRA,11797.16
AZE,CAN,9056.386999999999
AZE,CHE,3451.508
AZE,CHN,5520.214
AZE,CZE,2948.413
AZE,DEU,3063.72
AZE,ESP,4470.745
AZE,FIN,2789.309
AZE,FRA,3817.547
AZE,GBR,3980.449
AZE,HUN,2576.117
AZE,IND,2811.586
AZE,ITA,3113.8779999999997
AZE,JPN,7537.544
AZE,KOR,6461.835999999999
AZE,NLD,3633.827
AZE,NOR,3456.329
AZE,POL,2559.243
AZE,ROM,1997.3110000000001
AZE,RUS,1930.747
AZE,SVK,2724.262
AZE,SWE,3055.698
AZE,THA,5724.86
AZE,TUR,1447.681
AZE,USA,9695.539
AZE,VNM,5669.295
AZE,YUG,2443.9770000000003
BDI,AUS,12441.86
BDI,BEL,6484.477
BDI,BRA,8547.685
BDI,CAN,11454.3
BDI,CHE,5997.093000000001
BDI,CHN,10011.62
BDI,CZE,6119.656999999999
BDI,DEU,6398.854
BDI,ESP,5920.473000000001
BDI,FIN,7077.543000000001
BDI,FRA,6371.986
BDI,GBR,6714.679
BDI,HUN,5749.698
BDI,IND,6231.257
BDI,ITA,5315.705
BDI,JPN,12076.49
BDI,KOR,10923.19
BDI,NLD,6613.338000000001
BDI,NOR,7227.993
BDI,POL,6239.621999999999
BDI,ROM,5327.813
BDI,RUS,6624.151999999999
BDI,SVK,5856.191
BDI,SWE,7048.265
BDI,THA,8081.679
BDI,TUR,4832.4
BDI,USA,11662.66
BDI,VNM,8760.929
BDI,YUG,5435.8240000000005
BEN,AUS,15333.47
BEN,BEL,4936.404
BEN,BRA,6111.194
BEN,CAN,8604.065
BEN,CHE,4523.951
BEN,CHN,11516.91
BEN,CZE,4972.87
BEN,DEU,5214.769
BEN,ESP,3830.115
BEN,FIN,6255.608
BEN,FRA,4715.566
BEN,GBR,5015.851
BEN,HUN,4818.644
BEN,IND,8152.097
BEN,ITA,4053.539
BEN,JPN,13534.26
BEN,KOR,12463.68
BEN,NLD,5106.747
BEN,NOR,5983.32
BEN,POL,5358.018
BEN,ROM,4790.432
BEN,RUS,6287.174
BEN,SVK,4833.363
