country,Strategy,Optimal,o-h,o-d,Direct_rate,Hydro_rate
Japan,Strategy 1,5.45040984628961,0.879600905488938,1.8395488368003146,0.67,0.33
Japan,Strategy 3,7.168436806501174,0.9413443477590526,1.7483703549831358,0.5,0.5
Korea,Strategy 1,7.6135395051101025,0.9144423538633895,1.85393788336365,0.5,0.5
Korea,Strategy 2,7.928479638744036,1.2706679480412584,1.332418974782235,0.67,0.33
Korea,Strategy 3,8.044998235265469,1.2004680628086462,1.5147513513846622,0.67,0.33
Italy,Strategy 1,3.1286294412898505,0.11073995892247268,2.8330260000599807,0.33,0.67
Italy,Strategy 2,5.296207647683738,0.5520276118670733,2.3088175124837074,0.5,0.5
Italy,Strategy 3,5.296207647683738,0.5520276118670733,2.3088175124837074,0.5,0.5
Turkey,Strategy 2,0.5663817260865335,1.7168431018162282,1.3202405196935416,0.67,0.33
Turkey,Strategy 3,0.5663817260865335,1.7168431018162282,1.3202405196935416,0.67,0.33
Turkey,Strategy 1,-4.6588209536691005,1.2949497458708148,1.50274145169751,0.67,0.33
Sweden,Strategy 2,5.902508074781759,0.5838694999041465,2.288613270666425,0.5,0.5
Sweden,Strategy 1,2.829561818294391,0.6414153851858106,2.2848119461162857,0.67,0.33
Sweden,Strategy 3,6.474287514149492,0.742897805942464,2.0049669275698214,0.5,0.5
Slovakia,Strategy 3,-19.4123530332558,16.859667811447995,0.0,1.0,0.0
Slovakia,Strategy 2,-19.4123530332558,16.859667811447995,0.0,1.0,0.0
Slovakia,Strategy 1,-26.190904663606844,16.51850235285312,0.0,1.0,0.0
Romania,Strategy 3,-19.455502449806854,17.060835459177436,0.0,1.0,0.0
Romania,Strategy 2,-19.455502449806854,17.060835459177436,0.0,1.0,0.0
Romania,Strategy 1,-24.637437335090862,16.24175536562696,0.0,1.0,0.0
Poland,Strategy 3,4.9614238848691326,0.5539238259669457,2.28171558240213,0.5,0.5
Poland,Strategy 2,4.9614238848691326,0.5539238259669457,2.28171558240213,0.5,0.5
Poland,Strategy 1,2.1794270953042068,0.0805034817648318,2.826647943045626,0.33,0.67
Norway,Strategy 2,6.508817200062032,0.7492858858296652,1.9878593195093632,0.5,0.5
Norway,Strategy 1,2.090397083805278,1.3144544534628047,1.579726688976533,0.67,0.33
Norway,Strategy 3,2.090397083805279,1.3144544534628047,1.579726688976533,0.67,0.33
Serbia,Strategy 3,-19.884581944550387,22.479013066821867,0.0,1.0,0.0
Serbia,Strategy 2,-16.325548113062972,16.905086015356382,0.0,1.0,0.0
Serbia,Strategy 1,-19.882937431549337,22.476315782456766,-3.552713678800501e-15,1.0,0.0
Hungary,Strategy 3,5.823981126631656,0.5975115283598633,2.217129365565962,0.5,0.5
Hungary,Strategy 2,5.6339925852901205,0.5610935598144406,2.302233502164389,0.5,0.5
Hungary,Strategy 1,0.19086299787284247,1.201679048478996,1.897245706983399,0.67,0.33
UK,Strategy 2,7.220902498331157,0.82049431979617,1.8916166451647412,0.5,0.5
UK,Strategy 3,7.220902498331157,0.82049431979617,1.8916166451647412,0.5,0.5
UK,Strategy 1,3.3478307556912963,0.2959374585568888,2.2000877165558688,0.5,0.5
France,Strategy 1,3.056060429890069,0.1271098346925421,2.8040352229910828,0.33,0.67
France,Strategy 2,5.1682077697365,0.5645263275492036,2.304224350223589,0.5,0.5
France,Strategy 3,5.1682077697365,0.5645263275492036,2.304224350223589,0.5,0.5
Finland,Strategy 3,-3.106132913730167,2.2167317174429306,1.412596282922356,0.67,0.33
Finland,Strategy 1,-12.310844889759377,2.7335061576403277,1.2196713820239982,0.67,0.33
Finland,Strategy 2,-3.106132913730167,2.2167317174429306,1.412596282922356,0.67,0.33
Spain,Strategy 1,2.1435997803008915,0.10678163122980555,2.791685758369752,0.33,0.67
Spain,Strategy 2,5.566746148029928,0.5722868568529638,2.2834840822344855,0.5,0.5
Spain,Strategy 3,5.566746148029928,0.5722868568529638,2.2834840822344855,0.5,0.5
Germany,Strategy 3,6.0547222698111005,0.5974124685947046,2.3170200019399467,0.5,0.5
Germany,Strategy 1,3.2189153238363155,0.14141763497044346,2.8245108346582057,0.33,0.67
Germany,Strategy 2,6.0547222698111005,0.5974124685947046,2.3170200019399467,0.5,0.5
Czechia,Strategy 3,-19.39229825093529,16.730266332208352,0.0,1.0,0.0
Czechia,Strategy 2,-19.39229825093529,16.730266332208352,0.0,1.0,0.0
Czechia,Strategy 1,-23.446890794085,15.756673179414811,0.0,1.0,0.0
Switzerland,Strategy 2,5.055958141303079,0.6274147396627852,2.1241578510278454,0.5,0.5
Switzerland,Strategy 3,3.8333988772906538,0.9557706100916481,1.7368921529487098,0.67,0.33
Switzerland,Strategy 1,3.833398877290653,0.9557706100916468,1.736892152948709,0.67,0.33
Belgium,Strategy 3,-1.7424952610009217,1.625743699864683,1.7636347287894067,0.67,0.33
Belgium,Strategy 1,-6.518938529988986,0.9814886365077431,2.181390514133337,0.67,0.33
Belgium,Strategy 2,-1.7424952610009217,1.625743699864683,1.7636347287894067,0.67,0.33
Netherlands,Strategy 3,3.0543625036194526,0.6718655478973159,2.2258286907470373,0.67,0.33
Netherlands,Strategy 1,-2.35367578867747,0.30497514624603816,2.4916492225072,0.67,0.33
Netherlands,Strategy 2,3.0543625036194526,0.6718655478973159,2.2258286907470373,0.67,0.33
Australia,Strategy 2,1.5762991423365948,1.267423025773605,1.542393413486377,0.67,0.33
Australia,Strategy 1,-2.7906549142216326,0.756371892956111,2.0400429137245464,0.5,0.5
Australia,Strategy 3,1.5762991423365948,1.267423025773605,1.542393413486377,0.67,0.33
