year,Strategy type,country,scrap,contained_lithium,recycled_lithium,primary_lithium_gap,dynamic_total_netprofits,recycling_CO2_em,recycled_lithium_share
2025,Strategy 1,C?te d'Ivoire,8.498055531619077,0.2610477384424137,0.0163154836526507,0.2447322547897629,-8463867.01144285,14.911235551948154,0.0003066466143663387
2025,Strategy 1,Cabo Verde,0.15953485354992009,0.0048849786557753,0.00030531116598589555,0.0045796674897893,-1932904.4386088212,0.2801302985565515,5.73826908052485e-06
2025,Strategy 1,Cambodia,15.19739551394644,0.454951309364381,0.0284344568352736,0.4265168525291071,-36443818.491482876,26.822820870742277,0.00053442056058607
2025,Strategy 1,Cameroon,1.95487234881963,0.061641163094609,0.003852572693412948,0.0577885904011959,-4867173.008267927,3.4114187109324967,7.240841878710438e-05
2025,Strategy 1,Canada,2773.658536771826,82.13112876170078,71.10913128188054,11.021997479820245,-28726434.09296549,6391.21140886808,1.3364834792732336
2025,Strategy 1,Cayman Isds,0.0237399135827552,0.0006891105718458,4.3069410740370966e-05,0.0006460411611055,-932857.0673965971,0.0420674395511759,8.094819171445335e-07
2025,Strategy 1,Chile,7.901259730684583,0.2340918578477941,0.014630741115487001,0.2194611167323069,-9161336.192383735,13.9790762321442,0.0002749821779267686
2025,Strategy 1,China,89611.39125430456,2642.264822495796,2287.6728833168604,354.5919391789359,396050777.5858046,147767.9113496956,42.99640509479013
2025,Strategy 1,Colombia,119.59495852733308,3.584801439317203,0.2240500899573249,3.360751349359878,-22758575.42929399,211.1470268471277,0.004210981604748521
2025,Strategy 1,Comoros,0.0240534597106667,0.0006981183095672999,4.363239434796523e-05,0.0006544859152194001,-824523.8709436402,0.0426235849329014,8.2006309395105e-07
2025,Strategy 1,Congo,5.446436565798218,0.16394211665649588,0.0102463822910307,0.1536957343654649,-7490445.796054509,9.603163771517758,0.0001925789333580255
2025,Strategy 1,Costa Rica,31.04534348308774,0.9406527600384041,0.0587907975024001,0.8818619625360039,-14306898.929502899,54.64970798275098,0.0011049625860817844
2025,Strategy 1,Croatia,5.401967565266657,0.1681508883225917,0.010509430520161815,0.1576414578024298,-6077318.295771992,9.482211699874465,0.00019752287805469481
