year,Strategy type,choice_mode,recycling_m,scrap,contained_lithium,recycled_lithium,primary_lithium_offset,primary_lithium_gap,recycling_CO2_em,total_netprofits,total_costs
2025,Strategy 2,Optimal_profit,Direct,472576.87388462963,12505.42261688779,9910.547423883574,9910.547423883574,2594.875193004217,1133334.2278176069,2614549891.0622473,1221568092.091283
2025,Strategy 2,Optimal_profit,Hydro,241962.30446959558,8726.958616942129,7555.800770548496,7555.800770548496,1171.157846393634,577161.0801518012,1165104206.665634,696620272.7121658
2025,Strategy 2,Realistic_multiobjective,Direct,323.1619272531857,10.450102474607819,8.281706211126696,8.281706211126696,2.1683962634811227,800.5126203136458,-14859265.407650616,17034331.55770146
2025,Strategy 2,Realistic_multiobjective,Hydro,714216.0164269721,21221.93113135531,18373.94797352743,18373.94797352743,2847.9831578278827,1464785.5442887272,2958243685.1988053,1900144510.6053813
2025,Strategy 3,Optimal_lithium,Direct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,Strategy 3,Optimal_lithium,Hydro,735612.4378005436,21874.632851112277,18939.057122493006,18939.057122493006,2935.575728619267,1514301.6717778898,3072660069.0076046,1954848610.823546
2025,Strategy 3,Optimal_multiobjective,Direct,40673.249247461885,1159.9487883034196,919.25941473046,919.25941473046,240.68937357295954,98247.94623814223,86179085.61467448,310228959.9597461
2025,Strategy 3,Optimal_multiobjective,Hydro,694939.1885530817,20714.684062808858,17934.77346157991,17934.77346157991,2779.9106012289485,1421672.6439738974,3228801159.4306936,1484474542.6244843
2025,Strategy 3,Optimal_profit,Direct,484418.13396189664,12816.674322122359,10157.214400281968,10157.214400281968,2659.4599218403896,1162383.0278694504,2714220797.0659237,1241942284.8126526
2025,Strategy 3,Optimal_profit,Hydro,251194.30383864694,9057.958528989919,7842.380494399471,7842.380494399471,1215.578034590447,599132.9548073731,1219720283.9105425,712291882.1177105
2025,Strategy 3,Realistic_multiobjective,Direct,323.1619272531857,10.450102474607819,8.281706211126696,8.281706211126696,2.1683962634811227,800.5126203136458,-14859265.407650616,17034331.55770146
2025,Strategy 3,Realistic_multiobjective,Hydro,735289.2758732904,21864.182748637668,18930.009423770494,18930.009423770494,2934.173324867175,1513547.568445605,3111658416.847421,1913331730.0892403
2030,Strategy 1,Optimal_lithium,Direct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,Strategy 1,Optimal_lithium,Hydro,2570616.791905779,75378.62844055991,66491.4881474179,66491.4881474179,8887.140293142013,5064321.620561021,6979866256.655554,9706000378.06734
2030,Strategy 1,Optimal_multiobjective,Direct,170426.04137114706,4832.042830733688,3936.6652941987354,3936.6652941987354,895.3775365349526,411627.27599895024,-55570451.38975252,1706986583.3234208
2030,Strategy 1,Optimal_multiobjective,Hydro,2400190.750534632,70546.58560982623,62229.14316642771,62229.14316642771,8317.442443398511,4676529.886524999,9038616622.7523,6332098742.301975
2030,Strategy 1,Optimal_profit,Direct,1722621.8960179314,45884.48309876328,37382.08838056244,37382.08838056244,8502.394718200838,4106114.825995027,6638154407.847874,6327480614.658797
2030,Strategy 1,Optimal_profit,Hydro,847994.8958878474,29494.145341796637,26016.78560599881,26016.78560599881,3477.3597357978233,2008562.3548414786,4363701189.169155,2253431593.8318725
2030,Strategy 1,Realistic_multiobjective,Direct,2135.1040359784047,67.96573554237759,55.37168474637502,55.37168474637502,12.594050796002568,5267.110102964811,-86070534.49910153,100551730.02049395
2030,Strategy 1,Realistic_multiobjective,Hydro,2568377.136931577,75307.0152580839,66428.31815915581,66428.31815915581,8878.69709892809,5059109.6549509885,7467426621.53679,9200989529.704016
2030,Strategy 1,Realistic_multiobjective,Pyro,104.55093822320768,3.6474469336310262,0.2742880094090532,0.2742880094090532,3.373158924221973,179.69862140943428,-262393500.1471,262857789.38887775
2030,Strategy 2,Optimal_lithium,Direct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,Strategy 2,Optimal_lithium,Hydro,7696262.325862724,225070.75037516904,198534.9089059366,198534.9089059366,26535.84146923243,15130068.801884653,45904770001.81869,3707802334.006446
