year,Strategy type,choice_mode,scrap,contained_lithium,recycled_lithium,primary_lithium_gap,recycling_CO2_em,total_netprofits,total_costs
2035,Strategy 3,Optimal_lithium,33258033.15758212,966371.8696459734,871377.5148597743,94994.35478619926,62379579.24568424,196293148359.176,4414536573.642175
2035,Strategy 3,Optimal_multiobjective,33258033.157582115,966371.8696459734,867944.3079255174,98427.561720456,62743233.17823132,202824647602.0778,4705297332.482598
2035,Strategy 3,Optimal_profit,33258033.157582123,966371.8696459734,840417.7937874796,125954.07585849389,79069491.9370379,236890934130.20813,6952639681.311771
2035,Strategy 3,Realistic_multiobjective,33258033.15758212,966371.8696459736,871375.2792173927,94996.59042858086,62379792.99994658,196321472440.673,4387702925.417823
2040,Strategy 1,Optimal_lithium,24766804.738675475,719377.7598979543,659381.6547224649,59996.10517548941,48850041.70738941,148259086298.20996,14115867647.658224
2040,Strategy 1,Optimal_multiobjective,24766804.738675468,719377.7598979543,658499.0014862139,60878.758411740455,49055140.95165301,152887612526.8918,13204444184.393799
2040,Strategy 1,Optimal_profit,24766804.73867547,719377.7598979544,649159.4300626847,70218.32983526967,59102139.88757061,175922055486.94852,18632784791.638283
2040,Strategy 1,Realistic_multiobjective,24766804.738675475,719377.7598979543,658640.5055608073,60737.25433714706,49021869.96256462,152229675443.9856,13314401969.17429
2040,Strategy 2,Optimal_lithium,72751454.01896718,2106193.671540539,1930537.119334058,175656.55220648105,142267713.6850461,464838936762.6292,5168893357.068668
2040,Strategy 2,Optimal_multiobjective,72751454.01896718,2106193.6715405392,1922759.7658290667,183433.9057114723,144716009.07792005,496085330693.7407,6056243568.084425
2040,Strategy 2,Optimal_profit,72751454.01896718,2106193.671540539,1899408.453135076,206785.21840546292,173816424.04796612,558076818323.3799,9434011044.264835
2040,Strategy 2,Realistic_multiobjective,72751454.01896718,2106193.671540539,1927406.3869028024,178787.28463773656,142994838.41866577,478163341066.31573,5510085447.7820015
2040,Strategy 3,Optimal_lithium,79096817.35649396,2292339.6357856044,2101158.5101610846,191181.12562451945,156863008.90826616,514377421583.67584,5183835751.742883
2040,Strategy 3,Optimal_multiobjective,79096817.35649396,2292339.6357856044,2091369.3039504136,200970.3318351905,160040903.565688,553601761611.4349,6127708557.733799
2040,Strategy 3,Optimal_profit,79096817.35649396,2292339.6357856044,2067609.616777034,224730.0190085701,189230076.22052237,616038870885.9968,9508647621.815536
2040,Strategy 3,Realistic_multiobjective,79096817.35649396,2292339.6357856044,2097777.235799225,194562.3999863791,157648324.61419824,528788786360.5525,5531769045.87157
2045,Strategy 1,Optimal_lithium,46219679.44786939,1345147.570792261,1243588.9291974453,101558.64159481572,98826340.06289338,320283041717.7845,19441063326.773487
2045,Strategy 1,Optimal_multiobjective,46219679.44786939,1345147.570792261,1240228.430788374,104919.14000388715,102418223.62797584,362764497192.515,17392194585.305206
2045,Strategy 1,Optimal_profit,46219679.44786939,1345147.570792261,1237490.1304999623,107657.44029229865,111379795.60122362,380886714135.01514,20488645637.2773
2045,Strategy 1,Realistic_multiobjective,46219679.44786939,1345147.570792261,1243106.1117867806,102041.45900548022,99164555.6867079,328871658718.1141,16617471158.79277
2045,Strategy 2,Optimal_lithium,115016818.8238411,3334839.211057873,3083058.850623004,251780.36043486948,241089539.75452808,812228235874.3324,5577741344.650523
2045,Strategy 2,Optimal_multiobjective,115016818.8238411,3334839.211057873,3073464.0802926016,261375.13076527196,251448971.47460052,926426851218.6008,8633184927.99307
2045,Strategy 2,Optimal_profit,115016818.8238411,3334839.211057874,3067388.548359535,267450.662698338,276778195.5127496,963596800665.6274,10879298956.0539
2045,Strategy 2,Realistic_multiobjective,115016818.8238411,3334839.2110578734,3081391.2137989644,253447.99725890864,242268106.5697331,833665468599.5671,6292158603.09194
2045,Strategy 3,Optimal_lithium,133305110.11329336,3869955.5151391183,3577773.873746115,292181.64139300346,283139926.663164,956015652007.6244,5592321902.488429
2045,Strategy 3,Optimal_multiobjective,133305110.11329335,3869955.515139119,3566223.705775329,303731.8093637894,295660286.15508974,1093903551683.8276,8711222319.212654
2045,Strategy 3,Optimal_profit,133305110.11329335,3869955.5151391183,3559794.13089584,310161.3842432789,321209239.9514596,1132018643292.3545,10965208162.044456
2045,Strategy 3,Realistic_multiobjective,133305110.11329335,3869955.5151391183,3575869.4451180594,294086.0700210591,284485842.59487003,980584592332.4113,6320346648.904128
2050,Strategy 1,Optimal_lithium,60871024.90044918,1772802.5196618286,1644983.4579942108,127819.0616676179,132250335.15794912,443893618108.5924,13683250707.755318
2050,Strategy 1,Optimal_multiobjective,60871024.90044919,1772802.5196618284,1643696.7605186424,129105.75914318633,137373380.21910372,500285239342.2565,15110440170.451344
