year,Strategy type,choice_mode,recycled_lithium,delta_recycled_vs_profit,netprofits,delta_netprofits_vs_profit,CO2,delta_CO2_vs_profit
2035,Strategy 2,Realistic_multiobjective,835760.2944398611,29255.212245141505,185171882578.38895,-37174234657.26724,59299314.110049,-16465047.263623603
2035,Strategy 3,Optimal_lithium,608089.6712479196,20134.66422499693,144887598783.2946,-26896523785.980743,46303039.680435896,-9135005.47755503
2035,Strategy 3,Optimal_multiobjective,606239.0612202738,18284.054197351215,148302323584.06003,-23481798985.2153,46499047.195103,-8938997.962887928
2035,Strategy 3,Optimal_profit,587955.0070229226,0.0,171784122569.27533,0.0,55438045.157990925,0.0
2035,Strategy 3,Realistic_multiobjective,608087.7234329212,20132.716409998597,144905873445.93027,-26878249123.345062,46303240.04765416,-9134805.110336766
2040,Strategy 1,Optimal_lithium,659381.6547224649,10222.224659780157,147900044425.09982,-27662969188.738556,48850041.70738941,-10252098.180181205
2040,Strategy 1,Optimal_multiobjective,658499.0014862139,9339.571423529182,152528570653.78168,-23034442960.0567,49055140.95165301,-10046998.935917601
2040,Strategy 1,Optimal_profit,649159.4300626847,0.0,175563013613.83838,0.0,59102139.88757061,0.0
2040,Strategy 1,Realistic_multiobjective,658640.5055608073,9481.075498122605,151870633570.87546,-23692380042.96292,49021869.96256462,-10080269.925005995
2040,Strategy 2,Optimal_lithium,1930537.119334058,30795.486616491806,466660551830.8755,-90695632193.31335,142267713.6850461,-31480938.95645061
2040,Strategy 2,Optimal_multiobjective,1923686.9712419817,23945.338524415623,493905324908.07684,-63450859116.112,144362716.8148497,-29385935.826647013
2040,Strategy 2,Optimal_profit,1899741.632717566,0.0,557356184024.1888,0.0,173748652.64149672,0.0
2040,Strategy 2,Realistic_multiobjective,1927354.3286710698,27612.695953503717,479839232782.7338,-77516951241.45502,143006949.95938754,-30741702.682109177
2040,Strategy 3,Optimal_lithium,1602576.4546912694,24574.685460279696,421995073445.17633,-76274949938.02655,126454848.89812236,-18962730.89028527
2040,Strategy 3,Optimal_multiobjective,1596595.4159663517,18593.64673536201,445480303885.21655,-52789719497.98633,128348013.0378346,-17069566.750573024
2040,Strategy 3,Optimal_profit,1578001.7692309897,0.0,498270023383.2029,0.0,145417579.78840762,0.0
2040,Strategy 3,Realistic_multiobjective,1600491.7844949276,22490.01526393788,430635048197.7495,-67634975185.45337,126939035.25919694,-18478544.529210687
2045,Strategy 1,Optimal_lithium,1243588.9291974453,6098.798697483027,320065717471.09644,-60603672417.23065,98826340.06289338,-12553455.538330242
2045,Strategy 1,Optimal_multiobjective,1240228.430788374,2738.3002884117886,362547172945.8269,-18122216942.500183,102418223.62797584,-8961571.973247781
2045,Strategy 1,Optimal_profit,1237490.1304999623,0.0,380669389888.3271,0.0,111379795.60122362,0.0
2045,Strategy 1,Realistic_multiobjective,1243106.1117867806,5615.981286818394,328654334471.4259,-52015055416.901184,99164555.6867079,-12215239.914515719
2045,Strategy 2,Optimal_lithium,3083058.850623004,15612.489175979514,813055784575.9768,-148743730256.5807,241089539.754528,-35652868.9953233
2045,Strategy 2,Optimal_multiobjective,3074213.1467214287,6766.785274404101,917875287518.743,-43924227313.81445,250577658.7495987,-26164750.000252575
2045,Strategy 2,Optimal_profit,3067446.3614470246,0.0,961799514832.5575,0.0,276742408.7498513,0.0
2045,Strategy 2,Realistic_multiobjective,3081468.109374756,14021.747927731369,833302006889.5916,-128497507942.96594,242213772.67965642,-34528636.07019487
2045,Strategy 3,Optimal_lithium,3082774.8141749287,15219.922126977704,864162641004.3823,-150020655837.32324,252751831.26406997,-25584691.282488167
2045,Strategy 3,Optimal_multiobjective,3073086.195137248,5531.303089296911,978335925339.7437,-35847371501.961914,263277492.66016027,-15059029.886397868
2045,Strategy 3,Optimal_profit,3067554.892047951,0.0,1014183296841.7056,0.0,278336522.54655814,0.0
2045,Strategy 3,Realistic_multiobjective,3081429.390634475,13874.498586523812,881283643400.0557,-132899653441.6499,253702689.51589864,-24633833.030659497
2050,Strategy 1,Optimal_lithium,1644983.4579942108,2139.9362659568433,443774954154.75385,-76285301077.3205,132250335.15794912,-14645839.643535823
2050,Strategy 1,Optimal_multiobjective,1643696.7605186424,853.2387903884519,500166575388.41797,-19893679843.656372,137373380.21910372,-9522794.582381219
2050,Strategy 1,Optimal_profit,1642843.521728254,0.0,520060255232.07434,0.0,146896174.80148494,0.0
2050,Strategy 1,Realistic_multiobjective,1644813.495464451,1969.9737361969892,452436238462.37964,-67624016769.6947,132692744.6106558,-14203430.190829143
2050,Strategy 2,Optimal_lithium,3690116.04565518,5009.267136721872,986618570168.3568,-178339553765.8224,290916530.6535161,-39283785.86809343
2050,Strategy 2,Optimal_multiobjective,3686936.4922487754,1829.7137303175405,1125089645249.1475,-39868478685.03174,303597084.83993226,-26603231.68167728
2050,Strategy 2,Optimal_profit,3685106.778518458,0.0,1164958123934.1792,0.0,330200316.52160954,0.0
2050,Strategy 2,Realistic_multiobjective,3689595.6455330304,4488.86701457249,1011016199602.1279,-153941924332.05127,292271528.44247097,-37928788.07913858
2050,Strategy 3,Optimal_lithium,3998292.4195448738,5288.568302331492,1129361352488.7578,-193663428474.9497,329170771.3049132,-30346797.90149665
2050,Strategy 3,Optimal_multiobjective,3994758.6400777474,1754.7888352051377,1282833772795.7686,-40191008167.938965,343362683.1596487,-16154886.046761155
2050,Strategy 3,Optimal_profit,3993003.8512425423,0.0,1323024780963.7075,0.0,359517569.2064099,0.0
2050,Strategy 3,Realistic_multiobjective,3997824.057231749,4820.205989206675,1151335520145.233,-171689260818.4746,330390275.0515532,-29127294.15485668
