,country,total_costs,scrap_sum,unit_cost
101,Nepal,5375681.004573901,65.10068447931822,82.57487686295676
102,Netherlands,121971625.2411513,21258.43399201952,5.737563984578536
103,New Caledonia,228140.5002235273,0.33600235647919985,678.9848220533248
104,New Zealand,34003156.463155024,1986.6652871102033,17.115694668736023
105,Nicaragua,9024342.000992516,152.63367211115386,59.124188497677196
106,Niger,4020879.072694989,37.43312325349374,107.41500369782018
107,Nigeria,37178123.30793661,2308.920650983947,16.101949320819298
108,North Macedonia,4027159.3510893737,39.3220880069626,102.41468739849982
109,Norway,91282880.52102853,14333.160674127044,6.368649776305398
110,Oman,7760645.092902298,129.42936770307801,59.960465160471756
111,Pakistan,29981873.82191975,1545.7243332997903,19.39664995627964
112,Palau,375533.3890929743,0.46072618036700125,815.0901882628749
113,Panama,6586103.159919531,93.12149757708711,70.7259154038784
114,Papua New Guinea,0.0,0.0,
115,Paraguay,7676837.516654126,112.13620626956849,68.45993610840985
116,Peru,20819244.37738431,765.8988039354607,27.18276131312338
117,Philippines,67241020.07813217,7379.7655454361475,9.111538796746178
118,Poland,93587948.66778645,11519.293637543533,8.124452037819907
119,Portugal,82760806.91735457,9051.33878823497,9.143487925225822
120,Qatar,5891585.87447593,85.35284286230522,69.02624068398615
121,Rep. of Moldova,5205982.765092634,61.97982708064376,83.99479331103937
122,Romania,17954048.37003558,527.6634377641989,34.02556835491575
123,Russian Federation,48469378.920545876,3843.9952432282726,12.60911521832171
124,Rwanda,3818047.721541526,37.23648085916021,102.53513848375074
125,Saint Lucia,1239212.4676648136,3.343580047770888,370.6244354732817
126,Samoa,350758.0997097497,0.4064225022574689,863.0380890857865
127,Saudi Arabia,31251409.17491468,1704.7312101381372,18.332162272304693
128,Senegal,9182964.733710516,171.36217932178258,53.58804824993977
129,Serbia,8136686.0419196,141.57089444172541,57.47428575630629
130,Seychelles,1641809.4398073023,7.016925905458887,233.9784489572621
131,Sierra Leone,676094.4902394331,1.6256298739094757,415.89694006637205
132,Singapore,0.0,0.0,
133,Slovakia,97524113.10080628,1158.172750072316,84.20515255147983
134,Slovenia,7484749.950337102,106.65380470012191,70.17799291250738
135,Solomon Isds,386450.030940998,0.4955875661922534,779.781530659069
136,South Africa,4709720.413365269,50.382111981783964,93.48001161737929
137,Spain,129943274.13786083,25263.932317564417,5.143430266693657
138,Sri Lanka,21231263.633567844,802.4724388135623,26.457311935794074
139,State of Palestine,1398509.109059927,5.38579707053728,259.66613497385515
140,Sudan,814683.439043334,2.294991834358337,354.9831536856485
141,Sweden,122066425.06168512,21711.46127317948,5.622211399122903
142,Switzerland,74089071.49480417,8613.608987554438,8.601397114943735
143,Tajikistan,1987919.1510516685,10.072310974660109,197.36475135178708
144,Thailand,49464034.46762652,3999.298388904799,12.368178029639882
145,Togo,4781167.890149271,51.491758474673524,92.85307070064255
146,Tonga,0.0,0.0,
147,Trinidad and Tobago,5684486.250693429,61.84461625915066,91.91562005774982
148,Tunisia,4259364.362163418,42.22342572042621,100.87680687886221
149,Turkey,63758802.14032944,6802.4891817798,9.372863438152153
150,USA,197672442.03620073,147516.21721151963,1.340004819624431
151,Uganda,27206392.10067217,1294.7788716101143,21.0123849695198
152,Ukraine,19633831.614164896,798.5768817597987,24.5860255444641
153,United Arab Emirates,33263888.91744346,2100.2887166189557,15.837769661968979
154,United Kingdom,157218746.05368748,52150.800160715946,3.014694799872254
155,United Rep. of Tanzania,13685055.679809067,364.2791366551294,37.56749784098943
156,Uruguay,5706050.253328123,63.48513402439936,89.8801009246528
157,Uzbekistan,7484819.123059412,118.23833380688134,63.30281290401442
158,Viet Nam,335028566.25622404,17885.9481184107,18.73138421504008
159,Yemen,5995739.017986896,80.6028576535422,74.38618421890908
160,Zambia,5259329.210227568,63.44492749319554,82.89597636929491
161,Zimbabwe,7944179.553418231,147.99377817495903,53.67914551128345
