Year,recycling_m,li_recovery_case,start_eff,max_eff,midpoint,k,li_recovery_efficiency,contained_lithium,recycled_lithium,primary_lithium_gap
2040,Pyro,high,0.1,0.3,2038,0.22,0.22165180614930285,592934.208831693,131424.9383152527,461509.2705164404
2045,Pyro,high,0.1,0.3,2038,0.22,0.2646929450441767,1135686.204896523,300608.1262201049,835078.0786764179
2050,Pyro,high,0.1,0.3,2038,0.22,0.28667839288498187,1518186.1597691379,435231.1683828388,1082954.991386299
2025,Hydro,low,0.8,0.88,2032,0.16,0.8196809026840842,5149.963360461225,4221.326616092817,928.6367443684085
2030,Hydro,low,0.8,0.88,2032,0.16,0.8336540598281,60366.12544234583,50324.46555110396,10041.65989124187
2035,Hydro,low,0.8,0.88,2032,0.16,0.84941982998154,256689.80684283853,218037.41208643824,38652.39475640029
2040,Hydro,low,0.8,0.88,2032,0.16,0.862595982113849,592934.208831693,511462.6661960723,81471.54263562075
2045,Hydro,low,0.8,0.88,2032,0.16,0.8711155226630873,1135686.204896523,989313.8819596927,146372.32293683023
2050,Hydro,low,0.8,0.88,2032,0.16,0.8757479090881549,1518186.1597691379,1329548.355024398,188637.80474473978
2025,Hydro,baseline,0.85,0.92,2030,0.2,0.8688258994958996,5149.963360461225,4474.42154902365,675.5418114375752
2030,Hydro,baseline,0.85,0.92,2030,0.2,0.885,60366.12544234583,53424.02101647606,6942.104425869773
2035,Hydro,baseline,0.85,0.92,2030,0.2,0.9011741005041004,256689.80684283853,231322.20579016628,25367.601052672253
2040,Hydro,baseline,0.85,0.92,2030,0.2,0.9116557954584518,592934.208831693,540551.9078069848,52382.3010247082
2045,Hydro,baseline,0.85,0.92,2030,0.2,0.9166801888775704,1135686.204896523,1041061.0448101958,94625.16008632712
2050,Hydro,baseline,0.85,0.92,2030,0.2,0.9187409653026536,1518186.1597691379,1394819.8179354265,123366.34183371137
2025,Hydro,high,0.88,0.96,2029,0.22,0.9034542223125146,5149.963360461225,4652.756142763441,497.2072176977845
2030,Hydro,high,0.88,0.96,2029,0.22,0.9243823388085771,60366.12544234583,55801.38022120759,4564.745221138241
2035,Hydro,high,0.88,0.96,2029,0.22,0.9431345365217803,256689.80684283853,242093.02200658582,14596.784836252715
2040,Hydro,high,0.88,0.96,2029,0.22,0.9534671795630724,592934.208831693,565343.3077612161,27590.901070476975
2045,Hydro,high,0.88,0.96,2029,0.22,0.9577001203258768,1135686.204896523,1087646.8150818383,48039.38981468463
2050,Hydro,high,0.88,0.96,2029,0.22,0.9592194667500359,1518186.1597691379,1456273.7186010373,61912.44116810057
2025,Direct,low,0.55,0.75,2038,0.18,0.5675727829658603,5149.963360461225,2922.979036669192,2226.9843237920336
2030,Direct,low,0.55,0.75,2038,0.18,0.5883090697122936,60366.12544234583,35513.939101122094,24852.186341223736
2035,Direct,low,0.55,0.75,2038,0.18,0.6236375164527796,256689.80684283853,160081.39363821154,96608.413204627
2040,Direct,low,0.55,0.75,2038,0.18,0.6678080868117331,592934.208831693,395966.25960512157,196967.94922657148
2045,Direct,low,0.55,0.75,2038,0.18,0.7058052215559625,1135686.204896523,801573.2534650406,334112.95143148233
2050,Direct,low,0.55,0.75,2038,0.18,0.72931990970835,1518186.1597691379,1107243.3929632944,410942.76680584345
2025,Direct,baseline,0.65,0.85,2036,0.24,0.6633216071150182,5149.963360461225,3416.0819728446,1733.8813876166255
2030,Direct,baseline,0.65,0.85,2036,0.24,0.6883090697122936,60366.12544234583,41550.551645356674,18815.573796989156
2035,Direct,baseline,0.65,0.85,2036,0.24,0.7380572701465614,256689.80684283853,189451.77811287355,67238.02872996498
2040,Direct,baseline,0.65,0.85,2036,0.24,0.794624361024878,592934.208831693,471159.96682267566,121774.24200901738
2045,Direct,baseline,0.65,0.85,2036,0.24,0.8293199097083501,1135686.204896523,941847.1809018032,193839.02399471973
2050,Direct,baseline,0.65,0.85,2036,0.24,0.8432861553437034,1518186.1597691379,1280265.3697677378,237920.79000140005
2025,Direct,high,0.75,0.93,2034,0.3,0.7613352040902593,5149.963360461225,3920.848406094105,1229.1149543671204
2030,Direct,high,0.75,0.93,2034,0.3,0.7916655389701769,60366.12544234583,47789.78123385602,12576.344208489812
2035,Direct,high,0.75,0.93,2034,0.3,0.8533996530260987,256689.80684283853,219058.9920950147,37630.81474782384
2040,Direct,high,0.75,0.93,2034,0.3,0.9044668083179123,592934.208831693,536289.3114045078,56644.897427185206
2045,Direct,high,0.75,0.93,2034,0.3,0.9235971859309255,1135686.204896523,1048916.582943001,86769.62195352186
