,country,type,recycling_m,net_profit
176,Chile,NMC622,Pyro,-593.1317094433363
177,Chile,NMC811,Pyro,-759.6663659020502
198,Colombia,LFP,Pyro,-475.748559872758
203,Colombia,NCA,Pyro,-30.019020975019558
199,Colombia,NMC111,Pyro,-75.05937327881544
202,Colombia,NMC523,Pyro,-64.43011423415001
200,Colombia,NMC622,Pyro,-108.38243116658498
201,Colombia,NMC811,Pyro,-145.4685337757852
204,Comoros,LFP,Pyro,-42098.07662815304
209,Comoros,NCA,Pyro,-5388.530627309442
205,Comoros,NMC111,Pyro,-12534.064617390517
208,Comoros,NMC523,Pyro,-10998.264242000589
206,Comoros,NMC622,Pyro,-16944.211752715608
207,Comoros,NMC811,Pyro,-28768.170367770552
192,Congo,LFP,Pyro,0.0
197,Congo,NCA,Pyro,-256.6179407337279
193,Congo,NMC111,Pyro,-480.55943268425114
196,Congo,NMC523,Pyro,-498.23964108780063
194,Congo,NMC622,Pyro,-818.9821074929888
195,Congo,NMC811,Pyro,-1081.1760652608048
216,Costa Rica,LFP,Pyro,-1068.213657142351
221,Costa Rica,NCA,Pyro,-91.8870146883392
217,Costa Rica,NMC111,Pyro,-180.98840546815734
220,Costa Rica,NMC523,Pyro,-188.44818881962198
218,Costa Rica,NMC622,Pyro,-327.39947308907284
219,Costa Rica,NMC811,Pyro,-511.3643725753097
372,Croatia,LFP,Pyro,-374.0616011072188
377,Croatia,NCA,Pyro,-214.13783704721908
373,Croatia,NMC111,Pyro,-300.91843958576806
376,Croatia,NMC523,Pyro,-280.8180067762817
374,Croatia,NMC622,Pyro,-433.9787367672677
375,Croatia,NMC811,Pyro,-600.2452853867014
228,Cyprus,LFP,Pyro,-642.5135477287616
233,Cyprus,NCA,Pyro,-369.4713896667329
229,Cyprus,NMC111,Pyro,-518.5706772013103
232,Cyprus,NMC523,Pyro,-483.9541553065449
230,Cyprus,NMC622,Pyro,-750.0091459141929
231,Cyprus,NMC811,Pyro,-1039.6531058877495
234,Czechia,LFP,Pyro,-92.96362219480034
239,Czechia,NCA,Pyro,-49.6636703383926
235,Czechia,NMC111,Pyro,-71.64160978694719
238,Czechia,NMC523,Pyro,-66.8990366655843
236,Czechia,NMC622,Pyro,-104.79843512639462
237,Czechia,NMC811,Pyro,-146.33461508851676
246,Denmark,LFP,Pyro,-28.119365751145438
251,Denmark,NCA,Pyro,-6.1142606387078136
247,Denmark,NMC111,Pyro,-10.93873593416398
250,Denmark,NMC523,Pyro,-10.171261489615082
248,Denmark,NMC622,Pyro,-17.364331269709353
249,Denmark,NMC811,Pyro,-25.70729510815369
252,Dominican Rep.,LFP,Pyro,-945.6921718916908
257,Dominican Rep.,NCA,Pyro,-92.17656460109983
253,Dominican Rep.,NMC111,Pyro,-222.84847337764765
256,Dominican Rep.,NMC523,Pyro,-200.16575417462923
254,Dominican Rep.,NMC622,Pyro,-325.6770529835503
255,Dominican Rep.,NMC811,Pyro,-442.1016010129562
264,Ecuador,LFP,Pyro,-1095.6710120438122
269,Ecuador,NCA,Pyro,-99.87099778799308
265,Ecuador,NMC111,Pyro,-224.52447623104464
268,Ecuador,NMC523,Pyro,-207.3609436757552
266,Ecuador,NMC622,Pyro,-346.8188361852129
267,Ecuador,NMC811,Pyro,-492.72895778626764
270,Egypt,LFP,Pyro,-378.4506718865858
275,Egypt,NCA,Pyro,-44.90004287942588
