source_iso3,battery_type,destination_iso3,technology,scrap_t,unit_cost,transport_unit_cost,recycling_unit_cost,carbon_unit_cost,policy_unit_cost,transport_cost,recycling_cost,carbon_cost,policy_cost,is_unprocessed,domestic_priority_reserved,li_content,contained_lithium_t,li_recovery_efficiency,recovered_lithium_t,battery_embedded_secondary_li_t,CO2_new_g_per_kg,recycling_CO2_t,year,policy_scenario,strategy
GIN,TLB,IND,Hydro,0.8652338164680831,1.2909371999999997,0.29383319999999996,0.9971039999999998,0.0,0.0,0.2542344210410295,0.8627280993355912,0.0,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
GRC,LFP,CHN,Hydro,16.834186454630956,1.24160809571605,0.22870311,1.0011359999999998,0.011768985716050055,0.0,3.8500307964939733,16.853310090443415,0.19812129992587504,0.0,False,False,0.025,0.42085466136577393,0.8821,0.3712358967907492,0.3712358967907492,773.1888943,13.016006011296145,2030,route_access_open,Strategy 3
GRC,NCA,CHN,Hydro,6422.536784222498,1.24160809571605,0.22870311,1.0011359999999998,0.011768985716050055,0.0,1468.854136641084,6429.832786009373,75.58674367432063,0.0,False,False,0.025,160.56341960556244,0.8821,141.63299243406664,141.63299243406664,930.4787808,5976.034196626502,2030,route_access_open,Strategy 3
GRC,NMC111,CHN,Hydro,3645.4543993982898,1.24160809571605,0.22870311,1.0011359999999998,0.011768985716050055,0.0,833.726758505571,3649.5956355960056,42.90330075503031,0.0,False,False,0.0375,136.70453997743587,0.8821,120.58707471409618,120.58707471409618,939.1747405,3423.7186895594723,2030,route_access_open,Strategy 3
GRC,NMC523,CHN,Hydro,4098.388519751237,1.24160809571605,0.22870311,1.0011359999999998,0.011768985716050055,0.0,937.3142004554044,4103.044289109674,48.23387594777584,0.0,False,False,0.035,143.44359819129332,0.8821,126.53159796453984,126.53159796453984,939.3492076,3849.8180084652618,2030,route_access_open,Strategy 3
GRC,NMC622,CHN,Hydro,2030.4489748078477,1.24160809571605,0.22870311,1.0011359999999998,0.011768985716050055,0.0,464.3699952348664,2032.755564843229,23.89632498168204,0.0,False,False,0.0325,65.98959168125505,0.8821,58.209418822035076,58.209418822035076,970.9704299,1971.50591395919,2030,route_access_open,Strategy 3
GRC,NMC811,CHN,Hydro,1264.7161877619278,1.24160809571605,0.22870311,1.0011359999999998,0.011768985716050055,0.0,289.2445254084968,1266.1529053512252,14.884426748627408,0.0,False,False,0.0275,34.77969516345301,0.8821,30.679169103681904,30.679169103681904,1063.116435,1344.5405648202511,2030,route_access_open,Strategy 3
GRC,TLB,CHN,Hydro,17461.54446956599,1.24160809571605,0.22870311,1.0011359999999998,0.011768985716050055,0.0,3993.509525593042,17481.380784083412,205.50466744249496,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
GRD,NCA,CHN,Hydro,4.036384790213961,1.4402561857160499,0.4273512,1.0011359999999998,0.011768985716050055,0.0,1.7249538837596845,4.040970123335643,0.0475041549405098,0.0,False,False,0.025,0.10090961975534903,0.8821,0.08901237558619338,0.08901237558619338,930.4787808,3.75577039843795,2030,route_access_open,Strategy 3
GRD,NMC111,CHN,Hydro,1.0244381660413158,1.4402561857160499,0.4273512,1.0011359999999998,0.011768985716050055,0.0,0.4377948795835555,1.0256019277979385,0.01205659814311676,0.0,False,False,0.0375,0.03841643122654934,0.8821,0.03388713398493917,0.03388713398493917,939.1747405,0.9621264487501486,2030,route_access_open,Strategy 3
GRD,NMC523,CHN,Hydro,1.270120286462565,1.4402561857160499,0.4273512,1.0011359999999998,0.011768985716050055,0.0,0.5427874285641209,1.2715631431079861,0.014948027509043331,0.0,False,False,0.035,0.044454210026189774,0.8821,0.039213058664102,0.039213058664102,939.3492076,1.1930864846452953,2030,route_access_open,Strategy 3
GRD,NMC622,CHN,Hydro,0.6290712367229565,1.4402561857160499,0.4273512,1.0011359999999998,0.011768985716050055,0.0,0.26883434789903954,0.6297858616478736,0.007403530399370418,0.0,False,False,0.0325,0.02044481519349609,0.8821,0.018034371482182898,0.018034371482182898,970.9704299,0.6108095691586137,2030,route_access_open,Strategy 3
GRD,NMC811,CHN,Hydro,0.4966216186481993,1.4402561857160499,0.4273512,1.0011359999999998,0.011768985716050055,0.0,0.21223184467525036,0.49718578080698356,0.005844732736152315,0.0,False,False,0.0275,0.013657094512825482,0.8821,0.012046923069763358,0.012046923069763358,1063.116435,0.5279666047612032,2030,route_access_open,Strategy 3
GRD,TLB,CHN,Hydro,7.456636098088996,1.4402561857160499,0.4273512,1.0011359999999998,0.011768985716050055,0.0,3.1866023844816502,7.465106836696424,0.08775704372819261,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
GRL,NCA,CHN,Hydro,0.1311749369313668,1.2649317757160499,0.25202679,1.0011359999999998,0.011768985716050055,0.0,0.033059598283264824,0.13132395165972083,0.0015437959590490229,0.0,False,False,0.025,0.0032793734232841702,0.8821,0.0028927352966789666,0.0028927352966789666,930.4787808,0.12205549538741507,2030,route_access_open,Strategy 3
