policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_scrap_t
critical_route_policy,MDG,CHN,0.0,4556.753576252743,4556.753576252743
critical_route_policy,MDG,THA,4556.753576252743,0.0,-4556.753576252743
critical_route_policy,MDV,CHN,0.0,595.9938627873943,595.9938627873943
critical_route_policy,MDV,THA,595.9938627873943,0.0,-595.9938627873943
critical_route_policy,MEX,CHN,488640.5171073958,0.0,-488640.5171073958
critical_route_policy,MEX,KOR,0.0,488640.5171073958,488640.5171073958
critical_route_policy,MMR,CHN,58662.03735232192,58723.38197431418,61.344621992262546
critical_route_policy,MMR,THA,61.34462199227162,0.0,-61.34462199227162
critical_route_policy,MOZ,CHN,0.0,1.685534621524106,1.685534621524106
critical_route_policy,MOZ,THA,1.685534621524106,0.0,-1.685534621524106
critical_route_policy,MRT,CHN,0.0,0.2665401178928626,0.2665401178928626
critical_route_policy,MRT,RUS,0.2665401178928626,0.0,-0.2665401178928626
critical_route_policy,MUS,CHN,0.0,4058.418530750176,4058.418530750176
critical_route_policy,MUS,THA,4058.418530750176,0.0,-4058.418530750176
critical_route_policy,MYS,CHN,0.0,74.41963377578796,74.41963377578796
critical_route_policy,MYS,THA,74.41963377578796,0.0,-74.41963377578796
critical_route_policy,NGA,CHN,850961.3363695052,0.0,-850961.3363695052
critical_route_policy,NGA,KOR,0.0,850961.3363695052,850961.3363695052
critical_route_policy,PAK,CHN,875526.4820662402,0.0,-875526.4820662402
critical_route_policy,PAK,KOR,0.0,875526.4820662402,875526.4820662402
critical_route_policy,PHL,CHN,1807813.1352557777,0.0,-1807813.1352557777
critical_route_policy,PHL,KOR,0.0,1807813.1352557777,1807813.1352557777
critical_route_policy,SEN,CHN,0.0,118772.03793259656,118772.03793259656
critical_route_policy,SEN,RUS,118772.03793259656,0.0,-118772.03793259656
critical_route_policy,SVN,CHN,0.0,8872.351855476609,8872.351855476609
critical_route_policy,SVN,RUS,8872.351855476609,0.0,-8872.351855476609
critical_route_policy,SWZ,CHN,0.0,81.06877904764565,81.06877904764565
critical_route_policy,SWZ,THA,81.06877904764565,0.0,-81.06877904764565
critical_route_policy,TUR,JPN,0.0,68816.0353350344,68816.0353350344
critical_route_policy,TUR,KOR,68816.0353350344,0.0,-68816.0353350344
critical_route_policy,UGA,CHN,314587.9483715965,0.0,-314587.9483715965
critical_route_policy,UGA,KOR,0.0,34157.336807036176,34157.336807036176
critical_route_policy,UGA,THA,0.0,280430.6115645604,280430.6115645604
critical_route_policy,URY,CHN,0.0,1188.9045027782377,1188.9045027782377
critical_route_policy,URY,RUS,1188.9045027782377,0.0,-1188.9045027782377
critical_route_policy,USA,JPN,0.0,264887.34976566164,264887.34976566164
critical_route_policy,USA,KOR,264887.34976566164,0.0,-264887.34976566164
critical_route_policy,ZAF,CHN,0.0,1324.632622402859,1324.632622402859
critical_route_policy,ZAF,THA,1324.632622402859,0.0,-1324.632622402859
