source_iso3,destination_iso3,route_access_open_li_t,policy_accessible_li_t,route_access_delta_li_t,route_access_loss_li_t,year,policy_scenario
MWI,CHN,167.18376710349457,0.0,-167.18376710349457,167.18376710349457,2040,strict_policy
NAM,CHN,73.6002494349738,0.0,-73.6002494349738,73.6002494349738,2040,strict_policy
NCL,CHN,0.001922105308908296,0.0,-0.001922105308908296,0.001922105308908296,2040,strict_policy
NER,CHN,65.03619028957965,0.0,-65.03619028957965,65.03619028957965,2040,strict_policy
NGA,CHN,11394.803046410421,0.0,-11394.803046410421,11394.803046410421,2040,strict_policy
NIC,CHN,87.55798149601166,0.0,-87.55798149601166,87.55798149601166,2040,strict_policy
NOR,NOR,289.0297564717278,289.02975647172775,-5.684341886080802e-14,5.684341886080802e-14,2040,strict_policy
NPL,CHN,18.377324867666808,0.0,-18.377324867666808,18.377324867666808,2040,strict_policy
NZL,CHN,265.11345025602793,0.0,-265.11345025602793,265.11345025602793,2040,strict_policy
OMN,CHN,50.67681648389989,0.0,-50.67681648389989,50.67681648389989,2040,strict_policy
PAK,CHN,11723.737771025111,0.0,-11723.737771025111,11723.737771025111,2040,strict_policy
PAL,CHN,1.96849155159091,0.0,-1.96849155159091,1.96849155159091,2040,strict_policy
PAN,CHN,0.0639773704620176,0.0,-0.0639773704620176,0.0639773704620176,2040,strict_policy
PER,CHN,293.4761735654489,0.0,-293.4761735654489,293.4761735654489,2040,strict_policy
PHL,CHN,24207.511280805826,0.0,-24207.511280805826,24207.511280805826,2040,strict_policy
PLW,CHN,0.11229405054244561,0.0,-0.11229405054244561,0.11229405054244561,2040,strict_policy
PRT,CHN,529.5149619466164,0.0,-529.5149619466164,529.5149619466164,2040,strict_policy
PRY,CHN,37.23282523361322,0.0,-37.23282523361322,37.23282523361322,2040,strict_policy
PYF,CHN,26.203915146668983,0.0,-26.203915146668983,26.203915146668983,2040,strict_policy
QAT,CHN,0.10071744180588729,0.0,-0.10071744180588729,0.10071744180588729,2040,strict_policy
ROM,CHN,6104.563983773185,0.0,-6104.563983773185,6104.563983773185,2040,strict_policy
ROM,ROM,284.86295106617445,0.0,-284.86295106617445,284.86295106617445,2040,strict_policy
RWA,CHN,0.0894369458621255,0.0,-0.0894369458621255,0.0894369458621255,2040,strict_policy
SAU,CHN,730.8307879298687,0.0,-730.8307879298687,730.8307879298687,2040,strict_policy
SDN,CHN,0.1708260298148751,0.0,-0.1708260298148751,0.1708260298148751,2040,strict_policy
SLB,CHN,0.1049429211054044,0.0,-0.1049429211054044,0.1049429211054044,2040,strict_policy
SLE,CHN,2.7874498701893056,0.0,-2.7874498701893056,2.7874498701893056,2040,strict_policy
SLV,CHN,0.0108306778706648,0.0,-0.0108306778706648,0.0108306778706648,2040,strict_policy
SVK,RUS,185.4362677946142,0.0,-185.4362677946142,185.4362677946142,2040,strict_policy
SYC,CHN,12.0265052619372,0.0,-12.0265052619372,12.0265052619372,2040,strict_policy
TGO,CHN,29.341567882271665,0.0,-29.341567882271665,29.341567882271665,2040,strict_policy
TJK,CHN,11.05160415122004,0.0,-11.05160415122004,11.05160415122004,2040,strict_policy
TON,CHN,8.773508218516597e-05,0.0,-8.773508218516597e-05,8.773508218516597e-05,2040,strict_policy
TTO,CHN,63.967121996229224,0.0,-63.967121996229224,63.967121996229224,2040,strict_policy
TUN,CHN,11.445694582154998,0.0,-11.445694582154998,11.445694582154998,2040,strict_policy
TUR,TUR,2201.6591367556725,1365.921855400908,-835.7372813547645,835.7372813547645,2040,strict_policy
TZA,CHN,326.7649912551952,0.0,-326.7649912551952,326.7649912551952,2040,strict_policy
UGA,CHN,4212.491936341636,0.0,-4212.491936341636,4212.491936341636,2040,strict_policy
UKR,CHN,2.6913273155713426,0.0,-2.6913273155713426,2.6913273155713426,2040,strict_policy
URY,RUS,15.920321025647084,0.0,-15.920321025647084,15.920321025647084,2040,strict_policy
USA,CHN,8497.85106783221,0.0,-8497.85106783221,8497.85106783221,2040,strict_policy
UZB,CHN,246.43278750420006,0.0,-246.43278750420006,246.43278750420006,2040,strict_policy
VNM,CHN,154.72690173146012,0.0,-154.72690173146012,154.72690173146012,2040,strict_policy
VNM,VNM,1489.946018399989,1309.043083505116,-180.90293489487294,180.90293489487294,2040,strict_policy
WSM,CHN,0.1934305495983078,0.0,-0.1934305495983078,0.1934305495983078,2040,strict_policy
YEM,CHN,108.1311111422629,0.0,-108.1311111422629,108.1311111422629,2040,strict_policy
ZMB,CHN,0.1699520127111512,0.0,-0.1699520127111512,0.1699520127111512,2040,strict_policy
ZWE,CHN,0.4514884554775246,0.0,-0.4514884554775246,0.4514884554775246,2040,strict_policy
AND,RUS,0.13760561853706169,0.0,-0.13760561853706169,0.13760561853706169,2040,critical_route_policy
ARG,RUS,110.65534517566579,0.0,-110.65534517566579,110.65534517566579,2040,critical_route_policy
AUT,RUS,494.925501489283,0.0,-494.925501489283,494.925501489283,2040,critical_route_policy
BEL,BEL,670.3467451779792,670.346745177979,-2.2737367544323206e-13,2.2737367544323206e-13,2040,critical_route_policy
BLR,RUS,230.10971895498287,0.0,-230.10971895498287,230.10971895498287,2040,critical_route_policy
BRA,BRA,2191.253469739804,0.0,-2191.253469739804,2191.253469739804,2040,critical_route_policy
BRA,CHN,15921.842640655399,0.0,-15921.842640655399,15921.842640655399,2040,critical_route_policy
CHE,CHE,424.37276831495905,424.372768314959,-5.684341886080802e-14,5.684341886080802e-14,2040,critical_route_policy
CPV,RUS,0.6809967690292931,0.0,-0.6809967690292931,0.6809967690292931,2040,critical_route_policy
CZE,CZE,242.4996973057555,240.3069738541898,-2.1927234515656835,2.1927234515656835,2040,critical_route_policy
CZE,RUS,3388.440894767201,0.0,-3388.440894767201,3388.440894767201,2040,critical_route_policy
DNK,CHN,356.29668336320793,0.0,-356.29668336320793,356.29668336320793,2040,critical_route_policy
DZA,RUS,22.627860719780358,0.0,-22.627860719780358,22.627860719780358,2040,critical_route_policy
EGY,CHN,1189.2085302795513,0.0,-1189.2085302795513,1189.2085302795513,2040,critical_route_policy
FIN,FIN,591.6199511963601,591.61995119636,-1.1368683772161603e-13,1.1368683772161603e-13,2040,critical_route_policy
GBR,GBR,3340.4173986472683,3340.417398647268,-4.547473508864641e-13,4.547473508864641e-13,2040,critical_route_policy
GRC,CHN,509.87881152028217,0.0,-509.87881152028217,509.87881152028217,2040,critical_route_policy
HRV,RUS,372.64359067041624,0.0,-372.64359067041624,372.64359067041624,2040,critical_route_policy
HUN,HUN,618.0963489551328,618.0963489551326,-2.2737367544323206e-13,2.2737367544323206e-13,2040,critical_route_policy
IDN,THA,1249.4365009652201,0.0,-1249.4365009652201,1249.4365009652201,2040,critical_route_policy
IND,CHN,3832.746300171538,0.0,-3832.746300171538,3832.746300171538,2040,critical_route_policy
IRL,CHN,297.7680736637471,0.0,-297.7680736637471,297.7680736637471,2040,critical_route_policy
ISL,CHN,19.240306975800443,0.0,-19.240306975800443,19.240306975800443,2040,critical_route_policy
KEN,CHN,2707.360683263574,0.0,-2707.360683263574,2707.360683263574,2040,critical_route_policy
KHM,THA,125.49569397167991,0.0,-125.49569397167991,125.49569397167991,2040,critical_route_policy
LKA,THA,4916.350061110648,0.0,-4916.350061110648,4916.350061110648,2040,critical_route_policy
LSO,THA,27.080230800853766,0.0,-27.080230800853766,27.080230800853766,2040,critical_route_policy
LUX,CHN,39.519831304885855,0.0,-39.519831304885855,39.519831304885855,2040,critical_route_policy
MAR,RUS,223.72340741783322,0.0,-223.72340741783322,223.72340741783322,2040,critical_route_policy
MDG,THA,61.01744832128447,0.0,-61.01744832128447,61.01744832128447,2040,critical_route_policy
MDV,THA,7.981563407373702,0.0,-7.981563407373702,7.981563407373702,2040,critical_route_policy
MEX,CHN,6543.139160799264,0.0,-6543.139160799264,6543.139160799264,2040,critical_route_policy
MMR,THA,1.9679968181340657,0.0,-1.9679968181340657,1.9679968181340657,2040,critical_route_policy
MOZ,THA,0.0237342501900001,0.0,-0.0237342501900001,0.0237342501900001,2040,critical_route_policy
MRT,RUS,0.0035946132149260717,0.0,-0.0035946132149260717,0.0035946132149260717,2040,critical_route_policy
MUS,THA,54.3439459204864,0.0,-54.3439459204864,54.3439459204864,2040,critical_route_policy
MYS,THA,0.9975312112990361,0.0,-0.9975312112990361,0.9975312112990361,2040,critical_route_policy
NGA,CHN,11394.803046410421,0.0,-11394.803046410421,11394.803046410421,2040,critical_route_policy
NZL,CHN,265.11345025602793,0.0,-265.11345025602793,265.11345025602793,2040,critical_route_policy
PAK,CHN,11723.737771025111,0.0,-11723.737771025111,11723.737771025111,2040,critical_route_policy
PHL,CHN,24207.511280805826,0.0,-24207.511280805826,24207.511280805826,2040,critical_route_policy
PRT,CHN,529.5149619466164,0.0,-529.5149619466164,529.5149619466164,2040,critical_route_policy
ROM,ROM,284.86295106617445,241.0378816713784,-43.82506939479606,43.82506939479606,2040,critical_route_policy
SEN,RUS,1590.4169529798626,0.0,-1590.4169529798626,1590.4169529798626,2040,critical_route_policy
SVK,RUS,185.4362677946142,0.0,-185.4362677946142,185.4362677946142,2040,critical_route_policy
SVN,RUS,126.13388884571248,0.0,-126.13388884571248,126.13388884571248,2040,critical_route_policy
SWZ,THA,1.0855953167067136,0.0,-1.0855953167067136,1.0855953167067136,2040,critical_route_policy
UGA,CHN,4212.491936341636,0.0,-4212.491936341636,4212.491936341636,2040,critical_route_policy
URY,RUS,15.920321025647084,0.0,-15.920321025647084,15.920321025647084,2040,critical_route_policy
USA,CHN,8497.85106783221,0.0,-8497.85106783221,8497.85106783221,2040,critical_route_policy
USA,USA,83468.85940649868,82861.90240029691,-606.9570062017738,606.9570062017738,2040,critical_route_policy
VNM,VNM,1489.946018399989,882.5763815193869,-607.3696368806021,607.3696368806021,2040,critical_route_policy
ZAF,THA,17.736905233957366,0.0,-17.736905233957366,17.736905233957366,2040,critical_route_policy
AUT,RUS,525.8931029349964,0.0,-525.8931029349964,525.8931029349964,2050,current_policy
BRA,BRA,7600.672983535448,0.0,-7600.672983535448,7600.672983535448,2050,current_policy
CAN,CAN,19020.9132550703,19020.913255070296,-3.637978807091713e-12,3.637978807091713e-12,2050,current_policy
CHN,CHN,330420.1320399307,330420.1320399306,-5.820766091346741e-11,5.820766091346741e-11,2050,current_policy
CZE,RUS,2615.710615254282,0.0,-2615.710615254282,2615.710615254282,2050,current_policy
DNK,CHN,371.6301101031556,0.0,-371.6301101031556,371.6301101031556,2050,current_policy
GBR,GBR,3813.5317165579218,3813.531716557921,-9.094947017729282e-13,9.094947017729282e-13,2050,current_policy
GRC,CHN,533.8795410861071,0.0,-533.8795410861071,533.8795410861071,2050,current_policy
IND,CHN,647492.4188860843,347711.61136358697,-299780.8075224974,299780.8075224974,2050,current_policy
IRL,CHN,363.75445916387616,0.0,-363.75445916387616,363.75445916387616,2050,current_policy
ISL,CHN,21.378932417483043,0.0,-21.378932417483043,21.378932417483043,2050,current_policy
LUX,CHN,48.995524358199674,0.0,-48.995524358199674,48.995524358199674,2050,current_policy
MMR,CHN,11907.230887605207,11859.425125766551,-47.8057618386556,47.8057618386556,2050,current_policy
NZL,CHN,325.33872906026363,0.0,-325.33872906026363,325.33872906026363,2050,current_policy
PRT,CHN,557.1132965110264,0.0,-557.1132965110264,557.1132965110264,2050,current_policy
ROM,ROM,811.1971798206897,757.8641767492458,-53.333003071443954,53.333003071443954,2050,current_policy
SEN,CHN,6334.7338829780765,143.04290726641165,-6191.690975711665,6191.690975711665,2050,current_policy
TUR,CHN,5406.693820285079,0.0,-5406.693820285079,5406.693820285079,2050,current_policy
TUR,TUR,6041.295474391065,0.0,-6041.295474391065,6041.295474391065,2050,current_policy
VNM,VNM,1151.0900775930008,1041.7343585165854,-109.35571907641543,109.35571907641543,2050,current_policy
YUG,YUG,194.56162318959204,194.561623189592,-2.842170943040401e-14,2.842170943040401e-14,2050,current_policy
BEL,BEL,692.8072247659819,692.8072247659818,-1.1368683772161603e-13,1.1368683772161603e-13,2050,reference_policy
BRA,BRA,7600.672983535448,7570.184601458958,-30.48838207648987,30.48838207648987,2050,reference_policy
CAN,CAN,19020.9132550703,19020.913255070296,-3.637978807091713e-12,3.637978807091713e-12,2050,reference_policy
CHN,CHN,330420.1320399307,330420.1320399306,-5.820766091346741e-11,5.820766091346741e-11,2050,reference_policy
CZE,RUS,2615.710615254282,2558.077198403991,-57.633416850290814,57.633416850290814,2050,reference_policy
