policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_route_value
strict_policy,VNM,KOR,0.0,69.0501328564922,69.0501328564922
strict_policy,VNM,THA,86.05958099753863,360.8222741607638,274.7626931632252
strict_policy,WSM,CHN,0.0087853742957077,0.0,-0.0087853742957077
strict_policy,WSM,JPN,0.0,0.0087853742957077,0.0087853742957077
strict_policy,ZMB,IND,0.1765452207783217,0.0,-0.1765452207783217
strict_policy,ZMB,THA,0.0,0.1765452207783217,0.1765452207783217
critical_route_policy,AGO,CHN,0.0,0.2596146768518847,0.2596146768518847
critical_route_policy,AGO,IND,0.2596146768518847,0.0,-0.2596146768518847
critical_route_policy,AND,CHN,0.0,0.0260478404576516,0.0260478404576516
critical_route_policy,AND,RUS,0.0260478404576516,0.0,-0.0260478404576516
critical_route_policy,ARE,CHN,0.0,20.09208260385509,20.09208260385509
critical_route_policy,ARE,IND,20.09208260385509,0.0,-20.09208260385509
critical_route_policy,ARG,CHN,0.0,17.613694607852427,17.613694607852427
critical_route_policy,ARG,THA,17.613694607852427,0.0,-17.613694607852427
critical_route_policy,ARM,CHN,0.0,0.1786287002108778,0.1786287002108778
critical_route_policy,ARM,IND,0.1786287002108778,0.0,-0.1786287002108778
critical_route_policy,AUS,KOR,164.85762827236297,174.49271615715418,9.635087884791204
critical_route_policy,AZE,CHN,0.0,3.066692549256279,3.066692549256279
critical_route_policy,AZE,IND,3.066692549256279,0.0,-3.066692549256279
critical_route_policy,BDI,CHN,0.0,1.0144621912519038,1.0144621912519038
critical_route_policy,BDI,IND,1.0144621912519038,0.0,-1.0144621912519038
critical_route_policy,BEL,KOR,316.9950631953592,364.6458023791998,47.650739183840585
critical_route_policy,BEN,CHN,0.0,2.7596970995481125,2.7596970995481125
critical_route_policy,BEN,IND,2.7596970995481125,0.0,-2.7596970995481125
critical_route_policy,BFA,CHN,0.0,2.6865541884589907,2.6865541884589907
critical_route_policy,BFA,IND,2.6865541884589907,0.0,-2.6865541884589907
critical_route_policy,BGD,CHN,0.0,0.0137316012193491,0.0137316012193491
critical_route_policy,BGD,THA,0.0137316012193491,0.0,-0.0137316012193491
critical_route_policy,BHR,CHN,0.0,0.0513233458591921,0.0513233458591921
critical_route_policy,BHR,IND,0.0513233458591921,0.0,-0.0513233458591921
critical_route_policy,BLR,CHN,0.0,9.500649903393816,9.500649903393816
critical_route_policy,BLR,RUS,9.500649903393816,0.0,-9.500649903393816
critical_route_policy,BRA,CHN,757.2867604208968,0.0,-757.2867604208968
critical_route_policy,BRA,IND,5016.242555056266,4956.444546330301,-59.79800872596479
critical_route_policy,BRA,KOR,0.0,728.874769146862,728.874769146862
critical_route_policy,BRN,CHN,0.0,0.12466137392739769,0.12466137392739769
critical_route_policy,BRN,THA,0.12466137392739769,0.0,-0.12466137392739769
critical_route_policy,BWA,CHN,0.0,1.9253965922648373,1.9253965922648373
critical_route_policy,BWA,THA,1.9253965922648373,0.0,-1.9253965922648373
critical_route_policy,CHL,CHN,0.0,3.1928906471147047,3.1928906471147047
critical_route_policy,CHL,THA,3.1928906471147047,0.0,-3.1928906471147047
critical_route_policy,CIV,CHN,0.0,1.0854487379077518,1.0854487379077518
critical_route_policy,CIV,IND,1.0854487379077518,0.0,-1.0854487379077518
critical_route_policy,CMR,CHN,0.0,0.02602201379540631,0.02602201379540631
critical_route_policy,CMR,IND,0.02602201379540631,0.0,-0.02602201379540631
critical_route_policy,COG,CHN,0.0,0.0918650609473483,0.0918650609473483
critical_route_policy,COG,IND,0.0918650609473483,0.0,-0.0918650609473483
critical_route_policy,COM,CHN,0.0,0.0081498982050407,0.0081498982050407
critical_route_policy,COM,THA,0.0081498982050407,0.0,-0.0081498982050407
critical_route_policy,CPV,CHN,0.0,0.0269509200626992,0.0269509200626992
critical_route_policy,CPV,RUS,0.0269509200626992,0.0,-0.0269509200626992
critical_route_policy,CYP,CHN,0.0,4.882764094642915,4.882764094642915
critical_route_policy,CYP,IND,4.882764094642915,0.0,-4.882764094642915
critical_route_policy,CZE,KOR,95.71985310498101,126.593353104981,30.873499999999993
critical_route_policy,DEU,KOR,2265.729079347825,2477.1418930960645,211.4128137482394
critical_route_policy,DZA,CHN,0.0,3.0453173696255633,3.0453173696255633
critical_route_policy,DZA,RUS,3.0453173696255633,0.0,-3.0453173696255633
critical_route_policy,ESP,KOR,1.306971244290011,244.33883719397744,243.03186594968744
critical_route_policy,ETH,CHN,0.0,2.8530830275591206,2.8530830275591206
critical_route_policy,ETH,IND,2.8530830275591206,0.0,-2.8530830275591206
critical_route_policy,FIN,KOR,92.19535340652624,35.31664696986933,-56.878706436656906
critical_route_policy,FRA,KOR,2678.764342431822,1642.4492942690101,-1036.315048162812
critical_route_policy,GBR,KOR,0.0,438.065819191794,438.065819191794
critical_route_policy,GHA,CHN,0.0,0.31970089431662085,0.31970089431662085
critical_route_policy,GHA,IND,0.31970089431662085,0.0,-0.31970089431662085
critical_route_policy,GIN,CHN,0.0,0.022140258202436,0.022140258202436
critical_route_policy,GIN,IND,0.022140258202436,0.0,-0.022140258202436
critical_route_policy,HRV,CHN,0.0,7.649814937825724,7.649814937825724
critical_route_policy,HRV,RUS,7.649814937825724,0.0,-7.649814937825724
critical_route_policy,IDN,CHN,0.0,199.86629723533514,199.86629723533514
critical_route_policy,IDN,THA,199.86629723533514,0.0,-199.86629723533514
critical_route_policy,IRN,CHN,0.0,1.0805387985449713,1.0805387985449713
