Year,country,scenario,retired_lithium_t,collected_lithium_t,capture_loss_lithium_t,avg_collection_rate,capture_loss_share_of_retired,collected_share_of_retired
2030,Croatia,high_collection,16.231099224055598,8.672276315412907,7.558822908642692,0.5343,0.4657,0.5343
2030,Senegal,high_collection,15.11092603879835,8.07376778252996,7.037158256268392,0.5343,0.4657,0.5343
2030,Bolivia (Plurinational State of),high_collection,14.811795515029374,7.913942343680194,6.89785317134918,0.5343,0.4657,0.5343
2030,Hungary,high_collection,48.195003077772384,42.4116027084397,5.783400369332687,0.88,0.12000000000000002,0.8800000000000001
2030,Jordan,high_collection,11.522484181943069,6.156463298412181,5.3660208835308865,0.5343,0.46569999999999995,0.5342999999999999
2030,Dominican Rep.,high_collection,11.478067563489033,6.1327314991721895,5.345336064316842,0.5343,0.46569999999999995,0.5343
2030,Malawi,high_collection,11.081393230196722,5.920788402894109,5.160604827302614,0.5343,0.46570000000000006,0.5343
2030,Morocco,high_collection,10.694781412428805,5.71422170866071,4.980559703768094,0.5343,0.46569999999999995,0.5343
2030,Ecuador,high_collection,9.104647709646045,4.864613271263882,4.240034438382163,0.5343,0.4657,0.5343
2030,Costa Rica,high_collection,8.938650692499023,4.775921065002228,4.1627296274967955,0.5343,0.46570000000000006,0.5343
2030,Ukraine,high_collection,8.889725556628488,4.749780364906602,4.139945191721887,0.5343,0.46570000000000006,0.5343000000000001
2030,Guyana,high_collection,8.209322612414198,4.386241071812906,3.8230815406012915,0.5343,0.46569999999999995,0.5343
2030,Uzbekistan,high_collection,7.456797600543935,3.9841669579706247,3.4726306425733102,0.5343,0.46569999999999995,0.5343
2030,Nicaragua,high_collection,7.376648948911693,3.941343533403517,3.435305415508175,0.5343,0.46569999999999995,0.5343
2030,Cambodia,high_collection,7.129556368402336,3.8093219676373677,3.320234400764968,0.5343,0.4657,0.5342999999999999
2030,Chile,high_collection,6.774559296673342,3.6196470322125665,3.1549122644607754,0.5343,0.4657,0.5343
