policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_route_value
strict_policy,SLB,CHN,0.1049429211054044,0.0,-0.1049429211054044
strict_policy,SLB,KOR,0.0,0.1049429211054044,0.1049429211054044
strict_policy,SLE,CHN,2.7874498701893056,0.0,-2.7874498701893056
strict_policy,SLE,RUS,0.0,2.7874498701893056,2.7874498701893056
strict_policy,SLV,CHN,0.0108306778706648,0.0,-0.0108306778706648
strict_policy,SLV,KOR,0.0,0.0108306778706648,0.0108306778706648
strict_policy,SVK,KOR,302.24914037459007,132.44156790688942,-169.80757246770065
strict_policy,SYC,CHN,12.0265052619372,0.0,-12.0265052619372
strict_policy,SYC,THA,0.0,12.0265052619372,12.0265052619372
strict_policy,TGO,CHN,29.341567882271665,0.0,-29.341567882271665
strict_policy,TGO,KOR,0.0,29.341567882271665,29.341567882271665
strict_policy,TJK,CHN,11.05160415122004,0.0,-11.05160415122004
strict_policy,TJK,KOR,0.0,11.05160415122004,11.05160415122004
strict_policy,TON,CHN,8.773508218516597e-05,0.0,-8.773508218516597e-05
strict_policy,TON,KOR,0.0,8.773508218516597e-05,8.773508218516597e-05
strict_policy,TTO,CHN,63.967121996229224,0.0,-63.967121996229224
strict_policy,TTO,KOR,0.0,63.967121996229224,63.967121996229224
strict_policy,TUN,CHN,11.445694582154998,0.0,-11.445694582154998
strict_policy,TUN,RUS,0.0,11.445694582154998,11.445694582154998
strict_policy,TUR,KOR,1019.6644532218758,835.7372813547645,-183.92717186711127
strict_policy,TZA,CHN,326.7649912551952,0.0,-326.7649912551952
strict_policy,TZA,KOR,0.0,259.21703460942433,259.21703460942433
strict_policy,TZA,THA,0.0,67.54795664577084,67.54795664577084
strict_policy,UGA,CHN,4212.491936341636,0.0,-4212.491936341636
strict_policy,UGA,KOR,0.0,4212.491936341636,4212.491936341636
strict_policy,UKR,CHN,2.6913273155713426,0.0,-2.6913273155713426
strict_policy,UKR,RUS,0.0,2.6913273155713426,2.6913273155713426
strict_policy,URY,KOR,0.0,15.920321025647084,15.920321025647084
strict_policy,URY,RUS,15.920321025647084,0.0,-15.920321025647084
strict_policy,USA,KOR,6069.893619880137,6937.956274593428,868.0626547132915
strict_policy,UZB,CHN,246.43278750420006,0.0,-246.43278750420006
strict_policy,UZB,KOR,0.0,246.43278750420006,246.43278750420006
strict_policy,VNM,CHN,1252.4532769698553,0.0,-1252.4532769698553
strict_policy,VNM,KOR,0.0,335.62983662633303,335.62983662633303
strict_policy,WSM,CHN,0.1934305495983078,0.0,-0.1934305495983078
strict_policy,WSM,KOR,0.0,0.1934305495983078,0.1934305495983078
strict_policy,YEM,CHN,108.1311111422629,0.0,-108.1311111422629
strict_policy,YEM,KOR,0.0,108.1311111422629,108.1311111422629
strict_policy,ZMB,CHN,0.1699520127111512,0.0,-0.1699520127111512
strict_policy,ZMB,THA,0.0,0.1699520127111512,0.1699520127111512
strict_policy,ZWE,CHN,0.4514884554775246,0.0,-0.4514884554775246
strict_policy,ZWE,THA,0.0,0.4514884554775246,0.4514884554775246
critical_route_policy,AND,CHN,0.0,0.13760561853706169,0.13760561853706169
