,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
92,Russian Federation,NMC622,98.8867680554965,2023,Strategy 2,Direct,2.478807863,245.12129820262197
93,Russian Federation,NMC811,17.74494422823665,2023,Strategy 2,Direct,2.397518212,42.543826958121656
94,Russian Federation,NMC523,313.6565899898164,2023,Strategy 2,Direct,2.496014242,782.8913157117364
95,Russian Federation,NCA,967.8367845372354,2023,Strategy 2,Direct,2.452491446,2373.611435201715
96,Serbia,LFP,0.007413689333023927,2023,Strategy 2,Direct,2.252335332,0.016698114425241304
97,Serbia,NMC111,16.765545349481396,2023,Strategy 2,Direct,2.5573470780000003,42.87531841057274
98,Serbia,NMC622,2.656190337144038,2023,Strategy 2,Direct,2.478807863,6.584185493337263
99,Serbia,NMC811,0.5055875309878543,2023,Strategy 2,Direct,2.397518212,1.212155313303495
100,Serbia,NMC523,7.7051284813585745,2023,Strategy 2,Direct,2.496014242,19.232110425910836
101,Serbia,NCA,26.566859935496048,2023,Strategy 2,Direct,2.452491446,65.15499673888417
102,Turkey,LFP,0.34976318270456824,2023,Strategy 2,Direct,2.252335332,0.7877839742382703
103,Turkey,NMC111,520.1434446678104,2023,Strategy 2,Direct,2.5573470780000003,1330.1873183620798
104,Turkey,NMC622,96.34370161870154,2023,Strategy 2,Direct,2.478807863,238.81752512296322
105,Turkey,NMC811,25.561555986754293,2023,Strategy 2,Direct,2.397518212,61.28429600530105
106,Turkey,NMC523,282.68988972657735,2023,Strategy 2,Direct,2.496014242,705.5979908269466
107,Turkey,NCA,871.7200772957652,2023,Strategy 2,Direct,2.452491446,2137.886032874323
108,USA,LFP,72.67105443111456,2023,Strategy 2,Direct,2.252335332,163.67958350889447
109,USA,NMC111,4402.3260298815,2023,Strategy 2,Direct,2.5573470780000003,11258.275608920796
110,USA,NMC622,948.4664024691829,2023,Strategy 2,Direct,2.478807863,2351.0659762319333
111,USA,NMC811,278.55530164344793,2023,Strategy 2,Direct,2.397518212,667.84140873932
112,USA,NMC523,2817.436444018835,2023,Strategy 2,Direct,2.496014242,7032.3614902008485
113,USA,NCA,21752.362470683718,2023,Strategy 2,Direct,2.452491446,53347.48288964324
114,Canada,LFP,1.479902374069103,2023,Strategy 2,Direct,2.252335332,3.3332364050265215
115,Canada,NMC111,475.87351833346827,2023,Strategy 2,Direct,2.5573470780000003,1216.9737516076746
116,Canada,NMC622,129.9374654866231,2023,Strategy 2,Direct,2.478807863,322.09001114653245
117,Canada,NMC811,43.02047123609268,2023,Strategy 2,Direct,2.397518212,103.14236327735436
118,Canada,NMC523,343.0089614010258,2023,Strategy 2,Direct,2.496014242,856.1552527905886
119,Canada,NCA,948.7503487236388,2023,Strategy 2,Direct,2.452491446,2326.802114634241
120,Brazil,LFP,1.4229203475426893,2023,Strategy 2,Direct,2.252335332,3.204893773392118
121,Brazil,NMC111,15.905190283314633,2023,Strategy 2,Direct,2.5573470780000003,40.67509189606867
122,Brazil,NMC622,7.675899848056379,2023,Strategy 2,Direct,2.478807863,19.02708089896266
123,Brazil,NMC811,4.777010401029409,2023,Strategy 2,Direct,2.397518212,11.452969435381434
124,Brazil,NMC523,16.600186517818152,2023,Strategy 2,Direct,2.496014242,41.434301968330495
125,Brazil,NCA,50.4550385578365,2023,Strategy 2,Direct,2.452491446,123.74055047069419
126,Australia,LFP,0.4556539479806317,2023,Strategy 2,Direct,2.252335332,1.0262854862020667
127,Australia,NMC111,139.32007765308379,2023,Strategy 2,Direct,2.5573470780000003,356.28979349284697
128,Australia,NMC622,37.25592911304248,2023,Strategy 2,Direct,2.478807863,92.35029002878031
129,Australia,NMC811,12.206000755032893,2023,Strategy 2,Direct,2.397518212,29.26410910587711
130,Australia,NMC523,99.11879738336108,2023,Strategy 2,Direct,2.496014242,247.40192991878163
131,Australia,NCA,273.8644055752438,2023,Strategy 2,Direct,2.452491446,671.65011203716
132,Czechia,LFP,0.44587484266791455,2023,Strategy 2,Direct,2.252335332,1.004259661790885
133,Czechia,NMC111,9.943073340664807,2023,Strategy 2,Direct,2.5573470780000003,25.427889554088843
134,Czechia,NMC622,3.854963436444261,2023,Strategy 2,Direct,2.478807863,9.555713677835534
135,Czechia,NMC811,1.4120081301101546,2023,Strategy 2,Direct,2.397518212,3.3853152074311614
136,Czechia,NMC523,9.176726471973627,2023,Strategy 2,Direct,2.496014242,22.90523996898459
137,Czechia,NCA,13.540259415845606,2023,Strategy 2,Direct,2.452491446,33.2073703939823
138,Netherlands,LFP,9.383732719553086,2023,Strategy 2,Direct,2.252335332,21.13531275029386
139,Netherlands,NMC111,1296.649774993484,2023,Strategy 2,Direct,2.5573470780000003,3315.983513268944
140,Netherlands,NMC622,320.0912188813738,2023,Strategy 2,Direct,2.478807863,793.4446302404034
141,Netherlands,NMC811,93.2991513594621,2023,Strategy 2,Direct,2.397518212,223.68641454845496
142,Netherlands,NMC523,801.3651007706793,2023,Strategy 2,Direct,2.496014242,2000.218704565381
143,Netherlands,NCA,1547.6056990039028,2023,Strategy 2,Direct,2.452491446,3795.489738587922
