,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
117,TTO,USA,7.0,3498.427,416.31281300000006,2023,Strategy 2
118,URY,USA,21.0,8487.635,3030.085695,2023,Strategy 2
119,BRA,USA,96.0,6794.436,11088.519552,2023,Strategy 2
120,IRL,GBR,28.0,460.4115,219.155874,2023,Strategy 2
0,ABW,BEL,6.0,7847.07,800.40114,2023,Strategy 3
1,AGO,BEL,32.0,6696.229,3642.7485760000004,2023,Strategy 3
2,AND,BEL,1.0,952.5,16.192500000000003,2023,Strategy 3
3,ARG,BEL,602.0,11326.76,115918.06184000001,2023,Strategy 3
4,BEN,BEL,5.0,4936.404,419.5943400000001,2023,Strategy 3
5,BFA,BEL,16.0,4319.717000000001,1174.9630240000001,2023,Strategy 3
6,BMU,BEL,9.0,5879.001,899.4871530000001,2023,Strategy 3
7,BOL,BEL,82.0,10306.71,14367.553740000001,2023,Strategy 3
8,BWA,BEL,33.0,8675.436,4866.919596,2023,Strategy 3
9,CHL,BEL,9.0,11904.94,1821.4558200000001,2023,Strategy 3
10,CIV,BEL,34.0,4979.227,2877.993206,2023,Strategy 3
11,CMR,BEL,8.0,5272.0109999999995,716.9934959999999,2023,Strategy 3
12,COG,BEL,14.0,6216.578,1479.5455640000002,2023,Strategy 3
13,COL,BEL,296.0,8874.132,44654.632224,2023,Strategy 3
14,CRI,BEL,98.0,9046.46,15071.40236,2023,Strategy 3
15,DOM,BEL,38.0,7324.625,4731.7077500000005,2023,Strategy 3
16,DZA,BEL,158.0,1561.8829999999998,4195.217737999999,2023,Strategy 3
17,ECU,BEL,46.0,9535.309000000001,7456.611638000001,2023,Strategy 3
18,GHA,BEL,107.0,5058.144,9200.763936000001,2023,Strategy 3
19,GIN,BEL,2.0,4952.734,168.39295600000003,2023,Strategy 3
20,GTM,BEL,125.0,9095.274,19327.457250000003,2023,Strategy 3
21,GUY,BEL,2.0,7525.764,255.875976,2023,Strategy 3
22,HND,BEL,31.0,8916.339,4698.910653000001,2023,Strategy 3
23,IRL,BEL,28.0,775.6281,369.19897560000004,2023,Strategy 3
24,ISL,BEL,182.0,2133.1679999999997,6600.021792,2023,Strategy 3
25,JAM,BEL,26.0,7861.621,3474.836482,2023,Strategy 3
26,LCA,BEL,1.0,7086.5830000000005,120.47191100000002,2023,Strategy 3
27,LSO,BEL,2.0,9206.208,313.011072,2023,Strategy 3
28,LUX,BEL,4.0,187.8091,12.7710188,2023,Strategy 3
29,MAR,BEL,33.0,2078.484,1166.029524,2023,Strategy 3
30,MEX,BEL,102.0,9259.353000000001,16055.718102000003,2023,Strategy 3
31,MLI,BEL,2.0,4392.599,149.34836600000003,2023,Strategy 3
32,NAM,BEL,14.0,8264.846,1967.0333480000002,2023,Strategy 3
33,NER,BEL,5.0,4156.513,353.303605,2023,Strategy 3
34,NGA,BEL,187.0,4643.222,14760.802738,2023,Strategy 3
