,country,type,recycling_m,scrap_sum,year,Strategy type,CO2,CO2_em
32,Finland,NMC111,Direct,148.27710158676558,2023,Strategy 2,2.5573470780000003,379.19601247722414
33,Finland,NMC523,Direct,133.29143619002528,2023,Strategy 2,2.496014242,332.6973230669374
34,Finland,NMC622,Direct,54.00554971795156,2023,Strategy 2,2.478807863,133.86938128649575
35,Finland,NMC811,Direct,18.185576498945398,2023,Strategy 2,2.397518212,43.60025085194079
36,France,LFP,Direct,30.82865907948463,2023,Strategy 2,2.252335332,69.43647808290582
37,France,NCA,Direct,2396.6135226315027,2023,Strategy 2,2.452491446,5877.6741636216875
38,France,NMC111,Hydro,1934.5415240208572,2023,Strategy 2,2.414310695,4670.584291365155
39,France,NMC523,Hydro,1461.4590501316059,2023,Strategy 2,2.357900841,3445.9755233923747
40,France,NMC622,Direct,572.422007215759,2023,Strategy 2,2.478807863,1418.924172440666
41,France,NMC811,Direct,191.58947696609516,2023,Strategy 2,2.397518212,459.3392602537677
42,Germany,LFP,Direct,64.03424586812926,2023,Strategy 2,2.252335332,144.22659442676255
43,Germany,NCA,Direct,3957.488166384406,2023,Strategy 2,2.452491446,9705.70587570398
44,Germany,NMC111,Hydro,2952.52905590908,2023,Strategy 2,2.414310695,7128.322476979545
45,Germany,NMC523,Hydro,2552.22145298083,2023,Strategy 2,2.357900841,6017.885110401741
46,Germany,NMC622,Direct,1059.283188919846,2023,Strategy 2,2.478807863,2625.759497838229
47,Germany,NMC811,Direct,418.48384338318425,2023,Strategy 2,2.397518212,1003.3226359389399
48,Hungary,LFP,Direct,6.591016806710752,2023,Strategy 2,2.252335332,14.845180027560442
49,Hungary,NCA,Direct,1439.4030339539156,2023,Strategy 2,2.452491446,3530.123628118425
50,Hungary,NMC111,Hydro,930.3574307845996,2023,Strategy 2,2.414310695,2246.171895315981
51,Hungary,NMC523,Hydro,600.3590053751325,2023,Strategy 2,2.357900841,1415.5870036759486
52,Hungary,NMC622,Direct,218.75772452851845,2023,Strategy 2,2.478807863,542.2583676532795
53,Hungary,NMC811,Direct,64.96141772885846,2023,Strategy 2,2.397518212,155.74618208227784
54,India,LFP,Direct,0.5500682353155628,2023,Strategy 2,2.252335332,1.2389381214121322
55,India,NCA,Direct,1050.9838454778624,2023,Strategy 2,2.452491446,2577.528890918643
56,India,NMC111,Direct,622.5231905862626,2023,Strategy 2,2.5573470780000003,1592.0078624330158
57,India,NMC523,Direct,363.6371871037995,2023,Strategy 2,2.496014242,907.6435979319023
58,India,NMC622,Direct,122.32690928770788,2023,Strategy 2,2.478807863,303.224904598858
59,India,NMC811,Direct,30.105518510679477,2023,Strategy 2,2.397518212,72.17852891105717
60,Italy,LFP,Direct,32.01686295673592,2023,Strategy 2,2.252335332,72.1127116572583
61,Italy,NCA,Direct,939.6628804152809,2023,Strategy 2,2.452491446,2304.5151763421973
62,Italy,NMC111,Direct,592.7072182065572,2023,Strategy 2,2.5573470780000003,1515.7580725900475
63,Italy,NMC523,Hydro,504.42043358982556,2023,Strategy 2,2.357900841,1189.3733645790344
64,Italy,NMC622,Direct,214.09514235160853,2023,Strategy 2,2.478807863,530.7007222912715
65,Italy,NMC811,Direct,85.87215056596494,2023,Strategy 2,2.397518212,205.88004488550706
