,country,type,scrap_sum,year,Strategy type
143,Netherlands,NCA,1547.6056990039028,2023,Strategy 2
144,Belgium,LFP,6.510830101648675,2023,Strategy 2
145,Belgium,NMC111,488.47985945987506,2023,Strategy 2
146,Belgium,NMC622,146.7014665525706,2023,Strategy 2
147,Belgium,NMC811,46.34652010844001,2023,Strategy 2
148,Belgium,NMC523,383.7429299203142,2023,Strategy 2
149,Belgium,NCA,603.7566892892808,2023,Strategy 2
150,Finland,LFP,1.6304813980311421,2023,Strategy 2
151,Finland,NMC111,148.27710158676558,2023,Strategy 2
152,Finland,NMC622,54.00554971795156,2023,Strategy 2
153,Finland,NMC811,18.185576498945398,2023,Strategy 2
154,Finland,NMC523,133.29143619002528,2023,Strategy 2
155,Finland,NCA,191.19824214559398,2023,Strategy 2
156,Switzerland,LFP,0.6092355996996099,2023,Strategy 2
157,Switzerland,NMC111,211.85973449341603,2023,Strategy 2
158,Switzerland,NMC622,55.45067657893915,2023,Strategy 2
159,Switzerland,NMC811,23.12911873031292,2023,Strategy 2
160,Switzerland,NMC523,144.6889801148194,2023,Strategy 2
161,Switzerland,NCA,427.6442908322617,2023,Strategy 2
162,Romania,LFP,0.21001907051125548,2023,Strategy 2
163,Romania,NMC111,4.329400859148668,2023,Strategy 2
164,Romania,NMC622,1.6809038890632193,2023,Strategy 2
165,Romania,NMC811,0.6176955017386859,2023,Strategy 2
166,Romania,NMC523,3.998550420447996,2023,Strategy 2
167,Romania,NCA,5.901307530680433,2023,Strategy 2
168,India,LFP,0.2774006172682399,2023,Strategy 3
169,India,NMC111,39.85269195425063,2023,Strategy 3
170,India,NMC622,11.19896132404273,2023,Strategy 3
171,India,NMC811,4.969954086116613,2023,Strategy 3
172,India,NMC523,30.0651296506344,2023,Strategy 3
173,India,NCA,80.76258156931486,2023,Strategy 3
174,Japan,LFP,0.39267696085916365,2023,Strategy 3
175,Japan,NMC111,838.4227588363309,2023,Strategy 3
176,Japan,NMC622,145.78917286278863,2023,Strategy 3
177,Japan,NMC811,27.017023810428597,2023,Strategy 3
178,Japan,NMC523,480.91852038359184,2023,Strategy 3
179,Japan,NCA,1237.8173389294136,2023,Strategy 3
180,Korea,LFP,4.342182466608213,2023,Strategy 3
181,Korea,NMC111,2709.201327178395,2023,Strategy 3
182,Korea,NMC622,622.5232867866337,2023,Strategy 3
183,Korea,NMC811,168.03609144313896,2023,Strategy 3
184,Korea,NMC523,1781.4498145512598,2023,Strategy 3
185,Korea,NCA,4707.126719304735,2023,Strategy 3
186,Thailand,LFP,0.2163575283362519,2023,Strategy 3
187,Thailand,NMC111,386.49796447423677,2023,Strategy 3
188,Thailand,NMC622,70.49564964314196,2023,Strategy 3
189,Thailand,NMC811,19.61790307794037,2023,Strategy 3
190,Thailand,NMC523,215.51698139099906,2023,Strategy 3
191,Thailand,NCA,603.3303033872922,2023,Strategy 3
192,Viet Nam,LFP,0.3043063680273929,2023,Strategy 3
193,Viet Nam,NMC111,867.613338323516,2023,Strategy 3
194,Viet Nam,NMC622,169.58133644348143,2023,Strategy 3
195,Viet Nam,NMC811,36.4267486233314,2023,Strategy 3
196,Viet Nam,NMC523,510.639165255263,2023,Strategy 3
197,Viet Nam,NCA,1415.4351049863808,2023,Strategy 3
198,France,LFP,30.82865907948463,2023,Strategy 3
199,France,NMC111,1934.5415240208572,2023,Strategy 3
200,France,NMC622,572.422007215759,2023,Strategy 3
201,France,NMC811,191.58947696609516,2023,Strategy 3
202,France,NMC523,1461.4590501316059,2023,Strategy 3
203,France,NCA,2396.6135226315027,2023,Strategy 3
204,Germany,LFP,73.31202966394625,2023,Strategy 3
205,Germany,NMC111,4970.940427383997,2023,Strategy 3
206,Germany,NMC622,1482.2550478394137,2023,Strategy 3
207,Germany,NMC811,527.9810362496346,2023,Strategy 3
208,Germany,NMC523,3766.128224571796,2023,Strategy 3
209,Germany,NCA,7211.423187736689,2023,Strategy 3
210,Hungary,LFP,0.1360482157713156,2023,Strategy 3
211,Hungary,NMC111,2.7118136486623126,2023,Strategy 3
212,Hungary,NMC622,1.0405530667633878,2023,Strategy 3
213,Hungary,NMC811,0.38078683931865287,2023,Strategy 3
214,Hungary,NMC523,2.484769990468736,2023,Strategy 3
215,Hungary,NCA,3.6756574167508846,2023,Strategy 3
216,Italy,LFP,28.81573232112863,2023,Strategy 3
217,Italy,NMC111,404.0327715229658,2023,Strategy 3
218,Italy,NMC622,163.2829751500727,2023,Strategy 3
219,Italy,NMC811,70.30297309065507,2023,Strategy 3
220,Italy,NMC523,374.3371386354456,2023,Strategy 3
221,Italy,NCA,571.0030973657052,2023,Strategy 3
222,Poland,LFP,4.824105237398018,2023,Strategy 3
223,Poland,NMC111,59.38606312645838,2023,Strategy 3
224,Poland,NMC622,23.718762179365708,2023,Strategy 3
225,Poland,NMC811,9.810822594312693,2023,Strategy 3
226,Poland,NMC523,55.34542703540138,2023,Strategy 3
227,Poland,NCA,83.36455446513465,2023,Strategy 3
228,Slovakia,LFP,0.4928715649001103,2023,Strategy 3
