,country,total_netprofits,scrap_sum,net_profit
93,Mauritius,-14918305.965798922,774.564240455342,-19.26025652440257
94,Mexico,254962226.57409823,45256.50093512867,5.633714964830463
95,Mongolia,-14536068.305299934,407.17587865619487,-35.69972846444984
96,Montenegro,-6322275.690183482,110.19664601663602,-57.37266893975184
97,Morocco,-19736008.88735962,2195.0990619398963,-8.990942244728638
98,Mozambique,-7563306.160712691,154.12460897976817,-49.07267055389916
99,Myanmar,-13614819.86275426,5461.42407756916,-2.4929065513649173
100,Namibia,-15415813.049144123,850.1111082587609,-18.133880265039174
101,Nepal,-11933883.832984112,435.5510450658668,-27.399506827447503
102,Netherlands,-144820627.04181176,61529.55633842266,-2.35367578867747
103,New Caledonia,-173584.18891314176,0.20899307901250547,-830.5738627007598
104,New Zealand,18910432.421786536,12742.779077303177,1.4840116356932598
105,Nicaragua,-17985909.10788632,1306.1212978137128,-13.7704737974892
106,Niger,-12708097.422029683,505.2374766479841,-25.152721263557098
107,Nigeria,293649148.4186777,52039.56495577286,5.642805597399649
108,North Macedonia,-9384609.603177175,257.71333962565075,-36.414915955879785
109,Norway,32075300.429436885,15344.118434689091,2.090397083805278
110,Oman,-15339303.914896615,848.8287354261961,-18.071141179256575
111,Pakistan,209074913.1005542,40656.1471844899,5.1425166322773235
112,Palau,-1179716.5966351721,3.9208824340366415,-300.88037998645774
113,Panama,-2315426.804196021,13.641358360514614,-169.73579485296014
114,Papua New Guinea,0.0,0.0,
115,Paraguay,-15167096.335806012,741.711292127147,-20.448787145074245
116,Peru,-11656541.487315152,5706.374377487845,-2.042722877296878
117,Philippines,1581025955.9905844,210713.3910063742,7.5032058875781535
118,Poland,359013865.03037167,164728.54990373514,2.179427095304207
119,Portugal,144616076.46060497,40176.2898925626,3.59953785795876
120,Qatar,-2231027.7919363678,16.21557814838255,-137.58546081558646
121,Rep. of Moldova,-12254864.371742884,473.6920965537775,-25.870949633527626
122,Romania,-812827812.8816324,32991.573020621334,-24.637437335090862
123,Russian Federation,64454549.92853161,19740.374489001813,3.265112825718779
124,Rwanda,-1599505.4671696906,8.441728959555398,-189.47605103563194
125,Saint Lucia,-3390855.5723416,24.879087916238703,-136.29340367129663
126,Samoa,-1038651.655639548,3.07590186429248,-337.6738600463962
127,Saudi Arabia,21707018.478045575,12685.0043616504,1.7112346089269577
128,Senegal,-14234707.213725816,5292.499909334591,-2.6895998975114765
129,Serbia,-14664354.384535223,737.5346039799177,-19.882937431549337
130,Seychelles,-6608911.831710885,115.5522262715333,-57.19415406312266
131,Sierra Leone,-248755.67943199127,0.2744222154945657,-906.4706331580409
132,Singapore,0.0,0.0,
133,Slovakia,-495787368.64340794,18929.753477829323,-26.190904663606844
134,Slovenia,-26628480.129708696,3841.0111032980935,-6.932674604049982
135,Solomon Isds,-1062525.5195987066,3.224808528061309,-329.4848392867145
136,South Africa,-10910896.023529377,350.2663263981499,-31.15028537207112
137,Spain,403261910.6004125,188123.6946869847,2.143599780300892
138,Sri Lanka,725302377.3471571,107114.95936591036,6.771251948754291
139,State of Palestine,-3919157.5859186626,40.71781473685982,-96.25166800444336
140,Sudan,-1879130.5325678776,9.836580168407687,-191.03494307941628
141,Sweden,99587079.55986871,35195.23019995302,2.829561818294391
142,Switzerland,112395056.4390653,29319.948180947777,3.8333988772906524
143,Tajikistan,-6580221.091251411,114.68587106887611,-57.3760396980337
144,Thailand,75745618.4796144,21312.800681415552,3.5539964743189976
145,Togo,-12178312.81172663,456.13797842660705,-26.698747720446896
146,Tonga,-12617.195193910899,0.0032151031263573963,-3924.35162980472
147,Trinidad and Tobago,-15966211.592276996,859.0126310041318,-18.586701773655523
148,Tunisia,-9431703.833978212,251.22796931118685,-37.54241161857065
149,Turkey,-164144863.35310164,35233.134088106075,-4.6588209536691005
150,USA,8277673652.544669,1349397.8736856594,6.13434615095069
151,Uganda,103573575.05674082,25655.496711766486,4.037091007060426
152,Ukraine,-6524376.134965243,140.6886377077513,-46.37457751576323
153,United Arab Emirates,-10322867.982234323,414.03857552336433,-24.93214060836175
154,United Kingdom,739887912.667112,221005.17220271847,3.347830755691296
155,United Rep. of Tanzania,-18447821.111788824,3632.348069076153,-5.078759183031933
156,Uruguay,-11959777.227443228,378.92234385638113,-31.56260754044162
157,Uzbekistan,-18906232.667273194,1724.6653108633186,-10.962261807080278
158,Viet Nam,-320874028.808854,59368.30898941179,-5.40480324049791
159,Yemen,-16097175.946752159,974.4686777441877,-16.518925968986252
160,Zambia,-9214783.666665955,241.39832384346477,-38.17252547553437
161,Zimbabwe,-2377613.550158605,17.605156537754667,-135.0521107301578
