,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
222,Congo,LFP,Pyro,0.0,high_collection,baseline
223,Congo,NCA,Pyro,-823.3170927268475,high_collection,baseline
224,Congo,NMC111,Pyro,-1407.715729342882,high_collection,baseline
225,Congo,NMC523,Pyro,-1630.788472946752,high_collection,baseline
226,Congo,NMC622,Pyro,-2856.904050583285,high_collection,baseline
227,Congo,NMC811,Pyro,-4175.771864734117,high_collection,baseline
228,Costa Rica,LFP,Pyro,0.0,high_collection,baseline
229,Costa Rica,NCA,Pyro,-276.3453687042661,high_collection,baseline
230,Costa Rica,NMC111,Pyro,-453.1127734776486,high_collection,baseline
231,Costa Rica,NMC523,Pyro,-547.5604856716025,high_collection,baseline
232,Costa Rica,NMC622,Pyro,-1004.0583733113925,high_collection,baseline
233,Costa Rica,NMC811,Pyro,-1925.2920686378347,high_collection,baseline
234,Croatia,LFP,Pyro,-24766.13170193306,high_collection,baseline
235,Croatia,NCA,Pyro,-790.4020020944096,high_collection,baseline
236,Croatia,NMC111,Pyro,-1083.06736031553,high_collection,baseline
237,Croatia,NMC523,Pyro,-1019.8789435530017,high_collection,baseline
238,Croatia,NMC622,Pyro,-1589.934618746944,high_collection,baseline
239,Croatia,NMC811,Pyro,-2280.31033047632,high_collection,baseline
240,Cyprus,LFP,Pyro,-33778.18137867572,high_collection,baseline
241,Cyprus,NCA,Pyro,-1048.4936474188578,high_collection,baseline
242,Cyprus,NMC111,Pyro,-1438.1643248075889,high_collection,baseline
243,Cyprus,NMC523,Pyro,-1355.4456838414096,high_collection,baseline
244,Cyprus,NMC622,Pyro,-2123.0055040041257,high_collection,baseline
245,Cyprus,NMC811,Pyro,-3055.9770862588057,high_collection,baseline
246,Czechia,LFP,Pyro,-4490.705744889508,high_collection,baseline
247,Czechia,NCA,Pyro,-138.7138270928726,high_collection,baseline
248,Czechia,NMC111,Pyro,-192.07357136116732,high_collection,baseline
249,Czechia,NMC523,Pyro,-180.86789285039495,high_collection,baseline
250,Czechia,NMC622,Pyro,-283.56203774508384,high_collection,baseline
251,Czechia,NMC811,Pyro,-408.2321686162333,high_collection,baseline
252,Denmark,LFP,Pyro,-649.9811142724246,high_collection,baseline
253,Denmark,NCA,Pyro,-18.065256874972793,high_collection,baseline
254,Denmark,NMC111,Pyro,-27.177426771194856,high_collection,baseline
255,Denmark,NMC523,Pyro,-25.460800724970497,high_collection,baseline
256,Denmark,NMC622,Pyro,-41.03905588582196,high_collection,baseline
257,Denmark,NMC811,Pyro,-59.75870518104789,high_collection,baseline
258,Dominican Rep.,LFP,Pyro,0.0,high_collection,baseline
259,Dominican Rep.,NCA,Pyro,-324.8261376282379,high_collection,baseline
260,Dominican Rep.,NMC111,Pyro,-705.775175874066,high_collection,baseline
261,Dominican Rep.,NMC523,Pyro,-682.3266688429261,high_collection,baseline
262,Dominican Rep.,NMC622,Pyro,-1129.3193301110393,high_collection,baseline
263,Dominican Rep.,NMC811,Pyro,-1677.9576300550132,high_collection,baseline
264,Ecuador,LFP,Pyro,0.0,high_collection,baseline
265,Ecuador,NCA,Pyro,-340.5975560354683,high_collection,baseline
266,Ecuador,NMC111,Pyro,-640.8256805129505,high_collection,baseline
267,Ecuador,NMC523,Pyro,-664.0731649253165,high_collection,baseline
268,Ecuador,NMC622,Pyro,-1170.6508092176414,high_collection,baseline
269,Ecuador,NMC811,Pyro,-1955.1147732386858,high_collection,baseline
270,Egypt,LFP,Pyro,0.0,high_collection,baseline
271,Egypt,NCA,Pyro,-168.97444919557446,high_collection,baseline
272,Egypt,NMC111,Pyro,-392.9031065982398,high_collection,baseline
273,Egypt,NMC523,Pyro,-358.0813553816637,high_collection,baseline
274,Egypt,NMC622,Pyro,-577.3645861784806,high_collection,baseline
275,Egypt,NMC811,Pyro,-1059.9539108965776,high_collection,baseline
276,El Salvador,LFP,Pyro,0.0,high_collection,baseline
277,El Salvador,NCA,Pyro,-408.65355994638253,high_collection,baseline
278,El Salvador,NMC111,Pyro,-774.9058551253921,high_collection,baseline
279,El Salvador,NMC523,Pyro,-799.0682921301734,high_collection,baseline
280,El Salvador,NMC622,Pyro,-1402.2672628508349,high_collection,baseline
281,El Salvador,NMC811,Pyro,-2168.044097103894,high_collection,baseline
282,Estonia,LFP,Pyro,-25353.350902302216,high_collection,baseline
283,Estonia,NCA,Pyro,-849.7434459640014,high_collection,baseline
284,Estonia,NMC111,Pyro,-1157.578544151718,high_collection,baseline
285,Estonia,NMC523,Pyro,-1092.542328797764,high_collection,baseline
