,country,type,recycling_m,net_profit
498,C?te d'Ivoire,NMC622,Direct,-83.8001946446985
501,C?te d'Ivoire,NMC811,Direct,-93.16107852487781
504,Cabo Verde,LFP,Direct,0.0
507,Cabo Verde,NCA,Direct,-175.38755506490588
510,Cabo Verde,NMC111,Direct,-356.90470425496625
513,Cabo Verde,NMC523,Direct,-326.5371823798963
516,Cabo Verde,NMC622,Direct,-451.73915747335855
519,Cabo Verde,NMC811,Direct,-504.6500977650348
522,Cambodia,LFP,Direct,0.0
525,Cambodia,NCA,Direct,-5.986217317891146
528,Cambodia,NMC111,Direct,-35.940181396386066
531,Cambodia,NMC523,Direct,-35.66684896154195
534,Cambodia,NMC622,Direct,-48.61790635062357
537,Cambodia,NMC811,Direct,-56.32950845536395
540,Cameroon,LFP,Direct,0.0
543,Cameroon,NCA,Direct,-518.8762092505599
546,Cameroon,NMC111,Direct,-608.0430727458241
549,Cameroon,NMC523,Direct,-970.1951930452908
552,Cameroon,NMC622,Direct,-1759.2372287048743
555,Cameroon,NMC811,Direct,0.0
558,Canada,LFP,Direct,0.0
561,Canada,NCA,Direct,6.651675677774541
565,Canada,NMC111,Hydro,2.8400203271648796
568,Canada,NMC523,Hydro,2.9617567283399695
571,Canada,NMC622,Hydro,0.6948153613324387
573,Canada,NMC811,Direct,0.20140061697266187
576,Cayman Isds,LFP,Direct,0.0
579,Cayman Isds,NCA,Direct,0.0
582,Cayman Isds,NMC111,Direct,0.0
585,Cayman Isds,NMC523,Direct,0.0
588,Cayman Isds,NMC622,Direct,0.0
591,Cayman Isds,NMC811,Direct,0.0
594,Chile,LFP,Direct,0.0
597,Chile,NCA,Direct,-2.925632078211072
600,Chile,NMC111,Direct,-20.71211460193762
603,Chile,NMC523,Direct,-23.37933766183089
606,Chile,NMC622,Direct,-24.34490520131865
609,Chile,NMC811,Direct,-26.424869566734888
612,China,LFP,Direct,3.119704859829099
615,China,NCA,Direct,10.143184891281368
619,China,NMC111,Hydro,7.9595179663429345
622,China,NMC523,Hydro,7.336653923397822
624,China,NMC622,Direct,8.372360545696932
627,China,NMC811,Direct,10.064566956120748
630,Colombia,LFP,Direct,0.0
633,Colombia,NCA,Direct,-0.08061918097911994
636,Colombia,NMC111,Direct,-15.113310775160558
639,Colombia,NMC523,Direct,-18.42185533818078
642,Colombia,NMC622,Direct,-17.4171909553981
645,Colombia,NMC811,Direct,-18.73017930473959
648,Comoros,LFP,Direct,0.0
651,Comoros,NCA,Direct,-250.07527848021516
654,Comoros,NMC111,Direct,-503.4036655377991
657,Comoros,NMC523,Direct,-457.9536450561934
660,Comoros,NMC622,Direct,-636.5397737396909
663,Comoros,NMC811,Direct,-710.8219141313729
666,Congo,LFP,Direct,0.0
669,Congo,NCA,Direct,-378.67354190687394
672,Congo,NMC111,Direct,-528.0109443837669
675,Congo,NMC523,Direct,-700.9785989156662
678,Congo,NMC622,Direct,-1095.1108038415755
681,Congo,NMC811,Direct,-1532.2789523229499
684,Costa Rica,LFP,Direct,0.0
687,Costa Rica,NCA,Direct,-8.059514974293506
690,Costa Rica,NMC111,Direct,-30.447253987897696
693,Costa Rica,NMC523,Direct,-32.34833667579961
696,Costa Rica,NMC622,Direct,-36.971710995115
699,Costa Rica,NMC811,Direct,-40.61777988542822
702,Croatia,LFP,Direct,-95.26843446718576
705,Croatia,NCA,Direct,3.2748978982275316
709,Croatia,NMC111,Hydro,-2.0774247489253614
712,Croatia,NMC523,Hydro,-1.9081089438620253
714,Croatia,NMC622,Direct,-3.7064909726664936
717,Croatia,NMC811,Direct,-4.929602363994411
720,Cyprus,LFP,Direct,-180.43255974729067
723,Cyprus,NCA,Direct,-2.6798866478251213
726,Cyprus,NMC111,Direct,-11.822889978626892
730,Cyprus,NMC523,Hydro,-14.866056037854866
732,Cyprus,NMC622,Direct,-13.872803825856026
735,Cyprus,NMC811,Direct,-17.597265650912885
739,Czechia,LFP,Hydro,-10.470454834561824
742,Czechia,NCA,Hydro,8.028395418756647
745,Czechia,NMC111,Hydro,7.547355633942114
748,Czechia,NMC523,Hydro,6.999297783416374
751,Czechia,NMC622,Hydro,7.231338392619747
754,Czechia,NMC811,Hydro,6.811779807231146
756,Denmark,LFP,Direct,-87.51981949921768
759,Denmark,NCA,Direct,4.03037952771984
763,Denmark,NMC111,Hydro,-0.5160709256931635
766,Denmark,NMC523,Hydro,-0.4922809577321437
768,Denmark,NMC622,Direct,-2.318790005584475
771,Denmark,NMC811,Direct,-3.1615177572126414
774,Dominican Rep.,LFP,Direct,0.0
777,Dominican Rep.,NCA,Direct,-2.4251687617818547
780,Dominican Rep.,NMC111,Direct,-19.74352128692305
783,Dominican Rep.,NMC523,Direct,-22.516881149342716
786,Dominican Rep.,NMC622,Direct,-23.143029708659604
789,Dominican Rep.,NMC811,Direct,-25.094116722725364
792,Ecuador,LFP,Direct,0.0
795,Ecuador,NCA,Direct,-5.784709301711668
798,Ecuador,NMC111,Direct,-26.20744540589142
801,Ecuador,NMC523,Direct,-28.373806102791253
804,Ecuador,NMC622,Direct,-31.366354491306517
807,Ecuador,NMC811,Direct,-34.28723805179406
810,Egypt,LFP,Direct,0.0
813,Egypt,NCA,Direct,4.249635888733893
816,Egypt,NMC111,Direct,-6.9544182387435125
820,Egypt,NMC523,Hydro,-5.548443956595364
822,Egypt,NMC622,Direct,-7.0046329526434405
825,Egypt,NMC811,Direct,-7.1036364227384965
828,El Salvador,LFP,Direct,0.0
831,El Salvador,NCA,Direct,-214.7564906561648
834,El Salvador,NMC111,Direct,-324.74408093248724
837,El Salvador,NMC523,Direct,-390.8283997717118
840,El Salvador,NMC622,Direct,-589.2287783264679
843,El Salvador,NMC811,Direct,-810.0168180318224
846,Estonia,LFP,Direct,-167.95683497122235
849,Estonia,NCA,Direct,-2.466297623084391
852,Estonia,NMC111,Direct,-11.452460857070228
856,Estonia,NMC523,Hydro,-14.02779420531561
858,Estonia,NMC622,Direct,-13.262544693942715
861,Estonia,NMC811,Direct,-16.71337195858774
864,Eswatini,LFP,Direct,0.0
867,Eswatini,NCA,Direct,-123.16457077342909
870,Eswatini,NMC111,Direct,-254.74152411573615
873,Eswatini,NMC523,Direct,-234.83568561996728
876,Eswatini,NMC622,Direct,-322.6225836643602
879,Eswatini,NMC811,Direct,-360.2483920566872
882,Ethiopia,LFP,Direct,0.0
885,Ethiopia,NCA,Direct,-11.804566615431867
888,Ethiopia,NMC111,Direct,-38.04966478244574
891,Ethiopia,NMC523,Direct,-39.19272501533568
894,Ethiopia,NMC622,Direct,-46.84450290184891
897,Ethiopia,NMC811,Direct,-51.71785699368219
900,Fiji,LFP,Direct,0.0
903,Fiji,NCA,Direct,-343.02014583456656
906,Fiji,NMC111,Direct,-529.6516081327889
909,Fiji,NMC523,Direct,-621.3663086176891
912,Fiji,NMC622,Direct,-916.6080139984547
915,Fiji,NMC811,Direct,-1209.672896003829
918,Finland,LFP,Direct,-232.95975737832316
921,Finland,NCA,Direct,-7.103301480902551
924,Finland,NMC111,Direct,-17.39830971898836
928,Finland,NMC523,Hydro,-17.458006344431535
930,Finland,NMC622,Direct,-20.952734347858456
933,Finland,NMC811,Direct,-26.188777958175166
936,France,LFP,Direct,-78.9527940682729
939,France,NCA,Direct,4.492278837125558
943,France,NMC111,Hydro,2.2340964965782804
946,France,NMC523,Hydro,2.0680891401775034
949,France,NMC622,Hydro,-0.5012174383696872
951,France,NMC811,Direct,-2.121094165670009
954,French Polynesia,LFP,Direct,0.0
957,French Polynesia,NCA,Direct,-17.50168241261273
960,French Polynesia,NMC111,Direct,-49.326163855638846
963,French Polynesia,NMC523,Direct,-49.17418177637593
966,French Polynesia,NMC622,Direct,-60.85894490627647
969,French Polynesia,NMC811,Direct,-67.33769090917104
972,Georgia,LFP,Direct,0.0
975,Georgia,NCA,Direct,-50.845732982594924
978,Georgia,NMC111,Direct,-109.570030584873
981,Georgia,NMC523,Direct,-104.28798869705737
984,Georgia,NMC622,Direct,-135.7550884360138
987,Georgia,NMC811,Direct,-150.1952757372657
990,Germany,LFP,Direct,-24.73298621750864
993,Germany,NCA,Direct,8.448382745792534
997,Germany,NMC111,Hydro,6.383934202329628
1000,Germany,NMC523,Hydro,5.919308878140028
1003,Germany,NMC622,Hydro,5.529751853555349
1005,Germany,NMC811,Direct,6.092128860007791
1008,Ghana,LFP,Direct,0.0
1011,Ghana,NCA,Direct,-135.15026209729137
1014,Ghana,NMC111,Direct,-199.5510289982574
1017,Ghana,NMC523,Direct,-275.5411236096335
1020,Ghana,NMC622,Direct,-444.2265712624656
1023,Ghana,NMC811,Direct,-1202.9295668849554
1026,Greece,LFP,Direct,-65.94939281478199
1029,Greece,NCA,Direct,5.782218560390581
1033,Greece,NMC111,Hydro,2.553119937823813
1036,Greece,NMC523,Hydro,2.3807598298659682
1038,Greece,NMC622,Direct,0.5307216629943365
1041,Greece,NMC811,Direct,0.3279394428522071
1044,Greenland,LFP,Direct,0.0
1047,Greenland,NCA,Direct,-444.97093835975704
1050,Greenland,NMC111,Direct,-836.3892945950976
1053,Greenland,NMC523,Direct,-790.2584381485815
1056,Greenland,NMC622,Direct,-1098.4945739117816
1059,Greenland,NMC811,Direct,-1230.3667528156964
1062,Grenada,LFP,Direct,0.0
1065,Grenada,NCA,Direct,-49.89077731691394
1068,Grenada,NMC111,Direct,-111.550857398009
1071,Grenada,NMC523,Direct,-105.30386327004875
1074,Grenada,NMC622,Direct,-139.21282732927259
1077,Grenada,NMC811,Direct,-154.63311382559016
1080,Guatemala,LFP,Direct,0.0
1083,Guatemala,NCA,Direct,0.3760442222353504
1086,Guatemala,NMC111,Direct,-14.30052132339908
1089,Guatemala,NMC523,Direct,-17.621889753895296
1092,Guatemala,NMC622,Direct,-16.2907346664298
1095,Guatemala,NMC811,Direct,-17.456064934252463
1098,Guinea,LFP,Direct,0.0
1101,Guinea,NCA,Direct,-263.6572201737563
1104,Guinea,NMC111,Direct,-519.1171238477281
1107,Guinea,NMC523,Direct,-523.729775864577
1110,Guinea,NMC622,Direct,-729.1992373705532
1113,Guinea,NMC811,Direct,-814.2965239659511
1116,Guyana,LFP,Direct,0.0
1119,Guyana,NCA,Direct,-2.4247718124924607
1122,Guyana,NMC111,Direct,-19.75848462427463
1125,Guyana,NMC523,Direct,-22.5154263767504
1128,Guyana,NMC622,Direct,-23.137198319160916
1131,Guyana,NMC811,Direct,-25.07674336828971
1134,Honduras,LFP,Direct,0.0
1137,Honduras,NCA,Direct,-18.96240109311177
1140,Honduras,NMC111,Direct,-51.46936483194371
1143,Honduras,NMC523,Direct,-51.3482905801524
1146,Honduras,NMC622,Direct,-63.64853469422861
1149,Honduras,NMC811,Direct,-70.4549813975862
1152,Hungary,LFP,Direct,-69.38829922499033
1155,Hungary,NCA,Direct,5.165741032826704
1159,Hungary,NMC111,Hydro,1.5719479582806264
1162,Hungary,NMC523,Hydro,1.4705541954137171
1164,Hungary,NMC622,Direct,-0.4647033524357935
1167,Hungary,NMC811,Direct,-0.8899177442393752
1170,Iceland,LFP,Direct,0.0
1173,Iceland,NCA,Direct,-9.120936961592804
1176,Iceland,NMC111,Direct,-30.703408529592785
1179,Iceland,NMC523,Direct,-32.91167438438406
1182,Iceland,NMC622,Direct,-36.86936357335854
1185,Iceland,NMC811,Direct,-40.27396687206098
1188,India,LFP,Direct,0.0
1191,India,NCA,Direct,9.938586864409626
1195,India,NMC111,Hydro,7.375598921967362
1198,India,NMC523,Hydro,6.89190058769331
1201,India,NMC622,Hydro,6.935893958740196
1203,India,NMC811,Direct,8.429423054270208
1206,Indonesia,LFP,Direct,0.0
1209,Indonesia,NCA,Direct,8.644837641375311
1213,Indonesia,NMC111,Hydro,3.778652906987676
1216,Indonesia,NMC523,Hydro,3.9631456976488573
1218,Indonesia,NMC622,Direct,2.004071352698048
1221,Indonesia,NMC811,Direct,2.64484263364312
1224,Iran,LFP,Direct,0.0
1227,Iran,NCA,Direct,-125.37349404783103
1230,Iran,NMC111,Direct,-188.88566825440546
1233,Iran,NMC523,Direct,-409.2409790951018
1236,Iran,NMC622,Direct,-1027.4638249340298
1239,Iran,NMC811,Direct,-7315.7425098893345
1242,Ireland,LFP,Direct,-78.48887163643555
1245,Ireland,NCA,Direct,4.266002872552491
1249,Ireland,NMC111,Hydro,-0.017158252001213098
1252,Ireland,NMC523,Hydro,-0.01964778417902699
1254,Ireland,NMC622,Direct,-1.864049601514835
1257,Ireland,NMC811,Direct,-2.568705020738525
1260,Israel,LFP,Direct,0.0
1263,Israel,NCA,Direct,6.4341255101160675
1267,Israel,NMC111,Hydro,0.46423930566285776
1270,Israel,NMC523,Hydro,0.898833894336061
1272,Israel,NMC622,Direct,-1.0827094248914229
1275,Israel,NMC811,Direct,-0.4150547358356569
1278,Italy,LFP,Direct,-29.08417039598381
1281,Italy,NCA,Direct,8.158893219717745
1285,Italy,NMC111,Hydro,6.066469316662178
1288,Italy,NMC523,Hydro,5.626178272057043
1291,Italy,NMC622,Hydro,5.0698530650796085
1293,Italy,NMC811,Direct,5.498494870251351
1296,Jamaica,LFP,Direct,0.0
1299,Jamaica,NCA,Direct,-266.8816936803302
