policy_scenario,source_iso3,destination_iso3,current_policy,comparison_policy,delta_scrap_t
critical_route_policy,LKA,CHN,0.0,6285.289199439168,6285.289199439168
critical_route_policy,LKA,THA,6285.289199439168,0.0,-6285.289199439168
critical_route_policy,LSO,CHN,0.0,37.13568751887812,37.13568751887812
critical_route_policy,LSO,THA,37.13568751887812,0.0,-37.13568751887812
critical_route_policy,LTU,CHN,0.0,806.9423193972799,806.9423193972799
critical_route_policy,LTU,RUS,806.9423193972799,0.0,-806.9423193972799
critical_route_policy,MAR,CHN,0.0,390.8901045217784,390.8901045217784
critical_route_policy,MAR,RUS,390.8901045217784,0.0,-390.8901045217784
critical_route_policy,MDG,CHN,0.0,90.64642686306038,90.64642686306038
critical_route_policy,MDG,THA,90.64642686306038,0.0,-90.64642686306038
critical_route_policy,MDV,CHN,0.0,32.973247556954284,32.973247556954284
critical_route_policy,MDV,THA,32.973247556954284,0.0,-32.973247556954284
critical_route_policy,MEX,CHN,5166.242844981432,0.0,-5166.242844981432
critical_route_policy,MEX,JPN,0.0,5166.242844981432,5166.242844981432
critical_route_policy,MLI,CHN,0.0,24.123352066884728,24.123352066884728
critical_route_policy,MLI,IND,24.123352066884728,0.0,-24.123352066884728
critical_route_policy,MMR,CHN,0.0,851.5388512299063,851.5388512299063
critical_route_policy,MMR,THA,851.5388512299063,0.0,-851.5388512299063
critical_route_policy,MUS,CHN,0.0,152.852942603957,152.852942603957
critical_route_policy,MUS,THA,152.852942603957,0.0,-152.852942603957
critical_route_policy,MWI,CHN,0.0,404.7610889927746,404.7610889927746
critical_route_policy,MWI,THA,404.7610889927746,0.0,-404.7610889927746
critical_route_policy,MYS,CHN,0.0,13.319689433349982,13.319689433349982
critical_route_policy,MYS,THA,13.319689433349982,0.0,-13.319689433349982
critical_route_policy,NAM,CHN,0.0,158.17561222880846,158.17561222880846
critical_route_policy,NAM,THA,158.17561222880846,0.0,-158.17561222880846
critical_route_policy,NER,CHN,0.0,82.61521109402906,82.61521109402906
critical_route_policy,NER,IND,82.61521109402906,0.0,-82.61521109402906
critical_route_policy,NLD,JPN,44202.704123706906,0.0,-44202.704123706906
critical_route_policy,NLD,KOR,0.0,44202.704123706906,44202.704123706906
critical_route_policy,OMN,CHN,0.0,198.41294033884847,198.41294033884847
critical_route_policy,OMN,IND,198.41294033884847,0.0,-198.41294033884847
critical_route_policy,PAL,CHN,0.0,9.421052676729843,9.421052676729843
critical_route_policy,PAL,IND,9.421052676729843,0.0,-9.421052676729843
critical_route_policy,PHL,CHN,23661.71663038692,0.0,-23661.71663038692
critical_route_policy,PHL,JPN,0.0,18661.71663038692,18661.71663038692
critical_route_policy,PHL,VNM,0.0,5000.0,5000.0
critical_route_policy,PRT,JPN,25662.68757267909,0.0,-25662.68757267909
critical_route_policy,PRT,KOR,0.0,25662.68757267909,25662.68757267909
critical_route_policy,PRY,CHN,0.0,174.9393023454399,174.9393023454399
critical_route_policy,PRY,IND,174.9393023454399,0.0,-174.9393023454399
critical_route_policy,QAT,CHN,0.0,49.70146974005621,49.70146974005621
critical_route_policy,QAT,IND,49.70146974005621,0.0,-49.70146974005621
critical_route_policy,RUS,CHN,0.0,8958.225692750533,8958.225692750533
critical_route_policy,RWA,CHN,0.0,25.912098192286383,25.912098192286383
critical_route_policy,RWA,IND,25.912098192286383,0.0,-25.912098192286383
critical_route_policy,SAU,CHN,0.0,2770.191641088286,2770.191641088286
critical_route_policy,SAU,IND,2770.191641088286,0.0,-2770.191641088286
critical_route_policy,SDN,CHN,0.0,2.804410480600537,2.804410480600537
critical_route_policy,SDN,IND,2.804410480600537,0.0,-2.804410480600537
critical_route_policy,SEN,CHN,0.0,552.6426079887958,552.6426079887958
critical_route_policy,SEN,RUS,552.6426079887958,0.0,-552.6426079887958
critical_route_policy,SLE,CHN,0.0,7.9182239740474,7.9182239740474
critical_route_policy,SLE,IND,7.9182239740474,0.0,-7.9182239740474
critical_route_policy,SVN,CHN,0.0,742.7329159652734,742.7329159652734
critical_route_policy,SVN,RUS,742.7329159652734,0.0,-742.7329159652734
critical_route_policy,SWE,JPN,35733.22133192575,0.0,-35733.22133192575
critical_route_policy,SWE,KOR,0.0,35733.22133192575,35733.22133192575
critical_route_policy,SWZ,CHN,0.0,5.066041251545533,5.066041251545533
critical_route_policy,SWZ,THA,5.066041251545533,0.0,-5.066041251545533
critical_route_policy,SYC,CHN,0.0,17.136144834831875,17.136144834831875
critical_route_policy,SYC,THA,17.136144834831875,0.0,-17.136144834831875
critical_route_policy,TGO,CHN,0.0,95.84619049051965,95.84619049051965
critical_route_policy,TGO,IND,95.84619049051965,0.0,-95.84619049051965
critical_route_policy,THA,CHN,0.0,8882.413237693108,8882.413237693108
critical_route_policy,TUR,JPN,0.0,6720.119859307746,6720.119859307746
critical_route_policy,TUR,KOR,6720.119859307746,0.0,-6720.119859307746
critical_route_policy,TZA,CHN,0.0,696.1090447479215,696.1090447479215
critical_route_policy,TZA,IND,696.1090447479215,0.0,-696.1090447479215
critical_route_policy,UGA,IND,3433.0353503091046,0.0,-3433.0353503091046
critical_route_policy,UGA,THA,0.0,3433.0353503091046,3433.0353503091046
critical_route_policy,URY,CHN,0.0,92.75769516840472,92.75769516840472
critical_route_policy,URY,THA,92.75769516840472,0.0,-92.75769516840472
critical_route_policy,USA,CAN,13175.65791210439,0.0,-13175.65791210439
critical_route_policy,USA,JPN,698.94214008993,13874.60005219432,13175.65791210439
critical_route_policy,VNM,CHN,15694.069486701454,33272.150222789256,17578.080736087803
critical_route_policy,VNM,THA,12578.080736087804,0.0,-12578.080736087804
critical_route_policy,YEM,CHN,0.0,167.4401024001709,167.4401024001709
critical_route_policy,YEM,IND,167.4401024001709,0.0,-167.4401024001709
critical_route_policy,ZAF,CHN,0.0,83.03897314622753,83.03897314622753
critical_route_policy,ZAF,THA,83.03897314622753,0.0,-83.03897314622753
critical_route_policy,ZMB,CHN,0.0,13.043347256883504,13.043347256883504
critical_route_policy,ZMB,IND,13.043347256883504,0.0,-13.043347256883504
critical_route_policy,ZWE,CHN,0.0,35.28171121910675,35.28171121910675
critical_route_policy,ZWE,THA,35.28171121910675,0.0,-35.28171121910675
