source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
Virtual_Supply,ITA,57000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,JPN,17152.396998496657,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,NLD,18000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,NOR,63000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,POL,50000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,ROM,1000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,RUS,30537.63369786911,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,SVK,1000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,SWE,30000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,THA,24746.601566681136,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,TUR,10000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,USA,209000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,YUG,1000.0,2025,strict_policy,Direct,Strategy 2,True
AUS,KOR,983.4793711691091,2025,critical_route_strict_policy,Direct,Strategy 2,True
BEL,KOR,4834.149954599285,2025,critical_route_strict_policy,Direct,Strategy 2,True
BRA,IND,1666.8439597389565,2025,critical_route_strict_policy,Direct,Strategy 2,True
CAN,CAN,5549.708828764338,2025,critical_route_strict_policy,Direct,Strategy 2,False
CHE,KOR,2557.381559305336,2025,critical_route_strict_policy,Direct,Strategy 2,True
CHN,CHN,138726.9938207069,2025,critical_route_strict_policy,Direct,Strategy 2,False
CZE,CZE,183.54365273088894,2025,critical_route_strict_policy,Direct,Strategy 2,False
DEU,JPN,45022.476802608275,2025,critical_route_strict_policy,Direct,Strategy 2,True
ESP,KOR,5517.007234229264,2025,critical_route_strict_policy,Direct,Strategy 2,True
FIN,KOR,1623.2974008731167,2025,critical_route_strict_policy,Direct,Strategy 2,True
FRA,FRA,15503.68922323735,2025,critical_route_strict_policy,Direct,Strategy 2,False
FRA,JPN,4977.523197391725,2025,critical_route_strict_policy,Direct,Strategy 2,True
GBR,GBR,15036.178547150295,2025,critical_route_strict_policy,Direct,Strategy 2,False
HUN,KOR,56.37904460130991,2025,critical_route_strict_policy,Direct,Strategy 2,True
IND,IND,721.3892285092552,2025,critical_route_strict_policy,Direct,Strategy 2,False
ITA,KOR,10721.471179203056,2025,critical_route_strict_policy,Direct,Strategy 2,True
JPN,KOR,3433.1682168473394,2025,critical_route_strict_policy,Direct,Strategy 2,True
KOR,KOR,5989.430552287347,2025,critical_route_strict_policy,Direct,Strategy 2,False
NLD,KOR,8007.7393897256225,2025,critical_route_strict_policy,Direct,Strategy 2,True
NOR,KOR,7637.137740094282,2025,critical_route_strict_policy,Direct,Strategy 2,True
POL,KOR,1756.1959139660194,2025,critical_route_strict_policy,Direct,Strategy 2,True
ROM,RUS,83.39326948773933,2025,critical_route_strict_policy,Direct,Strategy 2,True
RUS,RUS,1653.8603534506938,2025,critical_route_strict_policy,Direct,Strategy 2,False
SVK,KOR,209.53957977775494,2025,critical_route_strict_policy,Direct,Strategy 2,True
SWE,KOR,8845.715888448422,2025,critical_route_strict_policy,Direct,Strategy 2,True
THA,THA,1769.0752152055234,2025,critical_route_strict_policy,Direct,Strategy 2,False
TUR,TUR,2730.540558638032,2025,critical_route_strict_policy,Direct,Strategy 2,False
USA,USA,54671.84916585521,2025,critical_route_strict_policy,Direct,Strategy 2,False
VNM,THA,7484.323218113341,2025,critical_route_strict_policy,Direct,Strategy 2,True
VNM,VNM,3000.0,2025,critical_route_strict_policy,Direct,Strategy 2,False
YUG,RUS,58.268719453500815,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,AUS,7000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
Virtual_Supply,BEL,8000.0,2025,critical_route_strict_policy,Direct,Strategy 2,True
