source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
SWE,JPN,35733.22133192575,2030,reference_policy,Direct,Strategy 3,True
SWZ,THA,5.066041251545533,2030,reference_policy,Direct,Strategy 3,True
SYC,THA,17.136144834831875,2030,reference_policy,Direct,Strategy 3,True
TGO,IND,95.84619049051965,2030,reference_policy,Direct,Strategy 3,True
THA,THA,8882.413237693108,2030,reference_policy,Direct,Strategy 3,False
TJK,CHN,20.906227829167804,2030,reference_policy,Direct,Strategy 3,True
TON,CHN,0.0016176251319344535,2030,reference_policy,Direct,Strategy 3,True
TTO,CHN,140.95118186203752,2030,reference_policy,Direct,Strategy 3,True
TUN,CHN,62.66247375857603,2030,reference_policy,Direct,Strategy 3,True
TUR,KOR,6720.119859307746,2030,reference_policy,Direct,Strategy 3,True
TUR,TUR,10000.0,2030,reference_policy,Direct,Strategy 3,False
TZA,IND,696.1090447479215,2030,reference_policy,Direct,Strategy 3,True
UGA,IND,3433.0353503091046,2030,reference_policy,Direct,Strategy 3,True
UKR,CHN,165.28615627816023,2030,reference_policy,Direct,Strategy 3,True
URY,THA,92.75769516840472,2030,reference_policy,Direct,Strategy 3,True
USA,CAN,13175.65791210439,2030,reference_policy,Direct,Strategy 3,True
USA,JPN,698.94214008993,2030,reference_policy,Direct,Strategy 3,True
USA,USA,539000.0,2030,reference_policy,Direct,Strategy 3,False
UZB,CHN,272.6668183322979,2030,reference_policy,Direct,Strategy 3,True
VNM,CHN,15694.069486701454,2030,reference_policy,Direct,Strategy 3,True
VNM,THA,12578.080736087803,2030,reference_policy,Direct,Strategy 3,True
VNM,VNM,5000.0,2030,reference_policy,Direct,Strategy 3,False
WSM,CHN,0.6812078462028469,2030,reference_policy,Direct,Strategy 3,True
YEM,IND,167.4401024001709,2030,reference_policy,Direct,Strategy 3,True
YUG,CHN,322.0265151822132,2030,reference_policy,Direct,Strategy 3,True
ZAF,THA,83.03897314622753,2030,reference_policy,Direct,Strategy 3,True
ZMB,IND,13.043347256883504,2030,reference_policy,Direct,Strategy 3,True
ZWE,THA,35.28171121910675,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,AUS,11000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,BEL,9000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,BRA,10000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,CHE,65000.0,2030,reference_policy,Direct,Strategy 3,True
Virtual_Supply,CHN,6583733.293717712,2030,reference_policy,Direct,Strategy 3,True
