year,source_iso3,destination_iso3,critical_route_strict_policy,open_policy,delta_scrap_t,source_country,destination_country,route,change_type
2050,IND,VNM,149867.84533198277,0.0,149867.84533198277,India,Viet Nam,India -> Viet Nam,new_or_increased
2050,BRA,KOR,161058.32883776492,0.0,161058.32883776492,Brazil,Korea,Brazil -> Korea,new_or_increased
2050,VNM,CHN,216858.2790965664,0.0,216858.2790965664,Viet Nam,China,Viet Nam -> China,new_or_increased
2050,CZE,JPN,238124.22770767732,0.0,238124.22770767732,Czechia,Japan,Czechia -> Japan,new_or_increased
2050,JPN,KOR,261010.4702487817,0.0,261010.4702487817,Japan,Korea,Japan -> Korea,new_or_increased
2050,FRA,JPN,263787.2025588353,0.0,263787.2025588353,France,Japan,France -> Japan,new_or_increased
2050,GBR,JPN,281317.5411254553,0.0,281317.5411254553,United Kingdom,Japan,United Kingdom -> Japan,new_or_increased
2050,DEU,JPN,297977.1738769626,0.0,297977.1738769626,Germany,Japan,Germany -> Japan,new_or_increased
2050,ROM,RUS,395606.81142252334,0.0,395606.81142252334,Romania,Russian Federation,Romania -> Russian Federation,new_or_increased
2050,THA,CHN,404513.66771835554,0.0,404513.66771835554,Thailand,China,Thailand -> China,new_or_increased
2050,RUS,CHN,407185.2733789017,0.0,407185.2733789017,Russian Federation,China,Russian Federation -> China,new_or_increased
2050,TUR,JPN,844519.775970829,0.0,844519.775970829,Turkey,Japan,Turkey -> Japan,new_or_increased
2050,IND,RUS,1078093.6676753073,0.0,1078093.6676753073,India,Russian Federation,India -> Russian Federation,new_or_increased
2050,BRA,THA,1473700.4790978306,0.0,1473700.4790978306,Brazil,Thailand,Brazil -> Thailand,new_or_increased
2050,USA,JPN,7166256.695567195,0.0,7166256.695567195,USA,Japan,USA -> Japan,new_or_increased
2050,IND,KOR,31201296.599212047,0.0,31201296.599212047,India,Korea,India -> Korea,new_or_increased
