,country,type,recycling_m,net_profit
173,Cabo Verde,NMC811,Direct,-41.30386527894328
174,Cambodia,LFP,0,0.0
175,Cambodia,NCA,0,0.0
176,Cambodia,NMC111,0,0.0
177,Cambodia,NMC523,0,0.0
178,Cambodia,NMC622,0,0.0
179,Cambodia,NMC811,0,0.0
180,Cameroon,LFP,Direct,0.0
181,Cameroon,NCA,Direct,-371.1973028943295
182,Cameroon,NMC111,Direct,-430.1501367322296
183,Cameroon,NMC523,Direct,-650.2032134965735
184,Cameroon,NMC622,Direct,-1181.6637062914012
185,Cameroon,NMC811,Direct,-5904.423813013661
186,Canada,LFP,Direct,0.0
187,Canada,NCA,Direct,9.901159178320054
188,Canada,NMC111,Hydro,7.593561227630206
189,Canada,NMC523,Hydro,7.065582690816201
190,Canada,NMC622,Hydro,7.321587270728571
191,Canada,NMC811,Direct,8.836977294207513
192,Cayman Isds,LFP,0,0.0
193,Cayman Isds,NCA,0,0.0
194,Cayman Isds,NMC111,0,0.0
195,Cayman Isds,NMC523,0,0.0
196,Cayman Isds,NMC622,0,0.0
197,Cayman Isds,NMC811,0,0.0
198,Chile,LFP,Direct,0.0
199,Chile,NCA,Direct,9.14743639299796
200,Chile,NMC111,Hydro,6.504871360585355
201,Chile,NMC523,Hydro,6.148735156064724
202,Chile,NMC622,Hydro,5.717486994673866
203,Chile,NMC811,Direct,6.522402819038114
204,China,LFP,Direct,3.232406647535508
205,China,NCA,Direct,10.384085151196793
206,China,NMC111,Hydro,8.063336635847275
207,China,NMC523,Hydro,7.467914289098473
208,China,NMC622,Direct,8.510341200127206
209,China,NMC811,Direct,10.226760725682515
210,Colombia,LFP,Direct,0.0
211,Colombia,NCA,Direct,8.381716961986488
212,Colombia,NMC111,Hydro,5.058841116254619
213,Colombia,NMC523,Hydro,4.907161269721288
214,Colombia,NMC622,Hydro,3.672875757264745
215,Colombia,NMC811,Direct,4.4397251341868875
216,Comoros,LFP,0,0.0
217,Comoros,NCA,0,0.0
218,Comoros,NMC111,0,0.0
219,Comoros,NMC523,0,0.0
220,Comoros,NMC622,0,0.0
221,Comoros,NMC811,0,0.0
222,Congo,LFP,Direct,0.0
223,Congo,NCA,Direct,-229.2921193538817
224,Congo,NMC111,Direct,-352.0873302752121
225,Congo,NMC523,Direct,-415.6897512881476
226,Congo,NMC622,Direct,-621.1464341914268
227,Congo,NMC811,Direct,-811.6510971298844
228,Costa Rica,LFP,Direct,0.0
229,Costa Rica,NCA,Direct,6.740620766622858
230,Costa Rica,NMC111,Hydro,1.0507334227695928
231,Costa Rica,NMC523,Hydro,1.4682204892461161
232,Costa Rica,NMC622,Direct,-0.7252098575970329
233,Costa Rica,NMC811,Direct,-0.06832266049309865
234,Croatia,LFP,0,0.0
235,Croatia,NCA,0,0.0
236,Croatia,NMC111,0,0.0
237,Croatia,NMC523,0,0.0
238,Croatia,NMC622,0,0.0
239,Croatia,NMC811,0,0.0
240,Cyprus,LFP,0,0.0
241,Cyprus,NCA,0,0.0
242,Cyprus,NMC111,0,0.0
243,Cyprus,NMC523,0,0.0
244,Cyprus,NMC622,0,0.0
245,Cyprus,NMC811,0,0.0
246,Czechia,LFP,Direct,-60.990942067421734
247,Czechia,NCA,Direct,6.164692704837208
248,Czechia,NMC111,Hydro,3.2745260663209907
249,Czechia,NMC523,Hydro,3.0419971591794104
250,Czechia,NMC622,Direct,1.276868060954723
251,Czechia,NMC811,Direct,1.2943483488694567
252,Denmark,LFP,0,0.0
253,Denmark,NCA,0,0.0
254,Denmark,NMC111,0,0.0
255,Denmark,NMC523,0,0.0
256,Denmark,NMC622,0,0.0
257,Denmark,NMC811,0,0.0
258,Dominican Rep.,LFP,Direct,0.0
259,Dominican Rep.,NCA,Direct,8.677770555900539
260,Dominican Rep.,NMC111,Hydro,5.638543334487518
261,Dominican Rep.,NMC523,Hydro,5.406896733863744
262,Dominican Rep.,NMC622,Hydro,4.486678218951269
263,Dominican Rep.,NMC811,Direct,5.219298617554897
264,Ecuador,LFP,Direct,0.0
265,Ecuador,NCA,Direct,8.451187675592237
266,Ecuador,NMC111,Hydro,5.18431527154997
267,Ecuador,NMC523,Hydro,5.0171758272213145
268,Ecuador,NMC622,Hydro,3.8441296716736018
269,Ecuador,NMC811,Direct,4.6010009948725985
270,Egypt,LFP,0,0.0
271,Egypt,NCA,0,0.0
272,Egypt,NMC111,0,0.0
273,Egypt,NMC523,0,0.0
274,Egypt,NMC622,0,0.0
275,Egypt,NMC811,0,0.0
276,El Salvador,LFP,Direct,0.0
277,El Salvador,NCA,Direct,-114.71382223256077
278,El Salvador,NMC111,Direct,-198.26657535341215
279,El Salvador,NMC523,Direct,-209.76335459218268
280,El Salvador,NMC622,Direct,-303.2412582902936
281,El Salvador,NMC811,Direct,-397.8809303237946
282,Estonia,LFP,0,0.0
283,Estonia,NCA,0,0.0
284,Estonia,NMC111,0,0.0
285,Estonia,NMC523,0,0.0
286,Estonia,NMC622,0,0.0
287,Estonia,NMC811,0,0.0
288,Eswatini,LFP,Direct,0.0
289,Eswatini,NCA,Direct,-7.3910225181115266
290,Eswatini,NMC111,Direct,-29.675767079028113
291,Eswatini,NMC523,Direct,-31.41493481414241
292,Eswatini,NMC622,Direct,-35.81805383431977
293,Eswatini,NMC811,Direct,-39.30151751097701
294,Ethiopia,LFP,0,0.0
295,Ethiopia,NCA,0,0.0
296,Ethiopia,NMC111,0,0.0
297,Ethiopia,NMC523,0,0.0
298,Ethiopia,NMC622,0,0.0
299,Ethiopia,NMC811,0,0.0
300,Fiji,LFP,0,0.0
301,Fiji,NCA,0,0.0
302,Fiji,NMC111,0,0.0
303,Fiji,NMC523,0,0.0
304,Fiji,NMC622,0,0.0
305,Fiji,NMC811,0,0.0
306,Finland,LFP,Direct,-30.63301138141134
307,Finland,NCA,Direct,7.920990996564735
308,Finland,NMC111,Hydro,5.7613838785687825
309,Finland,NMC523,Hydro,5.341205093667227
310,Finland,NMC622,Hydro,4.642795841802886
311,Finland,NMC811,Direct,5.037221783979053
312,France,LFP,Direct,-17.498561671650613
313,France,NCA,Direct,8.949275719858116
314,France,NMC111,Hydro,6.92667878467634
315,France,NMC523,Hydro,6.423952224315509
316,France,NMC622,Hydro,6.319028896998525
317,France,NMC811,Direct,7.13140363609605
318,French Polynesia,LFP,0,0.0
319,French Polynesia,NCA,0,0.0
320,French Polynesia,NMC111,0,0.0
321,French Polynesia,NMC523,0,0.0
322,French Polynesia,NMC622,0,0.0
323,French Polynesia,NMC811,0,0.0
324,Georgia,LFP,0,0.0
325,Georgia,NCA,0,0.0
326,Georgia,NMC111,0,0.0
327,Georgia,NMC523,0,0.0
328,Georgia,NMC622,0,0.0
329,Georgia,NMC811,0,0.0
330,Germany,LFP,Direct,-16.587496771931562
331,Germany,NCA,Direct,9.019826918631042
332,Germany,NMC111,Hydro,6.996911953106107
333,Germany,NMC523,Hydro,6.48902133244779
334,Germany,NMC622,Hydro,6.422002663028215
335,Germany,NMC811,Direct,7.279878921816283
336,Ghana,LFP,Direct,0.0
337,Ghana,NCA,Direct,-86.74370995891704
338,Ghana,NMC111,Direct,-134.7975591182965
339,Ghana,NMC523,Direct,-168.5707142575371
340,Ghana,NMC622,Direct,-260.02931163409175
341,Ghana,NMC811,Direct,-671.2064084602513
342,Greece,LFP,0,0.0
343,Greece,NCA,0,0.0
344,Greece,NMC111,0,0.0
345,Greece,NMC523,0,0.0
346,Greece,NMC622,0,0.0
347,Greece,NMC811,0,0.0
348,Greenland,LFP,0,0.0
349,Greenland,NCA,0,0.0
350,Greenland,NMC111,0,0.0
351,Greenland,NMC523,0,0.0
352,Greenland,NMC622,0,0.0
353,Greenland,NMC811,0,0.0
354,Grenada,LFP,Direct,0.0
355,Grenada,NCA,Direct,-5.159411681836401
356,Grenada,NMC111,Direct,-25.048255546149854
357,Grenada,NMC523,Direct,-27.28528087647422
358,Grenada,NMC622,Direct,-29.824390673190983
359,Grenada,NMC811,Direct,-32.538811239767355
360,Guatemala,LFP,Direct,0.0
361,Guatemala,NCA,Direct,8.988645830998793
362,Guatemala,NMC111,Hydro,6.219732678789223
363,Guatemala,NMC523,Hydro,5.905443994844878
364,Guatemala,NMC622,Hydro,5.308577728909896
365,Guatemala,NMC811,Direct,6.067548990404717
366,Guinea,LFP,Direct,0.0
367,Guinea,NCA,Direct,-117.52182160439907
368,Guinea,NMC111,Direct,-242.945602313897
369,Guinea,NMC523,Direct,-230.93074677569712
370,Guinea,NMC622,Direct,-316.8115284500383
371,Guinea,NMC811,Direct,-353.33623578234216
372,Guyana,LFP,Direct,0.0
373,Guyana,NCA,Direct,4.2989900532852285
374,Guyana,NMC111,Hydro,-6.585853033674411
375,Guyana,NMC523,Hydro,-5.080427360458968
376,Guyana,NMC622,Direct,-6.695341500904508
377,Guyana,NMC811,Direct,-6.72909851521954
378,Honduras,LFP,Direct,0.0
379,Honduras,NCA,Direct,5.752735630014081
380,Honduras,NMC111,Hydro,-1.8206928475703705
381,Honduras,NMC523,Hydro,-0.9945828246134294
382,Honduras,NMC622,Direct,-3.1407897073145943
383,Honduras,NMC811,Direct,-2.7637874346051294
384,Hungary,LFP,Direct,-25.648691256746634
385,Hungary,NCA,Direct,8.69703673810498
386,Hungary,NMC111,Hydro,6.579823246764978
387,Hungary,NMC523,Hydro,6.11441359165774
388,Hungary,NMC622,Hydro,5.806571333415206
389,Hungary,NMC811,Direct,6.419894210133414
390,Iceland,LFP,0,0.0
391,Iceland,NCA,0,0.0
392,Iceland,NMC111,0,0.0
393,Iceland,NMC523,0,0.0
394,Iceland,NMC622,0,0.0
395,Iceland,NMC811,0,0.0
396,India,LFP,Direct,0.0
397,India,NCA,Direct,10.52217582463872
398,India,NMC111,Hydro,8.090122392436754
399,India,NMC523,Hydro,7.510571296765527
400,India,NMC622,Direct,8.497413356199417
401,India,NMC811,Direct,10.2200863343659
402,Indonesia,LFP,0,0.0
403,Indonesia,NCA,0,0.0
404,Indonesia,NMC111,0,0.0
405,Indonesia,NMC523,0,0.0
406,Indonesia,NMC622,0,0.0
407,Indonesia,NMC811,0,0.0
408,Iran,LFP,0,0.0
409,Iran,NCA,0,0.0
410,Iran,NMC111,0,0.0
411,Iran,NMC523,0,0.0
412,Iran,NMC622,0,0.0
413,Iran,NMC811,0,0.0
414,Ireland,LFP,0,0.0
415,Ireland,NCA,0,0.0
416,Ireland,NMC111,0,0.0
417,Ireland,NMC523,0,0.0
418,Ireland,NMC622,0,0.0
419,Ireland,NMC811,0,0.0
420,Israel,LFP,0,0.0
421,Israel,NCA,0,0.0
422,Israel,NMC111,0,0.0
423,Israel,NMC523,0,0.0
424,Israel,NMC622,0,0.0
425,Israel,NMC811,0,0.0
426,Italy,LFP,Direct,-20.720121495365127
427,Italy,NCA,Direct,8.733508658542565
428,Italy,NMC111,Hydro,6.718506106669916
429,Italy,NMC523,Hydro,6.230670632159465
