Period,ReporterISO,ReporterDesc,FlowDesc,PartnerISO,PartnerDesc,CmdCode,NetWgt,PrimaryValue,Probability
2016,HUN,Hungary,Export,KOR,North Korea,850760,676470.0,18836419.0,10.451825607316946
2016,HUN,Hungary,Export,POL,Poland,850760,27377.0,1545396.0,0.4229893855625763
2016,HUN,Hungary,Export,ROU,Romania,850760,191.77,13281.0,0.0029629497194482695
2016,HUN,Hungary,Export,RUS,Russia,850760,0.0,0.0,0.0
2016,HUN,Hungary,Export,SRB,Serbia,850760,22435.0,923601.0,0.3466328255505132
2016,HUN,Hungary,Export,SVK,Slovakia,850760,16116.365,623185.0,0.24900651382007566
2016,HUN,Hungary,Export,ESP,Spain,850760,56275.719000000005,648221.0,0.8694901487344195
2016,HUN,Hungary,Export,SWE,Sweden,850760,219.0,32129.0,0.0033836678758886736
2016,HUN,Hungary,Export,CHE,Switzerland,850760,250.94099999999997,30643.0,0.003877173518006299
2016,HUN,Hungary,Export,THA,Thailand,850760,0.0,1299086.833333373,0.0
2016,HUN,Hungary,Export,TUR,Turkey,850760,1125.876,16613.0,0.017395390198328933
2016,HUN,Hungary,Export,GBR,United Kingdom,850760,12247.732,587358.0,0.1892340516935787
2016,HUN,Hungary,Export,USA,United States of America,850760,3556.42,385490.0,0.05494860322907762
2016,HUN,Hungary,Export,VNM,Vietnam,850760,1711.0,77093.0,0.026435870939020643
2016,IND,India,Export,BEL,Belgium,850760,108.0,7488.0,0.0025614401744815103
2016,IND,India,Export,CAN,Canada,850760,372.0,25927.0,0.008822738378769646
2016,IND,India,Export,CHN,China,850760,3485901.0,242629001.0,82.6752487561599
2016,IND,India,Export,FIN,Finland,850760,278.0,19348.0,0.006593336745424627
2016,IND,India,Export,FRA,France,850760,2020.0,140611.0,0.04790841807826528
2016,IND,India,Export,DEU,Germany,850760,5849.0,407077.0,0.13872095907909585
2016,IND,India,Export,ITA,Italy,850760,1463.0,101818.0,0.034698027548763416
2016,IND,India,Export,JPN,Japan,850760,146681.0,10209462.0,3.478838946602985
2016,IND,India,Export,KOR,North Korea,850760,57859.0,4027165.0,1.3722441394011637
2016,IND,India,Export,POL,Poland,850760,1606.0,111768.0,0.03808956407608616
2016,IND,India,Export,SWE,Sweden,850760,828.0,57612.0,0.019637708004358243
2016,IND,India,Export,CHE,Switzerland,850760,385.0,26811.0,0.009131059881253532
2016,IND,India,Export,THA,Thailand,850760,473.0,32908.0,0.011218159282682908
2016,IND,India,Export,GBR,United Kingdom,850760,16167.0,1125277.0,0.38343336389669047
2016,IND,India,Export,USA,United States of America,850760,403930.0,28114713.0,9.580023422947374
2016,IND,India,Export,VNM,Vietnam,850760,92458.0,6435321.0,2.1928299597426983
2016,ITA,Italy,Export,BEL,Belgium,850760,14720.0,1760144.987,0.4756262546985056
2016,ITA,Italy,Export,CHN,China,850760,1216220.0,42579179.0,39.29797306313971
2016,ITA,Italy,Export,CZE,Czechia,850760,41389.0,477838.995,1.3373434141111717
2016,ITA,Italy,Export,FRA,France,850760,141188.0,4563200.778,4.562005410894879
2016,ITA,Italy,Export,DEU,Germany,850760,514239.0,21802017.29,16.615867499314188
2016,ITA,Italy,Export,HUN,Hungary,850760,6205.0,404633.524,0.2004932683698524
2016,ITA,Italy,Export,JPN,Japan,850760,29201.0,1951906.948,0.9435300450714038
2016,ITA,Italy,Export,NLD,Netherlands,850760,910067.0,15363650.63,29.405690131433758
2016,ITA,Italy,Export,KOR,North Korea,850760,62581.0,4812346.518,2.0220901253591834
2016,ITA,Italy,Export,POL,Poland,850760,8137.0,571967.111,0.26291921429903126
2016,ITA,Italy,Export,ROU,Romania,850760,139.0,46418.557,0.004491307704014421
2016,ITA,Italy,Export,RUS,Russia,850760,2800.0,15302.0,0.09047238540460704
2016,ITA,Italy,Export,SVK,Slovakia,850760,4074.0,202532.482,0.13163732076370327
2016,ITA,Italy,Export,ESP,Spain,850760,9076.0,511922.783,0.29325977497579053
2016,ITA,Italy,Export,SWE,Sweden,850760,43719.0,1233559.87,1.4126293633942912
2016,ITA,Italy,Export,THA,Thailand,850760,142.0,9435.269,0.0045882424026622145
2016,ITA,Italy,Export,GBR,United Kingdom,850760,79386.0,1939474.8280000002,2.5650859956179053
2016,ITA,Italy,Export,USA,United States of America,850760,10977.0,5167265.945,0.35468406235227556
2016,ITA,Italy,Export,VNM,Vietnam,850760,607.0,34842.68,0.019613120693070172
2016,JPN,Japan,Export,AUS,Australia,850760,3242.0,880735.0,0.027747570033514475
2016,JPN,Japan,Export,CAN,Canada,850760,225.0,86481.0,0.001925725865990363
2016,JPN,Japan,Export,CHN,China,850760,6031279.0,402636939.0,51.62039989024218
2016,JPN,Japan,Export,FRA,France,850760,3830.0,2749873.0,0.03278013362996929
2016,JPN,Japan,Export,DEU,Germany,850760,21606.0,3237423.0,0.1849210358248346
2016,JPN,Japan,Export,HUN,Hungary,850760,4858.0,292287.0,0.0415785611421386
2016,JPN,Japan,Export,IND,India,850760,192.0,38484.0,0.0016432860723117767
2016,JPN,Japan,Export,ITA,Italy,850760,4314.0,324690.0,0.03692258393725523
2016,JPN,Japan,Export,NLD,Netherlands,850760,4670.0,311644.0,0.03996951019633332
2016,JPN,Japan,Export,KOR,North Korea,850760,2033619.0,90598261.0,17.40530093275314
2016,JPN,Japan,Export,NOR,Norway,850760,387.0,67004.0,0.0033122484895034246
2016,JPN,Japan,Export,POL,Poland,850760,23192.0,2394354.0,0.19849526348466
2016,JPN,Japan,Export,ESP,Spain,850760,1773.0,214804.0,0.015174719824004061
2016,JPN,Japan,Export,SWE,Sweden,850760,1822.0,292876.0,0.01559410012370863
2016,JPN,Japan,Export,CHE,Switzerland,850760,198.0,143917.0,0.0016946387620715194
2016,JPN,Japan,Export,THA,Thailand,850760,2082.0,449802.0,0.01781938334663083
2016,JPN,Japan,Export,TUR,Turkey,850760,620709.0,42793811.0,5.312512784680055
2016,JPN,Japan,Export,GBR,United Kingdom,850760,5676.0,2552108.0,0.048579644512716895
2016,JPN,Japan,Export,USA,United States of America,850760,2510354.0,134217563.0,21.485571691521656
2016,JPN,Japan,Export,VNM,Vietnam,850760,409878.0,28884809.0,3.5080562955573247
2016,NLD,Netherlands,Export,AUS,Australia,850760,2448.0,1759574.267,0.030875081538971467
2016,NLD,Netherlands,Export,BEL,Belgium,850760,70398.0,3577146.035,0.8878856169038045
2016,NLD,Netherlands,Export,CAN,Canada,850760,165.0,43388.33,0.0020810410351022436
2016,NLD,Netherlands,Export,CHN,China,850760,3479870.0,91248627.64,43.889407677704504
2016,NLD,Netherlands,Export,CZE,Czechia,850760,5406.0,734404.535,0.06818247173189532
2016,NLD,Netherlands,Export,FIN,Finland,850760,539.0,47483.676,0.006798067381333994
2016,NLD,Netherlands,Export,FRA,France,850760,15404.0,1185664.846,0.19428094608918156
2016,NLD,Netherlands,Export,DEU,Germany,850760,2233180.0,35025960.1,28.165692234967445
2016,NLD,Netherlands,Export,HUN,Hungary,850760,20935.0,953751.176,0.2640399640597907
2016,NLD,Netherlands,Export,IND,India,850760,136.0,73044.747,0.0017152823077206372
2016,NLD,Netherlands,Export,ITA,Italy,850760,14071.0,341210.31200000003,0.17746865699953737
2016,NLD,Netherlands,Export,JPN,Japan,850760,1317160.0,22299217.49,16.61250915027437
2016,NLD,Netherlands,Export,KOR,North Korea,850760,251596.0,7053210.459,3.173221819803539
2016,NLD,Netherlands,Export,NOR,Norway,850760,356.0,9906449.189,0.004490003687856962
2016,NLD,Netherlands,Export,POL,Poland,850760,23071.0,1716464.7130000002,0.2909799861869325
2016,NLD,Netherlands,Export,ROU,Romania,850760,580.0,54721.887,0.007315174547632129
2016,NLD,Netherlands,Export,RUS,Russia,850760,307.0,28592.202,0.0038719975622811442
2016,NLD,Netherlands,Export,SVK,Slovakia,850760,481.0,39434.583,0.006066549926570783
2016,NLD,Netherlands,Export,ESP,Spain,850760,1420.0,97381.196,0.017909565271789003
2016,NLD,Netherlands,Export,SWE,Sweden,850760,28364.0,1208849.687,0.3577372601190305
2016,NLD,Netherlands,Export,CHE,Switzerland,850760,8133.0,8535974.905,0.10257640447567604
2016,NLD,Netherlands,Export,THA,Thailand,850760,448.0,63193.568,0.005650341719550333
2016,NLD,Netherlands,Export,TUR,Turkey,850760,670.0,56997.448,0.008450287839506078
2016,NLD,Netherlands,Export,GBR,United Kingdom,850760,149712.0,3767750.0239999997,1.8882231239225882
2016,NLD,Netherlands,Export,USA,United States of America,850760,82304.0,309072651.9,1.0380484930488183
2016,NLD,Netherlands,Export,VNM,Vietnam,850760,221570.0,6490898.99,2.79452280089457
2016,KOR,North Korea,Export,BRA,Brazil,850760,651.0,109352.0,0.00927290589367951
2016,KOR,North Korea,Export,CHN,China,850760,5487936.0,265143220.0,78.17068214828872
2016,KOR,North Korea,Export,FRA,France,850760,3282.0,5319076.0,0.046749120035416515
2016,KOR,North Korea,Export,DEU,Germany,850760,48131.0,2593805.0,0.6855825400440684
2016,KOR,North Korea,Export,HUN,Hungary,850760,12592.0,646588.0,0.17936164518158587
2016,KOR,North Korea,Export,IND,India,850760,1556.0,123640.0,0.022163811936352255
2016,KOR,North Korea,Export,ITA,Italy,850760,2620.0,76769.0,0.03731952909591447
2016,KOR,North Korea,Export,JPN,Japan,850760,418277.0,25094574.0,5.957977355592296
2016,KOR,North Korea,Export,NLD,Netherlands,850760,145.0,21977.0,0.0020653937858425946
2016,KOR,North Korea,Export,POL,Poland,850760,21498.0,1179873.0,0.30621955591754546
2016,KOR,North Korea,Export,CHE,Switzerland,850760,220.0,89624.0,0.0031337009164508333
2016,KOR,North Korea,Export,THA,Thailand,850760,221.0,44554.0,0.0031479450115256095
2016,KOR,North Korea,Export,GBR,United Kingdom,850760,678.0,235278.0,0.009657496460698476
2016,KOR,North Korea,Export,USA,United States of America,850760,533843.0,32465023.0,7.604110447003919
2016,KOR,North Korea,Export,VNM,Vietnam,850760,488803.0,34886926.0,6.9625564048359845
2016,NOR,Norway,Export,BEL,Belgium,850760,8433.0,97685.0,1.1264847477732123
2016,NOR,Norway,Export,CAN,Canada,850760,816.0,56663.0,0.10900172586065947
2016,NOR,Norway,Export,CHN,China,850760,286864.0,15827230.0,38.319449861877715
2016,NOR,Norway,Export,CZE,Czechia,850760,1107.0,52169.0,0.14787366486243875
2016,NOR,Norway,Export,FIN,Finland,850760,313.0,26505.0,0.041810711022532365
2016,NOR,Norway,Export,FRA,France,850760,5209.0,579106.0,0.6958210661864891
2016,NOR,Norway,Export,DEU,Germany,850760,31594.0,1726972.0,4.22034378289421
2016,NOR,Norway,Export,HUN,Hungary,850760,1601.0,36592.0,0.21386245478298505
2016,NOR,Norway,Export,ITA,Italy,850760,4305.0,122150.0,0.5750642522428174
