year,policy_scenario,target_region,target_share_of_max,scope,technology,recovered_lithium_t,technology_share_pct
2040,strict_policy,China,0.9,target_region,Direct,0.0,0.0
2040,strict_policy,China,0.9,target_region,Hydro,335547.0811379724,99.99999999999997
2040,strict_policy,China,0.9,target_region,Pyro,0.0,0.0
2040,strict_policy,China,0.95,global,Direct,0.0,0.0
2040,strict_policy,China,0.95,global,Hydro,683402.2233655025,99.99999999999997
2040,strict_policy,China,0.95,global,Pyro,0.0,0.0
2040,strict_policy,China,0.95,target_region,Direct,0.0,0.0
2040,strict_policy,China,0.95,target_region,Hydro,335547.0811379724,100.0
2040,strict_policy,China,0.95,target_region,Pyro,0.0,0.0
2040,strict_policy,China,0.99,global,Direct,176444.78356049873,25.681869578437517
2040,strict_policy,China,0.99,global,Hydro,510595.47657944716,74.31813042156249
2040,strict_policy,China,0.99,global,Pyro,0.0,0.0
2040,strict_policy,China,0.99,target_region,Direct,176444.78356049873,52.02020202020192
2040,strict_policy,China,0.99,target_region,Hydro,162740.33435191694,47.97979797979807
2040,strict_policy,China,0.99,target_region,Pyro,0.0,0.0
2040,strict_policy,China,1.0,global,Direct,342611.23021456145,49.62026304087615
2040,strict_policy,China,1.0,global,Hydro,347855.1422275302,50.379736959123846
2040,strict_policy,China,1.0,global,Pyro,0.0,0.0
2040,strict_policy,China,1.0,target_region,Direct,342611.23021456145,100.00000000000003
2040,strict_policy,China,1.0,target_region,Hydro,0.0,0.0
2040,strict_policy,China,1.0,target_region,Pyro,0.0,0.0
2040,critical_route_policy,China,0.0,global,Direct,0.0,0.0
2040,critical_route_policy,China,0.0,global,Hydro,683402.2233655025,99.99999999999997
2040,critical_route_policy,China,0.0,global,Pyro,0.0,0.0
2040,critical_route_policy,China,0.0,target_region,Direct,0.0,0.0
2040,critical_route_policy,China,0.0,target_region,Hydro,364292.89552582864,100.0
2040,critical_route_policy,China,0.0,target_region,Pyro,0.0,0.0
2040,critical_route_policy,China,0.75,global,Direct,0.0,0.0
2040,critical_route_policy,China,0.75,global,Hydro,683402.2233655025,100.0
2040,critical_route_policy,China,0.75,global,Pyro,0.0,0.0
2040,critical_route_policy,China,0.75,target_region,Direct,0.0,0.0
2040,critical_route_policy,China,0.75,target_region,Hydro,363823.73688740825,100.00000000000003
2040,critical_route_policy,China,0.75,target_region,Pyro,0.0,0.0
2040,critical_route_policy,China,0.9,global,Direct,0.0,0.0
2040,critical_route_policy,China,0.9,global,Hydro,683402.2233655025,100.0
2040,critical_route_policy,China,0.9,global,Pyro,0.0,0.0
2040,critical_route_policy,China,0.9,target_region,Direct,0.0,0.0
2040,critical_route_policy,China,0.9,target_region,Hydro,363823.73688740825,100.00000000000003
2040,critical_route_policy,China,0.9,target_region,Pyro,0.0,0.0
2040,critical_route_policy,China,0.95,global,Direct,0.0,0.0
2040,critical_route_policy,China,0.95,global,Hydro,683402.2233655025,100.0
2040,critical_route_policy,China,0.95,global,Pyro,0.0,0.0
2040,critical_route_policy,China,0.95,target_region,Direct,0.0,0.0
2040,critical_route_policy,China,0.95,target_region,Hydro,363823.73688740825,100.00000000000003
2040,critical_route_policy,China,0.95,target_region,Pyro,0.0,0.0
2040,critical_route_policy,China,0.99,global,Direct,192172.91656669762,27.957932386176793
2040,critical_route_policy,China,0.99,global,Hydro,495191.63497543795,72.04206761382319
2040,critical_route_policy,China,0.99,global,Pyro,0.0,0.0
2040,critical_route_policy,China,0.99,target_region,Direct,192172.91656669762,52.02020202020062
2040,critical_route_policy,China,0.99,target_region,Hydro,177246.86479453687,47.97979797979938
2040,critical_route_policy,China,0.99,target_region,Pyro,0.0,0.0
2040,critical_route_policy,China,1.0,global,Direct,373151.29430428386,53.99412809306817
2040,critical_route_policy,China,1.0,global,Hydro,317944.7701809011,46.00587190693181
2040,critical_route_policy,China,1.0,global,Pyro,0.0,0.0
2040,critical_route_policy,China,1.0,target_region,Direct,373151.29430428386,100.0
2040,critical_route_policy,China,1.0,target_region,Hydro,0.0,0.0
2040,critical_route_policy,China,1.0,target_region,Pyro,0.0,0.0
2050,reference_policy,China,0.0,global,Direct,0.0,0.0
2050,reference_policy,China,0.0,global,Hydro,1684102.4335815099,100.00000000000003
2050,reference_policy,China,0.0,global,Pyro,0.0,0.0
2050,reference_policy,China,0.0,target_region,Direct,0.0,0.0
2050,reference_policy,China,0.0,target_region,Hydro,1113531.9587372136,100.00000000000003
2050,reference_policy,China,0.0,target_region,Pyro,0.0,0.0
2050,reference_policy,China,0.75,global,Direct,0.0,0.0
2050,reference_policy,China,0.75,global,Hydro,1684102.4335815099,100.00000000000003
2050,reference_policy,China,0.75,global,Pyro,0.0,0.0
2050,reference_policy,China,0.75,target_region,Direct,0.0,0.0
2050,reference_policy,China,0.75,target_region,Hydro,1111429.1955737527,100.00000000000003
2050,reference_policy,China,0.75,target_region,Pyro,0.0,0.0
2050,reference_policy,China,0.9,global,Direct,0.0,0.0
2050,reference_policy,China,0.9,global,Hydro,1684102.4335815099,99.99999999999999
2050,reference_policy,China,0.9,global,Pyro,0.0,0.0
2050,reference_policy,China,0.9,target_region,Direct,0.0,0.0
2050,reference_policy,China,0.9,target_region,Hydro,1333715.0346885037,100.0
2050,reference_policy,China,0.9,target_region,Pyro,0.0,0.0
2050,reference_policy,China,0.95,global,Direct,0.0,0.0
2050,reference_policy,China,0.95,global,Hydro,1684102.4335815099,100.00000000000003
2050,reference_policy,China,0.95,global,Pyro,0.0,0.0
2050,reference_policy,China,0.95,target_region,Direct,0.0,0.0
2050,reference_policy,China,0.95,target_region,Hydro,1407810.3143934205,99.99999999999999
2050,reference_policy,China,0.95,target_region,Pyro,0.0,0.0
2050,reference_policy,China,0.99,global,Direct,763110.9903744935,44.89319468107825
2050,reference_policy,China,0.99,global,Hydro,936725.6904312327,55.10680531892174
2050,reference_policy,China,0.99,global,Pyro,0.0,0.0
2050,reference_policy,China,0.99,target_region,Direct,763110.9903744935,52.015404035603396
2050,reference_policy,China,0.99,target_region,Hydro,703975.5477828587,47.984595964396604
2050,reference_policy,China,0.99,target_region,Pyro,0.0,0.0
2050,reference_policy,China,1.0,global,Direct,1481835.2035122407,86.4217330485121
2050,reference_policy,China,1.0,global,Hydro,232820.53323447,13.5782669514879
2050,reference_policy,China,1.0,global,Pyro,0.0,0.0
2050,reference_policy,China,1.0,target_region,Direct,1481835.2035122407,99.99524999525097
2050,reference_policy,China,1.0,target_region,Hydro,70.39058609606205,0.004750004749046859
2050,reference_policy,China,1.0,target_region,Pyro,0.0,0.0
2050,current_policy,China,0.0,global,Direct,0.0,0.0
2050,current_policy,China,0.0,global,Hydro,1684102.4335815099,100.00000000000003
2050,current_policy,China,0.0,global,Pyro,0.0,0.0
2050,current_policy,China,0.0,target_region,Direct,0.0,0.0
2050,current_policy,China,0.0,target_region,Hydro,1113586.5619842422,100.00000000000003
2050,current_policy,China,0.0,target_region,Pyro,0.0,0.0
2050,current_policy,China,0.75,global,Direct,0.0,0.0
2050,current_policy,China,0.75,global,Hydro,1684102.4335815099,100.00000000000003
2050,current_policy,China,0.75,global,Pyro,0.0,0.0
2050,current_policy,China,0.75,target_region,Direct,0.0,0.0
2050,current_policy,China,0.75,target_region,Hydro,1111429.1955737527,100.00000000000003
2050,current_policy,China,0.75,target_region,Pyro,0.0,0.0
2050,current_policy,China,0.9,global,Direct,0.0,0.0
2050,current_policy,China,0.9,global,Hydro,1684102.4335815099,99.99999999999999
2050,current_policy,China,0.9,global,Pyro,0.0,0.0
2050,current_policy,China,0.9,target_region,Direct,0.0,0.0
2050,current_policy,China,0.9,target_region,Hydro,1333715.0346885037,100.0
2050,current_policy,China,0.9,target_region,Pyro,0.0,0.0
2050,current_policy,China,0.95,global,Direct,0.0,0.0
2050,current_policy,China,0.95,global,Hydro,1684102.4335815099,100.00000000000003
2050,current_policy,China,0.95,global,Pyro,0.0,0.0
2050,current_policy,China,0.95,target_region,Direct,0.0,0.0
2050,current_policy,China,0.95,target_region,Hydro,1407810.3143934205,99.99999999999999
2050,current_policy,China,0.95,target_region,Pyro,0.0,0.0
2050,current_policy,China,0.99,global,Direct,763110.9903744939,44.893194681078285
2050,current_policy,China,0.99,global,Hydro,936725.6904312324,55.10680531892174
2050,current_policy,China,0.99,global,Pyro,0.0,0.0
2050,current_policy,China,0.99,target_region,Direct,763110.9903744939,52.01540403560342
2050,current_policy,China,0.99,target_region,Hydro,703975.5477828584,47.98459596439658
2050,current_policy,China,0.99,target_region,Pyro,0.0,0.0
2050,current_policy,China,1.0,global,Direct,1481835.2035122407,86.4217330485121
2050,current_policy,China,1.0,global,Hydro,232820.53323447,13.5782669514879
2050,current_policy,China,1.0,global,Pyro,0.0,0.0
2050,current_policy,China,1.0,target_region,Direct,1481835.2035122407,99.99524999525097
2050,current_policy,China,1.0,target_region,Hydro,70.39058609606205,0.004750004749046859
2050,current_policy,China,1.0,target_region,Pyro,0.0,0.0
2050,strict_policy,China,0.0,global,Direct,0.0,0.0
2050,strict_policy,China,0.0,global,Hydro,1684102.4335815099,100.00000000000003
2050,strict_policy,China,0.0,global,Pyro,0.0,0.0
2050,strict_policy,China,0.0,target_region,Direct,0.0,0.0
2050,strict_policy,China,0.0,target_region,Hydro,338289.8215733744,99.99999999999997
2050,strict_policy,China,0.0,target_region,Pyro,0.0,0.0
2050,strict_policy,China,0.75,global,Direct,0.0,0.0
2050,strict_policy,China,0.75,global,Hydro,1684102.4335815099,100.00000000000003
2050,strict_policy,China,0.75,global,Pyro,0.0,0.0
2050,strict_policy,China,0.75,target_region,Direct,0.0,0.0
2050,strict_policy,China,0.75,target_region,Hydro,338289.8215733744,100.0
2050,strict_policy,China,0.75,target_region,Pyro,0.0,0.0
2050,strict_policy,China,0.9,global,Direct,0.0,0.0
2050,strict_policy,China,0.9,global,Hydro,1684102.4335815099,100.00000000000003
2050,strict_policy,China,0.9,global,Pyro,0.0,0.0
2050,strict_policy,China,0.9,target_region,Direct,0.0,0.0
2050,strict_policy,China,0.9,target_region,Hydro,338289.8215733743,100.0
2050,strict_policy,China,0.9,target_region,Pyro,0.0,0.0
2050,strict_policy,China,0.95,global,Direct,0.0,0.0
2050,strict_policy,China,0.95,global,Hydro,1684102.4335815099,100.00000000000003
2050,strict_policy,China,0.95,global,Pyro,0.0,0.0
2050,strict_policy,China,0.95,target_region,Direct,0.0,0.0
2050,strict_policy,China,0.95,target_region,Hydro,338289.8215733743,100.0
2050,strict_policy,China,0.95,target_region,Pyro,0.0,0.0
2050,strict_policy,China,0.99,global,Direct,177887.03196524503,10.539766087910497
2050,strict_policy,China,0.99,global,Hydro,1509883.1754712183,89.4602339120895
2050,strict_policy,China,0.99,global,Pyro,0.0,0.0
2050,strict_policy,China,0.99,target_region,Direct,177887.03196524503,52.02020202020311
2050,strict_policy,China,0.99,target_region,Hydro,164070.5634630829,47.979797979796885
2050,strict_policy,China,0.99,target_region,Pyro,0.0,0.0
2050,strict_policy,China,1.0,global,Direct,345411.71255386807,20.423766826043227
2050,strict_policy,China,1.0,global,Hydro,1345812.6120081355,79.5762331739568
2050,strict_policy,China,1.0,global,Pyro,0.0,0.0
2050,strict_policy,China,1.0,target_region,Direct,345411.71255386807,100.0
2050,strict_policy,China,1.0,target_region,Hydro,0.0,0.0
2050,strict_policy,China,1.0,target_region,Pyro,0.0,0.0
2050,critical_route_policy,China,0.0,global,Direct,0.0,0.0
2050,critical_route_policy,China,0.0,global,Hydro,1684102.4335815099,100.00000000000003
2050,critical_route_policy,China,0.0,global,Pyro,0.0,0.0
2050,critical_route_policy,China,0.0,target_region,Direct,0.0,0.0
2050,critical_route_policy,China,0.0,target_region,Hydro,446277.0302074364,100.0
2050,critical_route_policy,China,0.0,target_region,Pyro,0.0,0.0
2050,critical_route_policy,China,0.75,global,Direct,0.0,0.0
2050,critical_route_policy,China,0.75,global,Hydro,1684102.4335815099,100.0
2050,critical_route_policy,China,0.75,global,Pyro,0.0,0.0
2050,critical_route_policy,China,0.75,target_region,Direct,0.0,0.0
2050,critical_route_policy,China,0.75,target_region,Hydro,449131.62707668694,100.00000000000003
2050,critical_route_policy,China,0.75,target_region,Pyro,0.0,0.0
2050,critical_route_policy,China,0.9,global,Direct,0.0,0.0
