year,policy_scenario,target_region,target_share_of_max,target_constraint_li_t,max_target_recovered_lithium_t,global_recovered_lithium_t,target_recovered_lithium_t,target_max_attainment_pct,route_modeled_cost,processed_scrap_t,solver_target_constraint_li_t
2030,current_policy,European Union,0.75,15850.254599236958,21133.67279898261,71609.35984021364,15850.254599236958,75.0,7577502.875065765,4553741.048207438,
2030,current_policy,European Union,0.9,19020.30551908435,21133.67279898261,71609.35984021363,19020.305519084337,89.99999999999994,7664041.672234355,4553741.048207438,
2030,current_policy,European Union,0.95,20076.98915903348,21133.67279898261,71609.35984021363,20076.98915903345,94.99999999999986,7702337.216510531,4553741.048207439,
2030,current_policy,European Union,0.99,20922.336070992784,21133.67279898261,71833.74824518299,20922.336070992777,98.99999999999996,8031878.980503291,4553741.048207438,
2030,current_policy,European Union,1.0,21133.67279898261,21133.67279898261,72045.08497317284,21133.67279898261,100.0,8396371.700066231,4553741.048207439,
2030,strict_policy,United States,0.0,0.0,7346.753225055545,71609.35984021363,7195.273777116255,97.93814432989689,7573935.0440972,4553741.048207438,
2030,strict_policy,United States,0.75,5510.064918791659,7346.753225055545,71609.35984021363,7195.273777116255,97.93814432989689,7573935.044097202,4553741.048207438,
2030,strict_policy,United States,0.9,6612.077902549991,7346.753225055545,71609.35984021363,7195.273777116255,97.93814432989689,7573935.044097202,4553741.048207438,
2030,strict_policy,United States,0.95,6979.415563802768,7346.753225055545,71609.35984021363,7195.273777116253,97.93814432989689,7573935.044097202,4553741.048207438,
2030,strict_policy,United States,0.99,7273.28569280499,7346.753225055545,71687.37175590236,7273.28569280499,99.0,7709588.019110992,4553741.048207438,
2030,strict_policy,United States,1.0,7346.753225055545,7346.753225055545,71760.83928815303,7346.753225055651,100.00000000000144,7863587.251321118,4553741.048207442,
2030,strict_policy,European Union,0.0,0.0,21133.67279898261,71609.35984021363,8328.874608235572,39.41044553617074,7573935.0440972,4553741.048207438,
2030,strict_policy,European Union,0.75,15850.254599236958,21133.67279898261,71609.35984021363,15850.25459923696,75.00000000000001,7607867.628615035,4553741.048207438,
2030,strict_policy,European Union,0.9,19020.30551908435,21133.67279898261,71609.35984021363,19020.30551908434,89.99999999999996,7683424.864789446,4553741.048207439,
2030,strict_policy,European Union,0.95,20076.98915903348,21133.67279898261,71609.35984021363,20076.98915903346,94.9999999999999,7718137.86337195,4553741.048207439,
2030,strict_policy,European Union,0.99,20922.336070992784,21133.67279898261,71833.748245183,20922.33607099278,98.99999999999996,8045087.403439242,4553741.048207438,
2030,strict_policy,European Union,1.0,21133.67279898261,21133.67279898261,72045.08497317284,21133.67279898261,100.0,8409605.969125688,4553741.048207438,
2030,critical_route_policy,United States,0.0,0.0,7346.753225055543,71609.35984021364,7195.273777116253,97.93814432989689,7471076.157113247,4553741.048207439,
2030,critical_route_policy,United States,0.75,5510.064918791657,7346.753225055543,71609.35984021363,7195.273777116255,97.93814432989691,7471076.157113247,4553741.048207439,
2030,critical_route_policy,United States,0.9,6612.077902549989,7346.753225055543,71609.35984021363,7195.273777116254,97.9381443298969,7471076.157113247,4553741.048207439,
2030,critical_route_policy,United States,0.95,6979.415563802766,7346.753225055543,71609.35984021363,7195.273777116255,97.93814432989691,7471076.157113247,4553741.048207439,
2030,critical_route_policy,United States,0.99,7273.285692804988,7346.753225055543,71687.37175590236,7273.285692804988,99.0,7606729.132127032,4553741.048207439,
2030,critical_route_policy,United States,1.0,7346.753225055543,7346.753225055543,71760.83928815296,7346.753225055583,100.00000000000055,7760728.364337155,4553741.04820744,
