year,policy_scenario,target_region,target_share_of_max,scope,technology,recovered_lithium_t,technology_share_pct
2030,current_policy,European Union,0.9,global,Direct,0.0,0.0
2030,current_policy,European Union,0.9,global,Hydro,71609.35984021363,100.0
2030,current_policy,European Union,0.9,global,Pyro,0.0,0.0
2030,current_policy,European Union,0.9,target_region,Direct,0.0,0.0
2030,current_policy,European Union,0.9,target_region,Hydro,19020.305519084337,100.0
2030,current_policy,European Union,0.9,target_region,Pyro,0.0,0.0
2030,current_policy,European Union,0.95,global,Direct,0.0,0.0
2030,current_policy,European Union,0.95,global,Hydro,71609.35984021363,100.0
2030,current_policy,European Union,0.95,global,Pyro,0.0,0.0
2030,current_policy,European Union,0.95,target_region,Direct,0.0,0.0
2030,current_policy,European Union,0.95,target_region,Hydro,20076.989159033456,100.00000000000004
2030,current_policy,European Union,0.95,target_region,Pyro,0.0,0.0
2030,current_policy,European Union,0.99,global,Direct,10882.83764101428,15.150034498922391
2030,current_policy,European Union,0.99,global,Hydro,60950.91060416871,84.84996550107762
2030,current_policy,European Union,0.99,global,Pyro,0.0,0.0
2030,current_policy,European Union,0.99,target_region,Direct,10882.83764101428,52.01540403560626
2030,current_policy,European Union,0.99,target_region,Hydro,10039.498429978492,47.98459596439372
2030,current_policy,European Union,0.99,target_region,Pyro,0.0,0.0
2030,current_policy,European Union,1.0,global,Direct,21132.66894852147,29.332561626362946
2030,current_policy,European Union,1.0,global,Hydro,50912.41602465136,70.66743837363705
2030,current_policy,European Union,1.0,global,Pyro,0.0,0.0
2030,current_policy,European Union,1.0,target_region,Direct,21132.66894852147,99.99524999525312
2030,current_policy,European Union,1.0,target_region,Hydro,1.0038504611422605,0.0047500047468823
2030,current_policy,European Union,1.0,target_region,Pyro,0.0,0.0
2030,strict_policy,United States,0.0,global,Direct,0.0,0.0
2030,strict_policy,United States,0.0,global,Hydro,71609.35984021364,100.00000000000004
2030,strict_policy,United States,0.0,global,Pyro,0.0,0.0
2030,strict_policy,United States,0.0,target_region,Direct,0.0,0.0
2030,strict_policy,United States,0.0,target_region,Hydro,7195.273777116255,100.0
2030,strict_policy,United States,0.0,target_region,Pyro,0.0,0.0
2030,strict_policy,United States,0.75,global,Direct,0.0,0.0
2030,strict_policy,United States,0.75,global,Hydro,71609.35984021364,100.00000000000004
2030,strict_policy,United States,0.75,global,Pyro,0.0,0.0
2030,strict_policy,United States,0.75,target_region,Direct,0.0,0.0
2030,strict_policy,United States,0.75,target_region,Hydro,7195.273777116255,100.0
2030,strict_policy,United States,0.75,target_region,Pyro,0.0,0.0
2030,strict_policy,United States,0.9,global,Direct,0.0,0.0
2030,strict_policy,United States,0.9,global,Hydro,71609.35984021364,100.00000000000004
2030,strict_policy,United States,0.9,global,Pyro,0.0,0.0
2030,strict_policy,United States,0.9,target_region,Direct,0.0,0.0
2030,strict_policy,United States,0.9,target_region,Hydro,7195.273777116255,100.0
2030,strict_policy,United States,0.9,target_region,Pyro,0.0,0.0
2030,strict_policy,United States,0.95,global,Direct,0.0,0.0
2030,strict_policy,United States,0.95,global,Hydro,71609.35984021363,100.0
2030,strict_policy,United States,0.95,global,Pyro,0.0,0.0
2030,strict_policy,United States,0.95,target_region,Direct,0.0,0.0
2030,strict_policy,United States,0.95,target_region,Hydro,7195.273777116253,100.0
