,country,type,recycling_m,scrap_sum,unit_cost,net_profit
149,Italy,NMC111,Pyro,993.7387381207878,18.485230503002352,-14.165495820482686
150,Italy,NMC622,Direct,490.524004437717,15.949896371148105,-7.6448124318607675
151,Italy,NMC622,Hydro,490.524004437717,21.652709932585182,-13.952795104866729
152,Italy,NMC622,Pyro,490.524004437717,28.256242871233365,-23.90860417294935
153,Italy,NMC811,Direct,256.55327247324067,21.395728195768182,-11.348948241224456
154,Italy,NMC811,Hydro,256.55327247324067,32.95047426080523,-25.45403966047061
155,Italy,NMC811,Pyro,256.55327247324067,41.71574357496663,-37.41506348176513
156,Italy,NMC523,Direct,1047.3266684252003,11.309994823533511,-11.478010286522144
157,Italy,NMC523,Hydro,1047.3266684252003,13.246678658206942,-5.997923398579243
158,Italy,NMC523,Pyro,1047.3266684252003,17.91079745390815,-13.94515404939607
159,Italy,NCA,Direct,1601.4900140720642,9.329802356831976,0.9409150839989582
160,Italy,NCA,Hydro,1601.4900140720642,10.060561172458842,-1.878332142527255
161,Italy,NCA,Pyro,1601.4900140720642,13.875727324296674,-9.081851376832669
162,Poland,LFP,Direct,49.29769368994468,45.611128884306865,-42.34556804003065
163,Poland,LFP,Hydro,49.29769368994468,98.67535101553513,-97.12144540667738
164,Poland,LFP,Pyro,49.29769368994468,114.16195803948409,-113.40431684908172
165,Poland,NMC111,Direct,350.3663134396123,18.592815289965184,-13.275971496398833
166,Poland,NMC111,Hydro,350.3663134396123,27.10170170781311,-19.02089804923721
167,Poland,NMC111,Pyro,350.3663134396123,34.69875445887265,-30.170392839117795
168,Poland,NMC622,Direct,125.12094084683677,29.783447020346475,-21.220348578803254
169,Poland,NMC622,Hydro,125.12094084683677,53.41549278580323,-45.46618505225308
170,Poland,NMC622,Pyro,125.12094084683677,64.84544285927554,-60.28416229171166
171,Poland,NMC811,Direct,52.54155533381103,44.3002799690288,-34.00046225615605
172,Poland,NMC811,Hydro,52.54155533381103,94.61756839874948,-86.87642512956351
173,Poland,NMC811,Pyro,52.54155533381103,109.82835159732986,-105.30922250378471
174,Poland,NMC523,Direct,302.6028672945005,19.882468658985484,-19.791416204663076
175,Poland,NMC523,Hydro,302.6028672945005,29.849517435112034,-22.350149885933906
