Recycling_capacity,country,Direct,Hydro,Pyro
20036.3,Poland,3.15385728,2.1263680000000003,3.2352038400000005
30024.2,Poland,2.8538572799999997,1.826368,2.8352038400000006
40012.1,Poland,2.55385728,1.7263680000000001,2.5352038400000008
50000.0,Poland,2.3538572799999997,1.626368,2.3352038400000006
968.5,Romania,11.943028479999999,14.009088,18.91999744
4963.7,Romania,4.7430284799999995,4.109088,6.119997440000001
7869.3,Romania,4.14302848,3.1090880000000003,4.819997440000001
9987.9,Romania,3.7430284799999995,2.809088,4.319997440000001
14951.6,Romania,3.3430284799999996,2.309088,3.6199974400000006
20036.3,Romania,3.14302848,2.1090880000000003,3.21999744
30024.2,Romania,2.8430284799999996,1.809088,2.8199974400000003
40012.1,Romania,2.54302848,1.7090880000000002,2.5199974400000005
50000.0,Romania,2.3430284799999996,1.609088,2.3199974400000003
968.5,Russian Federation,10.327564800000001,12.686879999999999,16.9078144
4963.7,Russian Federation,3.1275648,2.78688,4.1078144
7869.3,Russian Federation,2.5275648000000004,1.78688,2.8078144
9987.9,Russian Federation,2.1275648,1.4868799999999998,2.3078144
14951.6,Russian Federation,1.7275648000000001,0.9868799999999998,1.6078143999999996
20036.3,Russian Federation,1.5275648000000004,0.78688,1.2078143999999993
30024.2,Russian Federation,1.2275648000000001,0.48687999999999976,0.8078143999999994
40012.1,Russian Federation,0.9275648000000003,0.3868799999999999,0.5078143999999996
50000.0,Russian Federation,0.7275648000000001,0.2868799999999998,0.3078143999999994
968.5,Slovakia,11.96026432,14.036591999999999,18.94420096
4963.7,Slovakia,4.760264319999999,4.136592,6.144200960000001
7869.3,Slovakia,4.16026432,3.1365920000000003,4.844200960000001
9987.9,Slovakia,3.7602643199999997,2.836592,4.344200960000001
14951.6,Slovakia,3.3602643199999997,2.336592,3.644200960000001
20036.3,Slovakia,3.16026432,2.1365920000000003,3.2442009600000006
30024.2,Slovakia,2.8602643199999997,1.836592,2.8442009600000007
40012.1,Slovakia,2.56026432,1.7365920000000001,2.544200960000001
50000.0,Slovakia,2.3602643199999997,1.636592,2.3442009600000007
968.5,Sweden,12.05035392,14.180352,19.07070976
4963.7,Sweden,4.85035392,4.280352000000001,6.270709760000001
7869.3,Sweden,4.25035392,3.280352,4.970709760000001
9987.9,Sweden,3.8503539199999994,2.980352,4.470709760000001
14951.6,Sweden,3.4503539199999995,2.480352,3.770709760000001
20036.3,Sweden,3.25035392,2.280352,3.3707097600000004
30024.2,Sweden,2.9503539199999995,1.980352,2.9707097600000005
40012.1,Sweden,2.6503539199999997,1.880352,2.6707097600000007
50000.0,Sweden,2.4503539199999995,1.780352,2.4707097600000005
968.5,Thailand,10.33255808,12.694848,16.91482624
4963.7,Thailand,3.13255808,2.794848,4.114826239999999
7869.3,Thailand,2.5325580800000003,1.794848,2.81482624
9987.9,Thailand,2.13255808,1.4948479999999997,2.31482624
14951.6,Thailand,1.73255808,0.9948479999999997,1.6148262399999997
20036.3,Thailand,1.5325580800000003,0.794848,1.2148262399999994
30024.2,Thailand,1.23255808,0.49484799999999973,0.8148262399999995
40012.1,Thailand,0.9325580800000002,0.39484799999999987,0.5148262399999997
50000.0,Thailand,0.73255808,0.2948479999999998,0.3148262399999995
968.5,Turkey,11.93072576,13.989456,18.90272128
4963.7,Turkey,4.7307257599999994,4.089456,6.102721280000001
7869.3,Turkey,4.13072576,3.089456,4.802721280000001
9987.9,Turkey,3.7307257599999994,2.789456,4.302721280000001
14951.6,Turkey,3.3307257599999995,2.289456,3.602721280000001
20036.3,Turkey,3.13072576,2.089456,3.2027212800000004
30024.2,Turkey,2.8307257599999995,1.789456,2.8027212800000005
40012.1,Turkey,2.5307257599999997,1.689456,2.5027212800000007
50000.0,Turkey,2.3307257599999995,1.589456,2.3027212800000005
968.5,Viet Nam,10.33291904,12.695424,16.91533312
4963.7,Viet Nam,3.13291904,2.795424,4.11533312
7869.3,Viet Nam,2.5329190400000003,1.7954240000000001,2.81533312
9987.9,Viet Nam,2.13291904,1.4954239999999999,2.31533312
14951.6,Viet Nam,1.73291904,0.9954239999999999,1.6153331199999998
20036.3,Viet Nam,1.5329190400000003,0.7954240000000001,1.2153331199999995
30024.2,Viet Nam,1.23291904,0.49542399999999986,0.8153331199999996
40012.1,Viet Nam,0.9329190400000003,0.395424,0.5153331199999998
50000.0,Viet Nam,0.7329190400000001,0.2954239999999999,0.3153331199999996
968.5,Serbia,11.934064639999999,13.994784,18.90740992
4963.7,Serbia,4.73406464,4.094784000000001,6.10740992
7869.3,Serbia,4.13406464,3.094784,4.8074099200000004
9987.9,Serbia,3.7340646399999997,2.794784,4.3074099200000004
14951.6,Serbia,3.33406464,2.294784,3.6074099200000003
20036.3,Serbia,3.13406464,2.094784,3.20740992
30024.2,Serbia,2.83406464,1.794784,2.80740992
40012.1,Serbia,2.53406464,1.694784,2.50740992
50000.0,Serbia,2.33406464,1.594784,2.30740992
