,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
46,El Salvador,8499372.684541069,6.268688007317683,1355.845541302968,high_collection,baseline
47,Estonia,71531980.53150643,2726.9178425675414,26.231806259390343,high_collection,baseline
48,Eswatini,34096212.44996411,390.47557505438715,87.31970609228257,high_collection,baseline
49,Ethiopia,104706429.72230949,9422.828184425289,11.111996066677266,high_collection,baseline
50,Fiji,5983797.415266731,2.835199356923535,2110.538506103405,high_collection,baseline
51,Finland,221825791.9297305,45098.792395331504,4.918663674743834,high_collection,baseline
52,France,343221210.0193021,131961.91406479065,2.6009111223620733,high_collection,baseline
53,French Polynesia,70489763.70134374,3066.035308407813,22.990525747711942,high_collection,baseline
54,Georgia,43342339.138598785,885.6171192217083,48.94026797572363,high_collection,baseline
55,Germany,360950849.68810475,149065.1819469961,2.421429638857248,high_collection,baseline
56,Ghana,9314297.583250294,11.259107539709014,827.2678407591635,high_collection,baseline
57,Greece,152924606.8220421,18557.777647347473,8.240459053236913,high_collection,baseline
58,Greenland,6313375.1092750095,3.559770442389173,1773.5343363988743,high_collection,baseline
59,Grenada,35533780.12358489,410.24095431311156,86.6168522425583,high_collection,baseline
60,Guatemala,188190376.72692004,54357.25560467225,3.462102246213185,high_collection,baseline
61,Guinea,7700967.690994093,5.779377813190695,1332.4907870562836,high_collection,baseline
62,Guyana,68211960.38330624,2775.069109657898,24.580274468088906,high_collection,baseline
63,Honduras,86981814.90984035,5658.976799433818,15.37059047821912,high_collection,baseline
64,Hungary,153925352.4566778,19061.036756860653,8.075392457405306,high_collection,baseline
65,Iceland,40651347.63746915,788.299707553012,51.56839111821617,high_collection,baseline
66,India,-357822983.49246776,23882867.142708253,-0.014982413181564581,high_collection,baseline
67,Indonesia,121849457.35790882,125917.76356143135,0.9676907682565555,high_collection,baseline
68,Iran,37562753.935680695,31.822606974986996,1180.3795322364863,high_collection,baseline
69,Ireland,132841515.6565918,12644.28434112098,10.506052543011283,high_collection,baseline
70,Israel,158532413.7850476,24666.641040773473,6.426996424969117,high_collection,baseline
71,Italy,296758412.2791659,96333.78459660313,3.0805227213052944,high_collection,baseline
72,Jamaica,6643413.088752441,3.271965642416792,2030.4042935626233,high_collection,baseline
73,Japan,191810465.71665293,130505.89317698668,1.4697456264026907,high_collection,baseline
74,Jordan,204986792.372378,47690.295725151096,4.298291492125751,high_collection,baseline
75,Kazakhstan,119084826.65405674,13574.75945856612,8.77251836524516,high_collection,baseline
76,Kenya,498203879.6207747,787687.7652740655,0.6324890414508739,high_collection,baseline
77,Kiribati,10433463.201957418,13.564921017600934,769.150309715748,high_collection,baseline
78,Korea,168757064.22151887,83993.0141407028,2.0091797627219528,high_collection,baseline
79,Kuwait,6515752.678004607,7.387342253579291,882.0158122290347,high_collection,baseline
80,Kyrgyzstan,4649566.706513321,1.5763010827393409,2949.66917007579,high_collection,baseline
81,Lao People's Dem. Rep.,116467621.64331663,89516.04802753613,1.3010809146477278,high_collection,baseline
82,Latvia,77990716.76048613,3378.6812743164364,23.08318258763989,high_collection,baseline
83,Lebanon,203842598.43718913,47010.487541922135,4.336109006642618,high_collection,baseline
84,Lesotho,130110167.36491516,17452.587167892412,7.45506474846774,high_collection,baseline
85,Lithuania,92390221.50342615,5141.728762421213,17.968707758112092,high_collection,baseline
86,Luxembourg,58990099.59378911,1703.1078439538078,34.63673765769413,high_collection,baseline
87,Madagascar,206688873.45817995,64893.326881928355,3.1850558969529295,high_collection,baseline
88,Malawi,235582876.02943343,94067.94355466981,2.504390625830136,high_collection,baseline
89,Malaysia,46974337.64339379,94.19194579841835,498.70864483386197,high_collection,baseline
90,Maldives,71920129.46102244,2351.1363251376642,30.589519073000307,high_collection,baseline
91,Mali,113554086.57061532,11861.60835411109,9.573245312155231,high_collection,baseline
92,Malta,51825881.041742906,1201.937431842098,43.11861804845714,high_collection,baseline
93,Mauritania,1343456.1513066022,0.0586445079339497,22908.47342124029,high_collection,baseline
