year,policy_scenario,objective,target_region,scope,technology,recovered_lithium_t,technology_share_pct
2050,critical_route_policy,global_li_max_benchmark,Global,global,Direct,1719473.8231316188,99.99524999524768
2050,critical_route_policy,global_li_max_benchmark,Global,global,Hydro,81.67896806876726,0.004750004752334659
2050,critical_route_policy,global_li_max_benchmark,Global,global,Pyro,0.0,0.0
2050,critical_route_policy,global_li_max_benchmark,Global,target_region,Direct,0.0,0.0
2050,critical_route_policy,global_li_max_benchmark,Global,target_region,Hydro,0.0,0.0
2050,critical_route_policy,global_li_max_benchmark,Global,target_region,Pyro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,China,global,Direct,1719473.8231316328,99.99524999524847
2050,critical_route_policy,domestic_li_allocation_objective,China,global,Hydro,81.67896805498071,0.0047500047515329075
2050,critical_route_policy,domestic_li_allocation_objective,China,global,Pyro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,China,target_region,Direct,458586.571164956,100.00000000000003
2050,critical_route_policy,domestic_li_allocation_objective,China,target_region,Hydro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,China,target_region,Pyro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,United States,global,Direct,1719473.8231316165,99.99524999524753
2050,critical_route_policy,domestic_li_allocation_objective,United States,global,Hydro,81.67896807103531,0.0047500047524665565
2050,critical_route_policy,domestic_li_allocation_objective,United States,global,Pyro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,United States,target_region,Direct,153066.19790286315,100.0
2050,critical_route_policy,domestic_li_allocation_objective,United States,target_region,Hydro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,United States,target_region,Pyro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,European Union,global,Direct,1719473.8231316311,99.99524999524837
2050,critical_route_policy,domestic_li_allocation_objective,European Union,global,Hydro,81.67896805655755,0.004750004751624608
2050,critical_route_policy,domestic_li_allocation_objective,European Union,global,Pyro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,European Union,target_region,Direct,784871.4787222743,100.0
2050,critical_route_policy,domestic_li_allocation_objective,European Union,target_region,Hydro,0.0,0.0
2050,critical_route_policy,domestic_li_allocation_objective,European Union,target_region,Pyro,0.0,0.0
