,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
124,Bosnia Herzegovina,NMC622,Hydro,-680.3872291357804,baseline,baseline
125,Bosnia Herzegovina,NMC811,Hydro,-796.0679706099262,baseline,baseline
126,Botswana,LFP,Hydro,0.0,baseline,baseline
127,Botswana,NCA,Hydro,-125.28657878005475,baseline,baseline
128,Botswana,NMC111,Hydro,-336.6465389207796,baseline,baseline
129,Botswana,NMC523,Hydro,-291.6955647637679,baseline,baseline
130,Botswana,NMC622,Hydro,-482.63149907979437,baseline,baseline
131,Botswana,NMC811,Hydro,-574.7108976306031,baseline,baseline
132,Brazil,LFP,Hydro,0.0,baseline,baseline
133,Brazil,NCA,Hydro,8.45055108168261,baseline,baseline
134,Brazil,NMC111,Hydro,8.112771748797861,baseline,baseline
135,Brazil,NMC523,Hydro,7.529596998465539,baseline,baseline
136,Brazil,NMC622,Hydro,7.986327178144297,baseline,baseline
137,Brazil,NMC811,Hydro,7.781196954418513,baseline,baseline
138,Brunei Darussalam,LFP,Hydro,0.0,baseline,baseline
139,Brunei Darussalam,NCA,Hydro,-3426.5239511838586,baseline,baseline
140,Brunei Darussalam,NMC111,Hydro,-11783.953118695468,baseline,baseline
141,Brunei Darussalam,NMC523,Hydro,-10049.073925703045,baseline,baseline
142,Brunei Darussalam,NMC622,Hydro,-19459.60789639322,baseline,baseline
143,Brunei Darussalam,NMC811,Hydro,-24406.07566940046,baseline,baseline
144,Bulgaria,LFP,Hydro,-2277.11454034045,baseline,baseline
145,Bulgaria,NCA,Hydro,-35.501320687152656,baseline,baseline
146,Bulgaria,NMC111,Hydro,-56.91611901981763,baseline,baseline
147,Bulgaria,NMC523,Hydro,-52.4391275282754,baseline,baseline
148,Bulgaria,NMC622,Hydro,-89.49635898730568,baseline,baseline
149,Bulgaria,NMC811,Hydro,-127.50667266223458,baseline,baseline
150,Burkina Faso,LFP,Hydro,0.0,baseline,baseline
151,Burkina Faso,NCA,Hydro,-90.36663181200001,baseline,baseline
152,Burkina Faso,NMC111,Hydro,-248.34179476881997,baseline,baseline
153,Burkina Faso,NMC523,Hydro,-214.00218546797646,baseline,baseline
154,Burkina Faso,NMC622,Hydro,-354.46765037845773,baseline,baseline
155,Burkina Faso,NMC811,Hydro,-418.20886420033577,baseline,baseline
156,Burundi,LFP,Hydro,0.0,baseline,baseline
157,Burundi,NCA,Hydro,-190.20669735128138,baseline,baseline
158,Burundi,NMC111,Hydro,-486.51922951779903,baseline,baseline
159,Burundi,NMC523,Hydro,-430.5512750457047,baseline,baseline
160,Burundi,NMC622,Hydro,-719.5376558126302,baseline,baseline
161,Burundi,NMC811,Hydro,-856.5751077752246,baseline,baseline
162,C?te d'Ivoire,LFP,Hydro,0.0,baseline,baseline
163,C?te d'Ivoire,NCA,Hydro,-184.23693082396198,baseline,baseline
164,C?te d'Ivoire,NMC111,Hydro,-471.92301988446786,baseline,baseline
165,C?te d'Ivoire,NMC523,Hydro,-426.0463576835759,baseline,baseline
166,C?te d'Ivoire,NMC622,Hydro,-708.0442022724222,baseline,baseline
167,C?te d'Ivoire,NMC811,Hydro,-846.8507782274505,baseline,baseline
168,Cabo Verde,LFP,Hydro,0.0,baseline,baseline
169,Cabo Verde,NCA,Hydro,-2427.44540067323,baseline,baseline
170,Cabo Verde,NMC111,Hydro,-6221.571039918694,baseline,baseline
171,Cabo Verde,NMC523,Hydro,-5433.367207056338,baseline,baseline
172,Cabo Verde,NMC622,Hydro,-8937.67104107902,baseline,baseline
173,Cabo Verde,NMC811,Hydro,-10618.322292364272,baseline,baseline
174,Cambodia,LFP,Hydro,0.0,baseline,baseline
175,Cambodia,NCA,Hydro,-128.06486724238044,baseline,baseline
176,Cambodia,NMC111,Hydro,-474.1060838923771,baseline,baseline
177,Cambodia,NMC523,Hydro,-390.4367535987037,baseline,baseline
178,Cambodia,NMC622,Hydro,-757.8908129021776,baseline,baseline
179,Cambodia,NMC811,Hydro,-949.458902760931,baseline,baseline
180,Cameroon,LFP,Hydro,0.0,baseline,baseline
181,Cameroon,NCA,Hydro,-4277.421518391335,baseline,baseline
182,Cameroon,NMC111,Hydro,-5265.770470275415,baseline,baseline
183,Cameroon,NMC523,Hydro,-10212.614436428645,baseline,baseline
184,Cameroon,NMC622,Hydro,-24375.609871473873,baseline,baseline
185,Cameroon,NMC811,Hydro,0.0,baseline,baseline
186,Canada,LFP,Hydro,0.0,baseline,baseline
187,Canada,NCA,Hydro,6.954297990453501,baseline,baseline
188,Canada,NMC111,Hydro,4.473121150148097,baseline,baseline
189,Canada,NMC523,Hydro,4.372891206036397,baseline,baseline
190,Canada,NMC622,Hydro,2.9565028664551223,baseline,baseline
191,Canada,NMC811,Hydro,1.9165662846944573,baseline,baseline
192,Cayman Isds,LFP,Hydro,0.0,baseline,baseline
193,Cayman Isds,NCA,Hydro,0.0,baseline,baseline
194,Cayman Isds,NMC111,Hydro,0.0,baseline,baseline
195,Cayman Isds,NMC523,Hydro,0.0,baseline,baseline
196,Cayman Isds,NMC622,Hydro,0.0,baseline,baseline
197,Cayman Isds,NMC811,Hydro,0.0,baseline,baseline
198,Chile,LFP,Hydro,0.0,baseline,baseline
199,Chile,NCA,Hydro,-75.15145955313224,baseline,baseline
200,Chile,NMC111,Hydro,-213.5462210934714,baseline,baseline
201,Chile,NMC523,Hydro,-182.8420077252991,baseline,baseline
202,Chile,NMC622,Hydro,-306.0070977237316,baseline,baseline
203,Chile,NMC811,Hydro,-362.1539112835877,baseline,baseline
204,China,LFP,Hydro,1.5342474626041946,baseline,baseline
205,China,NCA,Hydro,8.050792125259774,baseline,baseline
206,China,NMC111,Hydro,7.9865832532783205,baseline,baseline
207,China,NMC523,Hydro,7.226848729193995,baseline,baseline
208,China,NMC622,Hydro,7.86651977933495,baseline,baseline
209,China,NMC811,Hydro,7.602127107445932,baseline,baseline
210,Colombia,LFP,Hydro,0.0,baseline,baseline
211,Colombia,NCA,Hydro,-22.325646636856895,baseline,baseline
212,Colombia,NMC111,Hydro,-72.45287369091895,baseline,baseline
213,Colombia,NMC523,Hydro,-62.66761502191716,baseline,baseline
214,Colombia,NMC622,Hydro,-108.07987189126435,baseline,baseline
215,Colombia,NMC811,Hydro,-129.7863491120389,baseline,baseline
216,Comoros,LFP,Hydro,0.0,baseline,baseline
217,Comoros,NCA,Hydro,-5270.517772890218,baseline,baseline
218,Comoros,NMC111,Hydro,-13762.426296505013,baseline,baseline
219,Comoros,NMC523,Hydro,-11841.701868931319,baseline,baseline
220,Comoros,NMC622,Hydro,-19350.751405769624,baseline,baseline
221,Comoros,NMC811,Hydro,-22872.254685259777,baseline,baseline
222,Congo,LFP,Hydro,0.0,baseline,baseline
223,Congo,NCA,Hydro,-1133.6370697415268,baseline,baseline
224,Congo,NMC111,Hydro,-3482.790985209147,baseline,baseline
225,Congo,NMC523,Hydro,-2512.7600709932535,baseline,baseline
226,Congo,NMC622,Hydro,-4255.459463326675,baseline,baseline
227,Congo,NMC811,Hydro,0.0,baseline,baseline
228,Costa Rica,LFP,Hydro,0.0,baseline,baseline
229,Costa Rica,NCA,Hydro,-67.83144229004415,baseline,baseline
230,Costa Rica,NMC111,Hydro,-188.42469924870244,baseline,baseline
231,Costa Rica,NMC523,Hydro,-166.06432685532124,baseline,baseline
