,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
145,Thailand,78657383.90014397,4621.575851911045,17.019602495027478,baseline,baseline
146,Togo,16427370.696677145,49.168423815132684,334.1040737535551,baseline,baseline
147,Tonga,0.0,0.0,,baseline,baseline
148,Trinidad and Tobago,20132487.058970977,77.5805872722008,259.50418483342656,baseline,baseline
149,Tunisia,13805840.84765829,30.04891445726767,459.44557722015116,baseline,baseline
150,Turkey,425310098.5820408,8528.069292367678,49.871792078739134,baseline,baseline
151,USA,1413109524.4256525,335288.81542384526,4.214603826373727,baseline,baseline
152,Uganda,60773310.372015305,2013.2772614356745,30.186259754743197,baseline,baseline
153,Ukraine,18363151.852078155,109.92987466833831,167.04423531346987,baseline,baseline
154,United Arab Emirates,24130906.414164513,245.32224086482654,98.36412030599676,baseline,baseline
155,United Kingdom,1144876179.421554,76401.29087738834,14.985037114868835,baseline,baseline
156,United Rep. of Tanzania,33216893.877431616,362.64765744505405,91.5955010200622,baseline,baseline
157,Uruguay,16745430.074125757,45.238854724945526,370.1559240599436,baseline,baseline
158,Uzbekistan,24406499.60035879,151.24501433587324,161.37060588429532,baseline,baseline
159,Viet Nam,-57738200.3061717,16256.632933012546,-3.551670296308531,baseline,baseline
160,Yemen,17856532.316956624,91.1483030324114,195.90636054526462,baseline,baseline
161,Zambia,5988902.934722976,3.8133420705586025,1570.5129054540032,baseline,baseline
162,Zimbabwe,8040078.432657277,15.335180032893117,524.2897974077742,baseline,baseline
