,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
106,HND,RUS,23.449607365661954,10729.13,4277.096059877459,2025,Strategy 3,high_collection,baseline
107,HRV,RUS,10.79727786683404,1875.36,344.22931134588003,2025,Strategy 3,high_collection,baseline
108,IRN,RUS,146.2703761598191,2466.589,6133.411314648426,2025,Strategy 3,high_collection,baseline
109,ISR,RUS,1013.9734470576444,2643.989,45575.88888531241,2025,Strategy 3,high_collection,baseline
110,JAM,RUS,19.47914230431186,9806.688,3247.4398084617874,2025,Strategy 3,high_collection,baseline
111,JOR,RUS,66.0058402996568,2652.505,2976.3739642087,2025,Strategy 3,high_collection,baseline
112,KAZ,RUS,186.634808360206,2270.788,7204.737414513143,2025,Strategy 3,high_collection,baseline
113,KWT,RUS,45.645476009021344,3051.533,2367.907497818028,2025,Strategy 3,high_collection,baseline
114,LBN,RUS,25.13767908110568,2441.484,1043.3451016521217,2025,Strategy 3,high_collection,baseline
115,LCA,RUS,1.075058306397643,9264.197,169.31238292822016,2025,Strategy 3,high_collection,baseline
116,LTU,RUS,16.394164879592683,794.0689,221.30764003006553,2025,Strategy 3,high_collection,baseline
117,LVA,RUS,9.7762112389328,847.8519,140.90924765341902,2025,Strategy 3,high_collection,baseline
118,MAR,RUS,40.57863161793973,4156.454,2867.274666949505,2025,Strategy 3,high_collection,baseline
119,MDA,RUS,12.909790435999984,1150.314,252.45531548514708,2025,Strategy 3,high_collection,baseline
120,MEX,RUS,207.20315051965872,10736.3,37818.1181437116,2025,Strategy 3,high_collection,baseline
121,MKD,RUS,12.456397106955244,1927.484,408.1616040621428,2025,Strategy 3,high_collection,baseline
122,MLI,RUS,2.8368570899602683,6188.962,298.4724123963096,2025,Strategy 3,high_collection,baseline
123,MLT,RUS,4.251712177209282,2819.734,203.80785553294766,2025,Strategy 3,high_collection,baseline
124,MRT,RUS,0.3947611578843509,6115.446,41.040389246966775,2025,Strategy 3,high_collection,baseline
125,NER,RUS,7.297385614149894,5602.645,695.0392374112103,2025,Strategy 3,high_collection,baseline
126,NGA,RUS,350.99678415327924,5829.689,34785.435557433695,2025,Strategy 3,high_collection,baseline
127,NIC,RUS,33.23397143973615,10876.95,6145.232176074449,2025,Strategy 3,high_collection,baseline
128,PAL,RUS,1.5544789813616733,2707.708,71.55427795230251,2025,Strategy 3,high_collection,baseline
129,PAN,RUS,33.271513532903754,10819.55,6119.7076721637895,2025,Strategy 3,high_collection,baseline
130,PER,RUS,206.26355230066736,12666.63,44415.28969112944,2025,Strategy 3,high_collection,baseline
131,PRY,RUS,27.95350253987725,12642.6,6007.884170581086,2025,Strategy 3,high_collection,baseline
132,ROM,RUS,83.39326948773933,1504.083,2132.3167821657667,2025,Strategy 3,high_collection,baseline
133,RUS,RUS,1653.8603534506938,1554.244,43698.543030206536,2025,Strategy 3,high_collection,baseline
134,SDN,RUS,0.919265121736882,4495.949,70.26047478173282,2025,Strategy 3,high_collection,baseline
135,SEN,RUS,20.53099147396516,6529.711,2279.044494763761,2025,Strategy 3,high_collection,baseline
136,SLE,RUS,1.2147799900393197,6877.949,142.03831190108613,2025,Strategy 3,high_collection,baseline
