,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap
24,China,LFP,Direct,125455.81663653815,2025,Strategy 2,high_collection,baseline,0.025,3136.3954159134537,0.7925,2485.593367111412,2485.593367111412,650.8020488020416
25,China,NCA,Direct,6981.783981648075,2025,Strategy 2,high_collection,baseline,0.025,174.54459954120188,0.7925,138.3265951364025,138.3265951364025,36.21800440479939
26,China,NMC111,Hydro,51356.40182236491,2025,Strategy 2,high_collection,baseline,0.0375,1925.865068338684,0.8658,1667.4139761676327,1667.4139761676327,258.4510921710514
27,China,NMC523,Hydro,12408.824697347725,2025,Strategy 2,high_collection,baseline,0.035,434.3088644071704,0.8658,376.0246148037281,376.0246148037281,58.28424960344228
28,China,NMC622,Direct,55087.16698320278,2025,Strategy 2,high_collection,baseline,0.0325,1790.3329269540902,0.7925,1418.8388446111164,1418.8388446111164,371.4940823429738
29,China,NMC811,Direct,26163.99352031217,2025,Strategy 2,high_collection,baseline,0.0275,719.5098218085847,0.7925,570.2115337833034,570.2115337833034,149.2982880252813
30,Czechia,LFP,Direct,0.22549688403531987,2025,Strategy 2,high_collection,baseline,0.025,0.005637422100882997,0.7925,0.004467657014949775,0.004467657014949775,0.001169765085933222
31,Czechia,NCA,Direct,66.77673583089897,2025,Strategy 2,high_collection,baseline,0.025,1.6694183957724744,0.7925,1.323014078649686,1.323014078649686,0.3464043171227884
32,Czechia,NMC111,Direct,39.77104100989822,2025,Strategy 2,high_collection,baseline,0.0375,1.491414037871183,0.7925,1.1819456250129126,1.1819456250129126,0.30946841285827054
33,Czechia,NMC523,Direct,43.96314542933573,2025,Strategy 2,high_collection,baseline,0.035,1.5387100900267507,0.7925,1.2194277463462,1.2194277463462,0.31928234368055075
34,Czechia,NMC622,Direct,21.139567625419996,2025,Strategy 2,high_collection,baseline,0.0325,0.6870359478261499,0.7925,0.5444759886522238,0.5444759886522238,0.14255995917392605
35,Czechia,NMC811,Direct,11.667665951300677,2025,Strategy 2,high_collection,baseline,0.0275,0.32086081366076863,0.7925,0.25428219482615916,0.25428219482615916,0.06657861883460947
36,Finland,LFP,Direct,2.0445825078276654,2025,Strategy 2,high_collection,baseline,0.025,0.05111456269569164,0.7925,0.04050829093633562,0.04050829093633562,0.010606271759356016
