,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap,CO2,CO2_em
32,Viet Nam,NMC111,Direct,630.4294275971235,2025,Strategy 2,baseline,baseline,0.0375,23.64110353489213,0.7925,18.735574551402014,18.735574551402014,4.905528983490118,2.557347078,1612.2268545507163
33,Viet Nam,NMC523,Direct,571.6040069363997,2025,Strategy 2,baseline,baseline,0.035,20.00614024277399,0.7925,15.854866142398388,15.854866142398388,4.151274100375604,2.496014242,1426.7317420975207
34,Viet Nam,NMC622,Direct,232.18465340045665,2025,Strategy 2,baseline,baseline,0.0325,7.546001235514842,0.7925,5.980205979145512,5.980205979145512,1.5657952563693298,2.478807863,575.5411445169817
35,Viet Nam,NMC811,Direct,92.23796174607374,2025,Strategy 2,baseline,baseline,0.0275,2.536543948017028,0.7925,2.010211078803495,2.010211078803495,0.5263328692135332,2.397518212,221.1421931239711
36,France,LFP,Direct,20.94536567020308,2025,Strategy 2,baseline,baseline,0.025,0.523634141755077,0.7925,0.41498005734089854,0.41498005734089854,0.10865408441417851,2.252335332,47.17598714065826
37,France,NCA,Direct,6376.086915542539,2025,Strategy 2,baseline,baseline,0.025,159.40217288856348,0.7925,126.32622201418656,126.32622201418656,33.07595087437693,2.452491446,15637.2986193206
38,France,NMC111,Direct,3916.6171161468424,2025,Strategy 2,baseline,baseline,0.0375,146.8731418555066,0.7925,116.39696492048897,116.39696492048897,30.47617693501762,2.557347078,10016.149337622914
39,France,NMC523,Direct,4291.354784539773,2025,Strategy 2,baseline,baseline,0.035,150.1974174588921,0.7925,119.03145333617198,119.03145333617198,31.165964122720112,2.496014242,10711.282659686116
40,France,NMC622,Direct,2009.1655234811196,2025,Strategy 2,baseline,baseline,0.0325,65.2978795131364,0.7925,51.74856951416059,51.74856951416059,13.5493099989758,2.478807863,4980.3352976735105
41,France,NMC811,Direct,1053.960527354963,2025,Strategy 2,baseline,baseline,0.0275,28.983914502261484,0.7925,22.969752243042226,22.969752243042226,6.014162259219258,2.397518212,2526.889559062648
42,Germany,LFP,Direct,55.23966977312134,2025,Strategy 2,baseline,baseline,0.025,1.3809917443280337,0.7925,1.0944359573799667,1.0944359573799667,0.28655578694806705,2.252335332,124.41825995801362
43,Germany,NCA,Direct,15459.221297826401,2025,Strategy 2,baseline,baseline,0.025,386.48053244566006,0.7925,306.2858219631856,306.2858219631856,80.19471048247448,2.452491446,37913.60799474026
44,Germany,NMC111,Direct,9231.994208492595,2025,Strategy 2,baseline,baseline,0.0375,346.19978281847233,0.7925,274.36332788363933,274.36332788363933,71.836454934833,2.557347078,23609.41341320146
45,Germany,NMC523,Direct,10194.445127417632,2025,Strategy 2,baseline,baseline,0.035,356.80557945961715,0.7925,282.76842172174656,282.76842172174656,74.03715773787059,2.496014242,25445.480227321917
46,Germany,NMC622,Direct,4883.081821767806,2025,Strategy 2,baseline,baseline,0.0325,158.7001592074537,0.7925,125.76987617190706,125.76987617190706,32.93028303554665,2.478807863,12104.221615470404
47,Germany,NMC811,Direct,2711.6846104664455,2025,Strategy 2,baseline,baseline,0.0275,74.57132678782725,0.7925,59.097776479353094,59.097776479353094,15.473550308474152,2.397518212,6501.313238793429
48,Hungary,LFP,Direct,3.558678943538334,2025,Strategy 2,baseline,baseline,0.025,0.08896697358845836,0.7925,0.07050632656885325,0.07050632656885325,0.018460647019605106,2.252335332,8.015338319775823
49,Hungary,NCA,Direct,1032.5660483784525,2025,Strategy 2,baseline,baseline,0.025,25.814151209461315,0.7925,20.45771483349809,20.45771483349809,5.356436375963224,2.452491446,2532.3594010781767
50,Hungary,NMC111,Direct,650.1080666820889,2025,Strategy 2,baseline,baseline,0.0375,24.379052500578332,0.7925,19.32039910670833,19.32039910670833,5.058653393870003,2.557347078,1662.551964713669
51,Hungary,NMC523,Direct,696.7322513092877,2025,Strategy 2,baseline,baseline,0.035,24.38562879582507,0.7925,19.325610820691367,19.325610820691367,5.060017975133704,2.496014242,1739.0536221287052
52,Hungary,NMC622,Direct,323.4597585897984,2025,Strategy 2,baseline,baseline,0.0325,10.512442154168449,0.7925,8.331110407178496,8.331110407178496,2.1813317469899527,2.478807863,801.7945929564742
53,Hungary,NMC811,Direct,165.21061288543459,2025,Strategy 2,baseline,baseline,0.0275,4.543291854349451,0.7925,3.6005587945719397,3.6005587945719397,0.942733059777511,2.397518212,396.0954532085113
54,Italy,LFP,Direct,11.329176864901537,2025,Strategy 2,baseline,baseline,0.025,0.28322942162253845,0.7925,0.22445931663586172,0.22445931663586172,0.05877010498667673,2.252335332,25.517105335294723
55,Italy,NCA,Direct,3423.8922152020805,2025,Strategy 2,baseline,baseline,0.025,85.59730538005202,0.7925,67.83586451369122,67.83586451369122,17.7614408663608,2.452491446,8397.066369809092
