,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
79,BWA,TUR,64.0,7234.71,7871.36448,2025,Strategy 2,baseline,baseline
80,CYP,TUR,9.0,533.8339,81.6765867,2025,Strategy 2,baseline,baseline
81,EGY,TUR,225.0,1109.213,4242.739725,2025,Strategy 2,baseline,baseline
82,ETH,TUR,82.0,3487.838,4862.046172,2025,Strategy 2,baseline,baseline
83,GEO,TUR,11.0,1026.402,191.93717400000003,2025,Strategy 2,baseline,baseline
84,IRN,TUR,298.0,1698.194,8603.050804,2025,Strategy 2,baseline,baseline
85,ISR,TUR,1354.0,890.1459,20489.3783262,2025,Strategy 2,baseline,baseline
86,JOR,TUR,136.0,930.4355,2151.1668760000002,2025,Strategy 2,baseline,baseline
87,KEN,TUR,257.0,4604.907,20118.838683,2025,Strategy 2,baseline,baseline
88,KWT,TUR,93.0,1816.297,2871.5655570000004,2025,Strategy 2,baseline,baseline
89,LBN,TUR,51.0,714.7758,619.7106186,2025,Strategy 2,baseline,baseline
90,LSO,TUR,6.0,7727.073,788.1614460000001,2025,Strategy 2,baseline,baseline
91,MOZ,TUR,7.0,7334.297,872.781343,2025,Strategy 2,baseline,baseline
92,MWI,TUR,103.0,5999.491,10505.108741,2025,Strategy 2,baseline,baseline
93,PAL,TUR,3.0,945.8355,48.2376105,2025,Strategy 2,baseline,baseline
94,QAT,TUR,73.0,2386.131,2961.188571,2025,Strategy 2,baseline,baseline
95,RWA,TUR,35.0,4667.988,2777.4528600000003,2025,Strategy 2,baseline,baseline
96,SAU,TUR,857.0,2140.525,31185.308725000003,2025,Strategy 2,baseline,baseline
97,SDN,TUR,1.0,2713.648,46.13201600000001,2025,Strategy 2,baseline,baseline
98,TZA,TUR,151.0,5139.468,13193.014356,2025,Strategy 2,baseline,baseline
99,UGA,TUR,420.0,4407.16,31467.1224,2025,Strategy 2,baseline,baseline
100,YEM,TUR,35.0,2945.615,1752.640925,2025,Strategy 2,baseline,baseline
101,ZAF,TUR,24.0,7323.674,2988.058992,2025,Strategy 2,baseline,baseline
102,ZMB,TUR,40.0,6183.896,4205.04928,2025,Strategy 2,baseline,baseline
