,HUN,IND,JPN,KOR,NOR,RUS,YUG,SWE,CHE,THA,Virtual_Demand
PER,0.0,0.0,106700.95067856002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,0.0,0.0,0.0,3138569.245960073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLW,0.0,0.0,0.0,16.990315507008535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,0.0,0.0,0.0,0.0,39841.611398730034,0.0,0.0,0.0,0.0,0.0,0.0
PRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14405.306311706563
PYF,0.0,0.0,6102.903891965999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QAT,0.0,11.02310503842693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWA,0.0,5.577336343160796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU,0.0,309500.61604272324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDN,0.0,20.790093498552533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN,0.0,642086.0759144806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,0.0,0.0,27.436221593129112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLV,0.0,0.0,10.717320127829096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,0.0,0.0,0.0,0.0,0.0,8602.724569228918,0.0,0.0,0.0,0.0,0.0
SYC,0.0,2463.086063876367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGO,0.0,16328.420045217836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJK,0.0,9349.15427727446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTO,0.0,0.0,0.0,10279.990910476012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN,0.0,0.0,0.0,4370.337085734584,0.0,0.0,238.71589123760336,0.0,0.0,0.0,0.0
TZA,0.0,245421.97025188862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,0.0,1618586.4428683082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,0.0,0.0,0.0,107.48525938135916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5275.03397494243
UZB,0.0,0.0,0.0,253231.41867191973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSM,0.0,0.0,105.79562649502193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YEM,0.0,100235.27285887295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,0.0,7959.795438694055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMB,0.0,154.91822532051162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZWE,0.0,13.924956723897685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMR,0.0,0.0,0.0,641811.9884506717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWZ,0.0,464.87287630847936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241218.039422165
USA,0.0,0.0,0.0,3202263.952830036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,80137.38467239823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35185.92027381577,0.0,0.0,0.0
BRA,0.0,137228.82209996035,0.0,240927.6316207855,88603.26821880975,0.0,0.0,0.0,0.0,0.0,946833.7134890831
CAN,0.0,0.0,0.0,548762.4989159692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.0,0.0,0.0,193957.38867146813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,0.0,0.0,0.0,38419.280230342076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,0.0,0.0,0.0,17720.590486304296,0.0,0.0,0.0,131694.78097671736,0.0,0.0,0.0
DEU,0.0,0.0,0.0,87155.23772078895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,90949.59527049221,0.0,0.0,21627.3549371858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30501.67359481297,0.0,0.0,0.0
POL,0.0,0.0,0.0,72473.61793136322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROM,0.0,0.0,0.0,317729.5957025093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,0.0,0.0,0.0,0.0,0.0,19027.81895088431,0.0,0.0,0.0,0.0,0.0
ESP,0.0,0.0,0.0,2394.425293651693,0.0,0.0,0.0,0.0,52053.39313684027,0.0,0.0
TUR,0.0,330561.88573001575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.0,0.0,1492599.5559035686,2836073.6756720603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBR,0.0,0.0,0.0,0.0,52912.90153578727,0.0,0.0,0.0,0.0,0.0,0.0
VNM,0.0,0.0,0.0,143266.57838118763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
