Year,country,scenario,eol_available_lithium_t,eol_captured_lithium_t,eol_capture_loss_lithium_t,manufacturing_available_lithium_t,manufacturing_captured_lithium_t,manufacturing_capture_loss_lithium_t,total_available_lithium_t,total_captured_lithium_t,total_capture_loss_lithium_t,capture_loss_rate
2022,China,baseline,792.4021818759096,411.2567323935971,381.14544948231253,2591.531226564348,2521.55988344711,69.9713431172375,3383.9334084402576,2932.8166158407075,451.11679259955,0.13331136820670517
2022,Germany,baseline,87.79967148020577,54.68163539787215,33.11803608233362,46.06964364258288,42.38407215117625,3.6855714914066264,133.86931512278866,97.0657075490484,36.803607573740244,0.2749219082803475
2022,Japan,baseline,35.29169354019027,21.979666736830502,13.31202680335977,35.03036514860102,34.119575654737396,0.9107894938636285,70.32205868879129,56.0992423915679,14.222816297223398,0.2022525586198515
2022,Korea,baseline,16.622386632509283,10.352422394726783,6.269964237782502,34.27100381365636,33.3799577145013,0.8910460991550666,50.89339044616564,43.73238010922809,7.161010336937569,0.14070609708174958
2022,USA,baseline,317.7061914844372,197.8674160565075,119.83877542792972,432.7873917614456,411.1480221733733,21.639369588072295,750.4935832458827,609.0154382298808,141.478145016002,0.1885134639047937
2023,China,baseline,1374.1019404204526,719.0675454220229,655.0343949984298,4600.515965857357,4476.302034779207,124.21393107814886,5974.617906277809,5195.36958020123,779.2483260765787,0.13042647049575942
2023,Germany,baseline,184.6732983251633,116.08563532719766,68.58766299796564,78.4566994148922,72.18016346170081,6.276535953191373,263.1299977400555,188.26579878889848,74.86419895115701,0.28451411695414097
2023,Japan,baseline,45.484110122395236,28.59131162293765,16.892798499457587,44.28609814059255,43.13465958893714,1.151438551655404,89.77020826298778,71.72597121187479,18.04423705111299,0.20100473642938646
2023,Korea,baseline,33.1646725390176,20.847313158026466,12.317359380991135,67.09197535915318,65.3475839998152,1.7443913593379834,100.25664789817078,86.19489715784167,14.061750740329119,0.14025753937645546
2023,USA,baseline,468.94958362503917,294.78170826669964,174.16787535833953,472.8147035261349,449.1739683498281,23.640735176306773,941.7642871511741,743.9556766165277,197.8086105346463,0.21004046684867933
2024,China,baseline,2301.950868076921,1216.8112288654602,1085.1396392114607,6229.817001664708,6061.61194261976,168.2050590449477,8531.767869741629,7278.42317148522,1253.3446982564083,0.1469032816400763
2024,Germany,baseline,395.9586208313517,251.75049112457344,144.20812970677827,203.6023020470853,187.31411788331846,16.288184163766807,599.5609228784369,439.06460900789193,160.49631387054507,0.26768975052613003
2024,Japan,baseline,56.706247317448884,36.053832044434,20.65241527301488,64.44384540001721,62.768305419616766,1.6755399804004503,121.1500927174661,98.82213746405077,22.327955253415332,0.18429994358721882
2024,Korea,baseline,63.58748286612694,40.42892160628351,23.15856125984343,70.35507310098798,68.5258412003623,1.8292319006256914,133.9425559671149,108.9547628066458,24.987793160469124,0.18655604247692598
2024,USA,baseline,681.1344257723285,433.06526790604653,248.06915786628207,764.7582592724312,726.5203463088096,38.237912963621575,1445.8926850447597,1159.5856142148562,286.30707082990364,0.19801405304228412
2025,China,baseline,3846.0914446809256,2057.2743137598272,1788.8171309210982,8207.391500854916,8043.243670837817,164.1478300170988,12053.482945535841,10100.517984597645,1952.964960938197,0.16202494911742518
2025,Germany,baseline,938.668995699113,604.8783008285084,333.7906948706046,239.4578729438041,220.3012431082998,19.156629835504308,1178.126868642917,825.1795439368082,352.94732470610893,0.29958346091594407
2025,Japan,baseline,69.58286073291006,44.83919545628724,24.74366527662282,102.44323441087768,100.3943697226601,2.0488646882175625,172.02609514378776,145.23356517894734,26.792529964840384,0.15574689376309964
2025,Korea,baseline,118.6986020965584,76.48937919102222,42.209222905536166,104.52303709341128,102.43257635154308,2.090460741868221,223.22163918996966,178.92195554256529,44.299683647404386,0.19845604488955373
2025,USA,baseline,1002.5086925670248,646.0166014901909,356.4920910768341,878.50092271769,834.5758765818055,43.92504613588447,1881.0096152847148,1480.5924780719963,400.41713721271856,0.21287351960298742
2026,China,baseline,6472.502239186048,3511.3324647584313,2961.169774427617,10330.386707841504,10129.914803848496,200.47190399300766,16802.888947027554,13641.247268606927,3161.641678420625,0.1881606007388344
2026,Germany,baseline,1980.3664417522523,1296.5459094151995,683.8205323370528,361.06339251218355,333.4650630604607,27.59832945172283,2341.429834264436,1630.0109724756603,711.4188617887756,0.30383949643840985
2026,Japan,baseline,87.24180705749794,57.117211080543896,30.124595976954044,104.10172594554088,102.08152362403247,2.0202023215083913,191.34353300303883,159.19873470457637,32.14479829846243,0.1679952167390571
2026,Korea,baseline,214.62169100266632,140.51282109944563,74.1088699032207,177.8014372776851,174.35101536495125,3.4504219127338716,392.4231282803514,314.86383646439685,77.55929181595457,0.19764199973592114
2026,USA,baseline,1530.2312960437534,1001.8424295198453,528.3888665239081,1385.640794479012,1318.8277978286962,66.8129966503156,2915.8720905227656,2320.6702273485416,595.2018631742237,0.20412481916088243
2027,China,baseline,10876.605748814558,5997.360409896347,4879.24533891821,10597.511901094993,10398.020839859168,199.49106123582436,21474.117649909553,16395.381249755515,5078.7364001540345,0.23650500956324164
2027,Germany,baseline,3088.251693543648,2151.893780061214,936.3579134824341,551.7225338766503,511.4765929453502,40.2459409313002,3639.974227420298,2663.370373006564,976.6038544137343,0.2682996618648774
2027,Japan,baseline,114.77227530702183,79.9733214339328,34.79895387308902,101.54039047520477,99.62896065627666,1.9114298189281111,216.3126657822266,179.60228209020946,36.71038369201713,0.1697098205473341
2027,Korea,baseline,370.28451641931645,258.01425104097973,112.27026537833675,211.90748289414125,207.91846650605902,3.989016388082243,582.1919993134577,465.93271754703875,116.259281766419,0.1996923384442181
2027,USA,baseline,2414.7013052109114,1682.563869470963,732.1374357399486,1634.7616147660258,1558.7893545764207,75.9722601896052,4049.462919976937,3241.3532240473837,808.1096959295538,0.19955972233822955
2028,China,baseline,17913.59152130343,10063.855716668266,7849.735804635164,12939.494441961826,12703.282266309889,236.2121756519348,30853.085963265257,22767.137982978154,8085.947980287098,0.26207906690158983
2028,Germany,baseline,3954.382706838447,2810.379789750084,1144.0029170883627,654.4505622763022,608.9460973879729,45.504464888329274,4608.83326911475,3419.3258871380567,1189.507381976692,0.2580929516257308
2028,Japan,baseline,156.16983200045536,110.98989960272361,45.17993239773173,110.47310900918323,108.45640785079267,2.0167011583905587,266.6429410096386,219.44630745351628,47.19663355612229,0.17700312401825868
2028,Korea,baseline,599.359093211553,425.9645075454508,173.3945856661023,246.34688831445558,241.84979341520398,4.49709489925165,845.7059815260086,667.8143009606547,177.89168056535397,0.21034695798693856
2028,USA,baseline,3827.3888017103836,2720.1252213755697,1107.263580334814,1799.671547284049,1719.1085392183252,80.56300806572388,5627.060348994432,4439.233760593895,1187.8265884005377,0.21109185164733568
2029,China,baseline,28499.387639818553,16352.948627727885,12146.439012090666,14642.513087919431,14383.359243729414,259.1538441900147,43141.900727737986,30736.3078714573,12405.59285628068,0.2875532289263401
2029,Germany,baseline,4645.212731539593,3373.353485644052,1271.8592458955409,838.5285220595233,783.0243377371833,55.504184322339945,5483.741253599116,4156.377823381235,1327.363430217881,0.242054351004745
2029,Japan,baseline,211.40516858549242,153.5224334267846,57.88273515870783,124.74851454313831,122.54062461968518,2.207889923453153,336.15368312863075,276.0630580464698,60.09062508216098,0.17875938327638977
2029,Korea,baseline,899.7882042477271,653.4261939246994,246.36201032302773,272.6020431793827,267.7773339918407,4.824709187542022,1172.39024742711,921.2035279165401,251.18671951056976,0.21425179888848112
2029,USA,baseline,5860.84643753743,4256.146682939681,1604.6997545977488,2002.3493658380942,1916.055754136365,86.2936117017292,7863.195803375524,6172.202437076046,1690.9933662994779,0.21505166710633938
2030,China,baseline,43598.60376104637,26917.777962070024,16680.825798976344,13974.263991610078,13734.52965818752,239.73433342255598,57572.86775265644,40652.30762025755,16920.5601323989,0.2938981640638906
2030,Germany,baseline,5202.939489763787,3867.3449227414217,1335.5945670223641,948.1629150638142,888.4926475114586,59.670267552355625,6151.102404827601,4755.83757025288,1395.2648345747198,0.22683167060910364
2030,Japan,baseline,277.04696810151506,205.9290113898561,71.11795671165893,144.2516463354471,141.77694911346126,2.4746972219858665,421.29861443696217,347.7059605033173,73.5926539336448,0.17468050312008865
2030,Korea,baseline,1250.2371403537188,929.301266424919,320.93587392879965,287.92378466433183,282.98433192217345,4.939452742158335,1538.1609250180506,1212.2855983470924,325.875326670958,0.21186035958307403
2030,USA,baseline,8606.78681473236,6397.424639390564,2209.3621753417974,2364.697412901554,2266.6422726934516,98.05514020810249,10971.484227633915,8664.066912084016,2307.4173155498997,0.2103104072043598
