iso3,country,continent,lat,lon,country_clean,region_group,scrap_t,capacity
NIC,Nicaragua,America,12.1,-86.3,Nicaragua,America,48619.0820115052,0.0
NLD,Netherlands,Europe,52.35,4.9,Netherlands,Europe,73655.75856550936,84.92511235479023
NOR,Norway,Europe,59.91667,10.75,Norway,Europe,47493.01030922266,497.0616870177428
NPL,Nepal,Asia,27.7,85.31667,Nepal,Asia,11901.110944581476,0.0
NZL,New Zealand,Pacific,-44.28333,174.7833,New Zealand,Other,23999.65911414342,0.0
OMN,Oman,Asia,23.616670000000003,58.63334,Oman,Asia,43916.68571343097,0.0
PAK,Pakistan,Asia,33.66667,73.13333,Pakistan,Asia,8127995.754459624,0.0
PAL,State of Palestine,Asia,31.53,34.44,State of Palestine,Asia,1560.785482142056,0.0
PAN,Panama,America,8.95,-79.5,Panama,America,13.845043123095024,0.0
PER,Peru,America,-12.1,-77.05,Peru,America,162528.71248720022,0.0
PHL,Philippines,Asia,14.61667,120.9667,Philippines,Asia,3356797.970384473,0.0
PLW,Palau,Pacific,7.333333,134.4833,Palau,Other,28.27279447628125,0.0
PNG,Papua New Guinea,Pacific,-9.5,147.1167,Papua New Guinea,Other,0.0,0.0
POL,Poland,Europe,52.25,21.0,Poland,Europe,165324.5129388509,199.823793775977
PRT,Portugal,Europe,38.73333,-9.133333,Portugal,Europe,38709.86060463638,0.0
PRY,Paraguay,America,-25.25,-57.66667,Paraguay,America,23537.103420334417,0.0
PYF,French Polynesia,Pacific,-17.53333,-149.5667,French Polynesia,Other,7110.471494452257,0.0
QAT,Qatar,Asia,25.25,51.53333,Qatar,Asia,14.512832922344924,0.0
ROM,Romania,Europe,44.41667,26.116670000000003,Romania,Europe,404844.4791540377,2.497797422199713
RUS,Russian Federation,Asia,55.75,37.7,Russia,Asia,415749.06597916567,147.37004790978307
RWA,Rwanda,Africa,-1.933333,30.06667,Rwanda,Africa,7.410777680370302,0.0
SAU,Saudi Arabia,Asia,24.65,46.76667,Saudi Arabia,Asia,506192.804372223,0.0
SDN,Sudan,Africa,15.55,32.53333,Sudan,Africa,26.558358654518518,0.0
SEN,Senegal,Africa,14.63333,-17.45,Senegal,Africa,680655.6609864399,0.0
SGP,Singapore,Asia,1.283333,103.85,Singapore,Asia,0.0,0.0
SLB,Solomon Isds,Pacific,-9.466666,159.95,Solomon Isds,Other,46.38390700881895,0.0
SLE,Sierra Leone,Africa,8.5,-13.28333,Sierra Leone,Africa,3820.4506566730015,0.0
SLV,El Salvador,America,13.666670000000002,-89.16666,El Salvador,America,14.537769957076804,0.0
SVK,Slovakia,Europe,48.16667,17.16667,Slovakia,Europe,23211.708132078504,2.497797422199713
SVN,Slovenia,Europe,46.06667,14.5,Slovenia,Europe,9253.011301319477,0.0
SWE,Sweden,Europe,59.33333,18.08333,Sweden,Europe,76093.93285449242,586.9823942169326
SYC,Seychelles,Africa,-4.633333,55.46666999999999,Seychelles,Africa,2550.9635249360176,0.0
TGO,Togo,Africa,6.166667,1.35,Togo,Africa,33225.251466008354,0.0
THA,Thailand,Asia,13.73333,100.5,Thailand,Asia,416018.2355003622,147.37004790978307
TJK,Tajikistan,Asia,38.63334,68.85,Tajikistan,Asia,22942.680274058104,0.0
TON,Tonga,Pacific,-21.15,-175.2333,Tonga,Other,0.0108700314527372,0.0
TTO,Trinidad and Tobago,America,10.63333,-61.51667,Trinidad and Tobago,America,10530.180194358716,0.0
TUN,Tunisia,Africa,36.83333,10.21667,Tunisia,Africa,8397.588449534436,0.0
TUR,Turkey,Europe,41.03333,28.95,Turkiye,Europe,870414.7459271019,24.97797422199713
TZA,United Rep. of Tanzania,Africa,-6.85,39.3,United Rep. of Tanzania,Africa,543244.4677346749,0.0
UGA,Uganda,Africa,0.3333333,32.58333,Uganda,Africa,1842448.631265792,0.0
UKR,Ukraine,Europe,50.41667,30.5,Ukraine,Europe,142.46645067814745,0.0
URY,Uruguay,America,-34.91667,-56.16667,Uruguay,America,8271.593602912002,0.0
USA,USA,America,40.75,-74.0,United States,America,11962220.264080802,1843.374497583388
UZB,Uzbekistan,Asia,41.26667,69.21667,Uzbekistan,Asia,535909.9676265034,0.0
VNM,Viet Nam,Asia,21.01667,105.8667,Vietnam,Asia,223891.8931446897,14.986784533198277
WSM,Samoa,Pacific,-13.8,171.75,Samoa,Other,226.1123830920244,0.0
YEM,Yemen,Asia,15.4,44.23333,Yemen,Asia,240006.45478044287,0.0
YUG,Serbia,Europe,44.83333,20.5,Serbia,Europe,18998.732295098187,2.497797422199713
ZAF,South Africa,Africa,-25.73,28.22,South Africa,Africa,15210.954302081644,0.0
ZMB,Zambia,Africa,-15.46667,28.26667,Zambia,Africa,8.220021845222611,0.0
ZWE,Zimbabwe,Africa,-17.83333,31.05,Zimbabwe,Africa,20.83766310238926,0.0
MMR,Myanmar,Asia,16.46333,96.09222,Myanmar,Asia,1071714.698232514,0.0
MNE,Montenegro,America,42.708679,19.37439,Montenegro,America,5009.746339157652,0.0
SWZ,Eswatini,Africa,-25.472811,28.05147,Eswatini,Africa,905.5550057471272,0.0
