year,policy_scenario,destination_iso3,Hydro,Direct,Pyro,destination_recovered_lithium_t,destination_scrap_t,dominant_technology,direct_capable_observed,hydro_dominated_observed,reference_destination_recovered_lithium_t,reference_destination_scrap_t,reference_dominant_technology,reference_direct_share_pct,reference_hydro_share_pct,reference_pyro_share_pct,destination_recovered_li_delta_vs_reference_t,destination_scrap_delta_vs_reference_t,shift_from_reference_direct_capable_to_current_hydro_dominated
2030,reference_policy,THA,100.0,0.0,0.0,578.0129667020891,48000.0,Hydro,False,True,578.0129667020891,48000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,TUR,100.0,0.0,0.0,215.26988055198214,10000.0,Hydro,False,True,215.26988055198214,10000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,USA,100.0,0.0,0.0,6375.031433711351,539000.0,Hydro,False,True,6375.031433711351,539000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,VNM,100.0,0.0,0.0,137.71072472155964,5000.0,Hydro,False,True,137.71072472155964,5000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2030,reference_policy,YUG,100.0,0.0,0.0,4.153942827247618,322.0265151822132,Hydro,False,True,4.153942827247618,322.0265151822132,Hydro,0.0,100.0,0.0,0.0,0.0,False
2031,current_policy,AUS,100.0,0.0,0.0,32.12628435413745,12000.0,Hydro,False,True,0.0,12000.0,Direct,0.0,0.0,0.0,32.12628435413745,0.0,False
2031,current_policy,BEL,100.0,0.0,0.0,189.9591375049689,9000.0,Hydro,False,True,0.0,9000.0,Direct,0.0,0.0,0.0,189.9591375049689,0.0,False
2031,current_policy,BRA,100.0,0.0,0.0,332.25,10000.0,Hydro,False,True,261.2363002907059,10000.0,Hydro,0.0,100.0,0.0,71.01369970929409,0.0,False
2031,current_policy,CAN,100.0,0.0,0.0,1586.9447202024596,107000.0,Hydro,False,True,1586.9447202024596,107000.0,Hydro,0.0,100.0,0.0,0.0,0.0,False
2031,current_policy,CHE,100.0,0.0,0.0,320.82706223418836,24784.849398181843,Hydro,False,True,320.8270622341883,24784.84939818184,Hydro,0.0,100.0,0.0,5.684341886080802e-14,3.637978807091713e-12,False
2031,current_policy,CHN,100.0,0.0,0.0,52977.39868015019,3446917.7193360906,Hydro,False,True,52904.100863982,3446917.7193360906,Hydro,0.0,100.0,0.0,73.29781616818946,0.0,False
2031,current_policy,CZE,100.0,0.0,0.0,31.01,1000.0,Hydro,False,True,33.225,1000.0,Hydro,0.0,100.0,0.0,-2.215,0.0,False
2031,current_policy,DEU,100.0,0.0,0.0,4324.506519885879,189000.0,Hydro,False,True,1372.3051802824955,189000.0,Hydro,0.0,100.0,0.0,2952.2013396033835,0.0,False
