year,policy_scenario,destination_iso3,technology,scrap_t,recovered_lithium_t,route_count,destination_recovered_lithium_t,destination_scrap_t,technology_share_pct
2030,reference_policy,USA,Hydro,539000.0,6375.031433711351,1,6375.031433711351,539000.0,100.0
2030,reference_policy,VNM,Hydro,5000.0,137.71072472155964,1,137.71072472155964,5000.0,100.0
2030,reference_policy,YUG,Hydro,322.0265151822132,4.153942827247618,1,4.153942827247618,322.0265151822132,100.0
2031,current_policy,AUS,Hydro,12000.0,32.12628435413745,1,32.12628435413745,12000.0,100.0
2031,current_policy,BEL,Hydro,9000.0,189.9591375049689,1,189.9591375049689,9000.0,100.0
2031,current_policy,BRA,Hydro,10000.0,332.25,1,332.25,10000.0,100.0
2031,current_policy,CAN,Hydro,107000.0,1586.9447202024596,1,1586.9447202024596,107000.0,100.0
2031,current_policy,CHE,Hydro,24784.849398181843,320.82706223418836,1,320.82706223418836,24784.849398181843,100.0
2031,current_policy,CHN,Hydro,3446917.7193360906,52977.39868015019,53,52977.39868015019,3446917.7193360906,100.0
2031,current_policy,CZE,Hydro,1000.0,31.01,1,31.01,1000.0,100.0
2031,current_policy,DEU,Hydro,189000.0,4324.506519885879,1,4324.506519885879,189000.0,100.0
2031,current_policy,ESP,Hydro,104000.0,926.1176330163453,1,926.1176330163453,104000.0,100.0
2031,current_policy,FIN,Hydro,7000.0,125.93173280209992,1,125.93173280209992,7000.0,100.0
2031,current_policy,FRA,Hydro,94000.0,0.0,1,0.0,94000.0,
2031,current_policy,GBR,Hydro,143000.0,1498.1918477691222,1,1498.1918477691222,143000.0,100.0
2031,current_policy,HUN,Hydro,5078.098044647998,69.78683891469484,1,69.78683891469484,5078.098044647998,100.0
2031,current_policy,IND,Hydro,345999.99999999994,6627.686285372343,48,6627.686285372343,345999.99999999994,100.0
2031,current_policy,ITA,Hydro,97000.0,2782.6305302147834,1,2782.6305302147834,97000.0,100.0
2031,current_policy,JPN,Hydro,21587.157538280517,279.55652306214745,1,279.55652306214745,21587.157538280517,100.0
