,country,type,recycling_m,scrap,unit_cost,net_profit,collection_scenario,recovery_efficiency_scenario
2263,Rwanda,NMC622,Hydro,0.3720342767589603,3327.298237921755,-3319.329172335806,high_collection,baseline
2264,Rwanda,NMC622,Pyro,0.3720342767589603,2988.7252274071193,-2984.1442352312392,high_collection,baseline
2265,Rwanda,NMC811,Direct,0.2503733985824075,640.0596676743481,-629.7400873944481,high_collection,baseline
2266,Rwanda,NMC811,Hydro,0.2503733985824075,4388.359371981174,-4380.598476918665,high_collection,baseline
2267,Rwanda,NMC811,Pyro,0.2503733985824075,3862.4635175424696,-3857.9246706225686,high_collection,baseline
2268,Saint Lucia,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
2269,Saint Lucia,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
2270,Saint Lucia,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
2271,Saint Lucia,NCA,Direct,68.30916741340552,41.03866895233288,-30.491781241857876,high_collection,baseline
2272,Saint Lucia,NCA,Hydro,68.30916741340552,89.64918193230628,-81.20322682108628,high_collection,baseline
2273,Saint Lucia,NCA,Pyro,68.30916741340552,104.77214598763754,-99.74138219307355,high_collection,baseline
2274,Saint Lucia,NMC111,Direct,17.32635953218751,79.39068379573399,-74.054064778082,high_collection,baseline
2275,Saint Lucia,NMC111,Hydro,17.32635953218751,238.0409064167978,-229.9403388613758,high_collection,baseline
2276,Saint Lucia,NMC111,Pyro,17.32635953218751,258.6908578411522,-254.1427910999122,high_collection,baseline
2277,Saint Lucia,NMC523,Direct,21.48651087428054,71.5837396523521,-71.4729168309721,high_collection,baseline
2278,Saint Lucia,NMC523,Hydro,21.48651087428054,204.23129560212357,-196.71216862326997,high_collection,baseline
2279,Saint Lucia,NMC523,Pyro,21.48651087428054,224.49370157674858,-220.29639602939457,high_collection,baseline
2280,Saint Lucia,NMC622,Direct,10.644817374223544,100.35473553514039,-91.7718680891354,high_collection,baseline
2281,Saint Lucia,NMC622,Hydro,10.644817374223544,336.71224563999544,-328.74318005404666,high_collection,baseline
2282,Saint Lucia,NMC622,Pyro,10.644817374223544,356.59670076057876,-352.01570858469876,high_collection,baseline
2283,Saint Lucia,NMC811,Direct,8.476176615454772,111.97700081051896,-101.65742053061896,high_collection,baseline
2284,Saint Lucia,NMC811,Hydro,8.476176615454772,395.99430953035306,-388.2334144678443,high_collection,baseline
2285,Saint Lucia,NMC811,Pyro,8.476176615454772,414.34738747512324,-409.80854055522224,high_collection,baseline
2286,Samoa,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
2287,Samoa,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
2288,Samoa,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
2289,Samoa,NCA,Direct,15.017863553151782,86.96379121868478,-76.41690350820977,high_collection,baseline
2290,Samoa,NCA,Hydro,15.017863553151782,250.963061531232,-242.517106420012,high_collection,baseline
2291,Samoa,NCA,Pyro,15.017863553151782,272.5678369293603,-267.5370731347963,high_collection,baseline
2292,Samoa,NMC111,Direct,3.808736058643832,169.76058188566554,-164.42396286801355,high_collection,baseline
2293,Samoa,NMC111,Hydro,3.808736058643832,654.7039429161766,-646.6033753607546,high_collection,baseline
2294,Samoa,NMC111,Pyro,3.808736058643832,662.6948611404474,-658.1467943992075,high_collection,baseline
2295,Samoa,NMC523,Direct,4.723778420288667,152.84325497170616,-152.73243215032616,high_collection,baseline
2296,Samoa,NMC523,Hydro,4.723778420288667,563.235432291824,-555.7163053129705,high_collection,baseline
2297,Samoa,NMC523,Pyro,4.723778420288667,576.4482829501352,-572.2509774027812,high_collection,baseline
2298,Samoa,NMC622,Direct,2.340318790453512,215.25712267479466,-206.67425522878966,high_collection,baseline
2299,Samoa,NMC622,Hydro,2.340318790453512,920.1750889897065,-912.2060234037577,high_collection,baseline
2300,Samoa,NMC622,Pyro,2.340318790453512,908.4021238975971,-903.821131721717,high_collection,baseline
2301,Samoa,NMC811,Direct,1.8634892262236125,240.54711829209867,-230.22753801219866,high_collection,baseline
2302,Samoa,NMC811,Hydro,1.8634892262236125,1079.0143660015751,-1071.2534709390663,high_collection,baseline
2303,Samoa,NMC811,Pyro,1.8634892262236125,1052.8193018775314,-1048.2804549576304,high_collection,baseline
2304,Saudi Arabia,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
2305,Saudi Arabia,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
2306,Saudi Arabia,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
2307,Saudi Arabia,NCA,Direct,48020.88283937895,1.9376927191565587,8.609194991318443,high_collection,baseline
2308,Saudi Arabia,NCA,Hydro,48020.88283937895,1.0350238893136012,7.4109312219064005,high_collection,baseline
2309,Saudi Arabia,NCA,Pyro,48020.88283937895,1.7259246111203275,3.304839183443673,high_collection,baseline
2310,Saudi Arabia,NMC111,Direct,12179.857034209752,3.6403308432845076,1.696288174367492,high_collection,baseline
2311,Saudi Arabia,NMC111,Hydro,12179.857034209752,2.5745001062246238,5.526067449197377,high_collection,baseline
2312,Saudi Arabia,NMC111,Pyro,12179.857034209752,3.986319315654196,0.5617474255858044,high_collection,baseline
2313,Saudi Arabia,NMC523,Direct,15104.68262643671,3.2974431958891666,-3.1866203745091664,high_collection,baseline
2314,Saudi Arabia,NMC523,Hydro,15104.68262643671,2.2315538062574025,5.287573172596199,high_collection,baseline
2315,Saudi Arabia,NMC523,Pyro,15104.68262643671,3.495722712045551,0.7015828353084492,high_collection,baseline
2316,Saudi Arabia,NMC622,Direct,7483.2041961787645,4.553891100306902,4.0289763456981005,high_collection,baseline
2317,Saudi Arabia,NMC622,Hydro,7483.2041961787645,3.5580712690603002,4.410994316888499,high_collection,baseline
2318,Saudi Arabia,NMC622,Pyro,7483.2041961787645,5.366150630169705,-0.7851584542897054,high_collection,baseline
2319,Saudi Arabia,NMC811,Direct,5958.469325281194,5.056693968907045,5.262886310992953,high_collection,baseline
2320,Saudi Arabia,NMC811,Hydro,5958.469325281194,4.139448688335766,3.6214463741730336,high_collection,baseline
2321,Saudi Arabia,NMC811,Pyro,5958.469325281194,6.166574566525737,-1.627727646624737,high_collection,baseline
2322,Senegal,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
2323,Senegal,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
2324,Senegal,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
2325,Senegal,NCA,Direct,124557.82003428336,1.0683835995584603,9.47850411091654,high_collection,baseline
2326,Senegal,NCA,Hydro,124557.82003428336,0.45783713935097575,7.988117971869026,high_collection,baseline
2327,Senegal,NCA,Pyro,124557.82003428336,0.7903275162974249,4.240436278266576,high_collection,baseline
2328,Senegal,NMC111,Direct,31590.99636080508,2.0855281028152635,3.251090914836736,high_collection,baseline
2329,Senegal,NMC111,Hydro,31590.99636080508,1.1943523607117104,6.906215194710291,high_collection,baseline
2330,Senegal,NMC111,Pyro,31590.99636080508,1.9214690997830597,2.6265976414569407,high_collection,baseline
2331,Senegal,NMC523,Direct,39180.168985807984,1.8777087419561251,-1.7668859205761251,high_collection,baseline
2332,Senegal,NMC523,Hydro,39180.168985807984,1.027499073254071,6.49162790559953,high_collection,baseline
2333,Senegal,NMC523,Pyro,39180.168985807984,1.6714131563078354,2.525892391046165,high_collection,baseline
2334,Senegal,NMC622,Direct,19410.7729540404,2.6445017441099443,5.938365701895058,high_collection,baseline
2335,Senegal,NMC622,Hydro,19410.7729540404,1.6786811624718592,6.29038442347694,high_collection,baseline
2336,Senegal,NMC622,Pyro,19410.7729540404,2.6339493569088477,1.947042818971152,high_collection,baseline
2337,Senegal,NMC811,Direct,15454.6568398374,2.955314542203723,7.364265737696275,high_collection,baseline
2338,Senegal,NMC811,Hydro,15454.6568398374,1.968564571961933,5.792330490546867,high_collection,baseline
2339,Senegal,NMC811,Pyro,15454.6568398374,3.052853730175726,1.4859931897252743,high_collection,baseline
2340,Serbia,LFP,Direct,0.0,0.0,0.0,high_collection,baseline
2341,Serbia,LFP,Hydro,0.0,0.0,0.0,high_collection,baseline
2342,Serbia,LFP,Pyro,0.0,0.0,0.0,high_collection,baseline
2343,Serbia,NCA,Direct,1756.4114529272244,8.869523160746843,1.527023030084092,high_collection,baseline
2344,Serbia,NCA,Hydro,1756.4114529272244,9.325345293353807,-1.0172875134222208,high_collection,baseline
2345,Serbia,NCA,Pyro,1756.4114529272244,13.000607358974921,-8.080902661510915,high_collection,baseline
