draw_id,year,policy_scenario,target_region,scope,direct_share_threshold_pct,direct_entry_target_share,direct_entry_target_share_pct,direct_share_at_entry_pct,direct_share_at_95pct_target_pct,direct_share_at_100pct_target_pct,reference_entry_target_share,entry_target_share_delta_vs_reference,entry_target_share_pct_point_delta_vs_reference
0,2040,critical_route_policy,United States,global,50.0,,,,0.0,14.19880459654598,,,
0,2040,critical_route_policy,United States,target_region,5.0,0.99,99.0,52.01540403560851,0.0,99.99524999525256,0.99,0.0,0.0
0,2040,critical_route_policy,United States,target_region,20.0,0.99,99.0,52.01540403560851,0.0,99.99524999525256,0.99,0.0,0.0
0,2040,critical_route_policy,United States,target_region,50.0,0.99,99.0,52.01540403560851,0.0,99.99524999525256,0.99,0.0,0.0
0,2040,current_policy,China,global,5.0,0.99,99.0,34.260246530523,0.0,66.0880371023372,0.99,0.0,0.0
0,2040,current_policy,China,global,20.0,0.99,99.0,34.260246530523,0.0,66.0880371023372,0.99,0.0,0.0
0,2040,current_policy,China,global,50.0,1.0,100.0,66.0880371023372,0.0,66.0880371023372,1.0,0.0,0.0
0,2040,current_policy,China,target_region,5.0,0.99,99.0,52.01540403560387,0.0,99.99524999524904,0.99,0.0,0.0
0,2040,current_policy,China,target_region,20.0,0.99,99.0,52.01540403560387,0.0,99.99524999524904,0.99,0.0,0.0
0,2040,current_policy,China,target_region,50.0,0.99,99.0,52.01540403560387,0.0,99.99524999524904,0.99,0.0,0.0
0,2040,current_policy,European Union,global,5.0,0.99,99.0,10.828787716656036,0.0,20.9845219795618,0.99,0.0,0.0
0,2040,current_policy,European Union,global,20.0,1.0,100.0,20.9845219795618,0.0,20.9845219795618,1.0,0.0,0.0
0,2040,current_policy,European Union,global,50.0,,,,0.0,20.9845219795618,,,
0,2040,current_policy,European Union,target_region,5.0,0.99,99.0,52.010606046199726,0.0,99.9904999857386,0.99,0.0,0.0
0,2040,current_policy,European Union,target_region,20.0,0.99,99.0,52.010606046199726,0.0,99.9904999857386,0.99,0.0,0.0
0,2040,current_policy,European Union,target_region,50.0,0.99,99.0,52.010606046199726,0.0,99.9904999857386,0.99,0.0,0.0
0,2040,current_policy,United States,global,5.0,0.99,99.0,7.32245475069405,0.0,14.198804596545784,0.99,0.0,0.0
0,2040,current_policy,United States,global,20.0,,,,0.0,14.198804596545784,,,
0,2040,current_policy,United States,global,50.0,,,,0.0,14.198804596545784,,,
0,2040,current_policy,United States,target_region,5.0,0.99,99.0,52.015404035607126,0.0,99.99524999525124,0.99,0.0,0.0
0,2040,current_policy,United States,target_region,20.0,0.99,99.0,52.015404035607126,0.0,99.99524999525124,0.99,0.0,0.0
0,2040,current_policy,United States,target_region,50.0,0.99,99.0,52.015404035607126,0.0,99.99524999525124,0.99,0.0,0.0
0,2040,reference_policy,China,global,5.0,0.99,99.0,34.26024653052319,0.0,66.08803710233722,0.99,0.0,0.0
0,2040,reference_policy,China,global,20.0,0.99,99.0,34.26024653052319,0.0,66.08803710233722,0.99,0.0,0.0
0,2040,reference_policy,China,global,50.0,1.0,100.0,66.08803710233722,0.0,66.08803710233722,1.0,0.0,0.0
0,2040,reference_policy,China,target_region,5.0,0.99,99.0,52.01540403560416,0.0,99.9952499952491,0.99,0.0,0.0
0,2040,reference_policy,China,target_region,20.0,0.99,99.0,52.01540403560416,0.0,99.9952499952491,0.99,0.0,0.0
0,2040,reference_policy,China,target_region,50.0,0.99,99.0,52.01540403560416,0.0,99.9952499952491,0.99,0.0,0.0
0,2040,reference_policy,European Union,global,5.0,0.99,99.0,10.828787716655867,0.0,20.984521979561748,0.99,0.0,0.0
0,2040,reference_policy,European Union,global,20.0,1.0,100.0,20.984521979561748,0.0,20.984521979561748,1.0,0.0,0.0
0,2040,reference_policy,European Union,global,50.0,,,,0.0,20.984521979561748,,,
0,2040,reference_policy,European Union,target_region,5.0,0.99,99.0,52.01060604619892,0.0,99.99049998573835,0.99,0.0,0.0
0,2040,reference_policy,European Union,target_region,20.0,0.99,99.0,52.01060604619892,0.0,99.99049998573835,0.99,0.0,0.0
0,2040,reference_policy,European Union,target_region,50.0,0.99,99.0,52.01060604619892,0.0,99.99049998573835,0.99,0.0,0.0
0,2040,reference_policy,United States,global,5.0,0.99,99.0,7.323136477931218,0.0,14.19880459654594,0.99,0.0,0.0
0,2040,reference_policy,United States,global,20.0,,,,0.0,14.19880459654594,,,
0,2040,reference_policy,United States,global,50.0,,,,0.0,14.19880459654594,,,
0,2040,reference_policy,United States,target_region,5.0,0.99,99.0,52.02020202020549,0.0,99.99524999525228,0.99,0.0,0.0
0,2040,reference_policy,United States,target_region,20.0,0.99,99.0,52.02020202020549,0.0,99.99524999525228,0.99,0.0,0.0
0,2040,reference_policy,United States,target_region,50.0,0.99,99.0,52.02020202020549,0.0,99.99524999525228,0.99,0.0,0.0
0,2040,strict_policy,China,global,5.0,0.99,99.0,25.68186957843752,0.0,49.62026304087615,0.99,0.0,0.0
0,2040,strict_policy,China,global,20.0,0.99,99.0,25.68186957843752,0.0,49.62026304087615,0.99,0.0,0.0
0,2040,strict_policy,China,global,50.0,,,,0.0,49.62026304087615,1.0,,
0,2040,strict_policy,China,target_region,5.0,0.99,99.0,52.02020202020192,0.0,100.00000000000004,0.99,0.0,0.0
0,2040,strict_policy,China,target_region,20.0,0.99,99.0,52.02020202020192,0.0,100.00000000000004,0.99,0.0,0.0
0,2040,strict_policy,China,target_region,50.0,0.99,99.0,52.02020202020192,0.0,100.00000000000004,0.99,0.0,0.0
0,2040,strict_policy,European Union,global,5.0,0.99,99.0,10.828787716655873,0.0,20.98452197956156,0.99,0.0,0.0
0,2040,strict_policy,European Union,global,20.0,1.0,100.0,20.98452197956156,0.0,20.98452197956156,1.0,0.0,0.0
0,2040,strict_policy,European Union,global,50.0,,,,0.0,20.98452197956156,,,
